iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,mean_terminal_center,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,center_resid_l2,width_anchor_l2,actor_loss,critic_loss,loss
1,-0.04674438097091321,1.161451970135008,0.19846791666552877,-0.00018549357528140163,0.0408754645520276,,0.18309042782611584,0.8534226190476191,0.2333897427955352,0.055199175008273024,0.969895537005481,0.13107695998747437,0.0034529637507351024,-0.006257383749024764,0.02639377365022988,2.694139180484302
2,-0.19026104986026424,1.09076838344181,0.30865950818153437,-0.0007550041661121595,0.10720223804678215,,0.21348464599678155,0.8375496031746033,0.2479412497767813,0.060801613282166114,0.9742709354321699,0.13878727445325162,0.0034538738474163447,0.013965188429472893,0.02379994053229483,2.8597913096239416
3,-0.04318127903555558,1.1735432049463204,0.2395459198974425,-0.00017135428188712532,0.058082209744024345,,0.21598975552134594,0.8501984126984128,0.24093294097462026,0.05583171899800289,0.9684190371275114,0.13809819536686258,0.0038695219697638455,-0.01657927353621185,0.019985010418670186,2.8147997362023087
4,-0.11385993301524772,1.1182889887892271,0.23928162807252584,-0.00045182513101288765,0.06393238688612564,,0.15354740311084836,0.8412698412698413,0.21923946901264701,0.05546742271237777,0.9724303469380682,0.11943145007718897,0.003240470042667211,-0.016887908964955983,0.012676253025292563,2.421680522270066
5,-0.17095148339325433,1.0833610637472497,0.26743637261103365,-0.0006783789023541838,0.08512685484552074,,0.18763530411873985,0.8401537698412698,0.23621069443311682,0.05742397779572692,0.973214368684483,0.13069000974677672,0.003295394579667619,-0.01896544722663747,0.011624818009855181,2.6363846385033267
6,-0.17499508935632943,1.1007420360578486,0.30077337171947743,-0.000694424957763212,0.10031676454144439,,0.18615419685731194,0.8306051587301588,0.23655445595893965,0.05883963436834219,0.9739360135311041,0.13323902837111398,0.003278099289203408,0.021821785634264786,0.009316393898702691,2.7191929214783395
7,-0.0884924358620349,1.133462670074928,0.24026156226730475,-0.0003511604597699798,0.062152834576683844,,0.1707071782300829,0.8485863095238095,0.22729754546346786,0.054431287889967185,0.969642263077702,0.12633075963694,0.0034949297952336722,0.02703268473406236,0.007034092934439443,2.5849498693644715
8,-0.18196623214546728,1.0901068085839936,0.29156782551243043,-0.0007220882227994734,0.09708831039364207,,0.1777947881414415,0.8213045634920635,0.23130974100018534,0.06001380417106743,0.974278984698157,0.12463273944667283,0.0034169906989035236,-0.0066946865862560715,0.006580152212956855,2.509694963259399
9,-0.3404174748559932,0.9858162669464436,0.2940643448501278,-0.0013508629954602906,0.13234851041689194,,0.2301191702171903,0.8154761904761905,0.27501491852165094,0.06549900416257202,0.9775689838565633,0.1594485495708423,0.003142193394762712,-0.0140133549804449,0.006975886797688377,3.1714478014885534
10,-0.2525688376765269,1.0299302651971862,0.2951476199360648,-0.0010022572923671703,0.11603583224982313,,0.20644428184643993,0.8333333333333333,0.2467185824499996,0.05986403617390761,0.9729437984936055,0.13771120750157073,0.0034303772259787453,-0.01237290865906037,0.0058285689912501975,2.7461263543041863
11,-0.15347717882286366,1.093401376302525,0.24061353703572583,-0.0006090364239002525,0.06925814077903847,,0.2010227657748978,0.8286210317460317,0.2521806300862556,0.060559603414276714,0.9756582548323102,0.14322273874814795,0.0033076842236220896,0.0005603867297410666,0.0050457670727342765,2.8564235506584397
12,-0.07318956926248878,1.142648058379129,0.2422511162248174,-0.0002904347986606698,0.0619748485198538,,0.17606053479088118,0.8544146825396826,0.22010008702436504,0.05373464170683678,0.9692368716167447,0.12242239519631831,0.0035481779030640385,0.007753046357795123,0.003809851096694598,2.4568104841232437
13,-0.12962557496433608,1.111054184429233,0.25895433012268165,-0.0005143872022394288,0.07496870319683568,,0.18273108355529,0.8351934523809523,0.2328965605571113,0.057351558171550854,0.9742385243424138,0.12518905237392355,0.0033811982257305577,-0.04960668891029691,0.004426895771213088,2.443763935192024
14,-0.15477948524232377,1.0988754424610172,0.26074258823335544,-0.0006142043065171577,0.07821287345608421,,0.17195503854538785,0.8273809523809524,0.23383022280088092,0.05849440297099086,0.9755222529057017,0.1284745738653045,0.003148888586007995,0.019772153319786066,0.00431063925471335,2.5655824930652407
15,-0.2951946455987201,1.0141316834907532,0.2796822411624492,-0.0011714073238044448,0.11276918710363193,,0.19631386479194424,0.8153521825396826,0.2546710659682382,0.064979865925788,0.9789666202357539,0.14339809263536463,0.002997406149382053,-0.015549168763518653,0.005839948429602683,2.8088058003869865
16,-0.1914420622836006,1.0676947440334361,0.24950040419418676,-0.0007596907233476214,0.07975513244944057,,0.203089382911201,0.824156746031746,0.2443474151806033,0.06119188951305664,0.9764835705132744,0.1304543822354629,0.003203935668466683,-0.0014678723044930248,0.005182712853654477,2.5706846377406314
17,-0.10843887572479048,1.1249731721014125,0.24332906612657407,-0.00043031299890789875,0.06483805932655493,,0.20590751966897905,0.8441220238095237,0.24596446126961896,0.05650219809774691,0.9706095618232047,0.14597550020974115,0.003483270694507938,-0.007393254363391905,0.005472973984318046,2.8608000246470118
18,-0.18965266007436848,1.0766945753179702,0.2581378604058468,-0.0007525899209300337,0.08183938273092417,,0.17837042195215097,0.8318452380952381,0.23970023615205316,0.060111439520060636,0.9742506124162549,0.13307715728689753,0.003198072897755332,0.0034998183446583037,0.004406699543501965,2.6118807086513565
19,-0.16890782906132423,1.0789663641848772,0.23696492353868231,-0.000670269162941763,0.07080151598632131,,0.18489535073500804,0.8329613095238095,0.24053051704560452,0.05892471461754097,0.9725174424005354,0.14126131843972195,0.0032985044533579027,-0.007878792760095676,0.004609131445540035,2.7516107435194797
20,-0.09007382399699318,1.130060338903256,0.21059332634842481,-0.0003574358095118778,0.04924110529682156,,0.1871051383821477,0.8421378968253969,0.23233035593570817,0.059125228004002946,0.9717740352439621,0.1287619778511334,0.003369677310600973,-0.008750094022415226,0.003696668218539311,2.506919703780299
21,-0.20204804480998517,1.0626093828312853,0.23614379505572505,-0.0008017779555951792,0.07464007362932062,,0.16415446335213993,0.8110119047619048,0.23558286103079495,0.0614930293606059,0.9746046322195473,0.13425699155468301,0.0031218638166104736,-0.024503808940378916,0.0034446433160178072,2.583867189814639
22,-0.3019324556182704,0.9951246857700684,0.2816111545419799,-0.0011981446651518667,0.12127873674328005,,0.21486989379398225,0.831845238095238,0.25622351948331157,0.060321134733086146,0.9741501186876053,0.14636573297213248,0.003333347344845707,-0.025859211195589878,0.004432954165348415,2.8089890631764973
23,-0.14319615707942684,1.0985731095735032,0.2562319930831025,-0.0005682387185691543,0.07594224838092767,,0.19518170000778237,0.8490823412698412,0.23875150746192164,0.05616526880581582,0.971111656842789,0.13570399457963847,0.003471534867494546,-0.005392865494843628,0.003356685761872499,2.623063124954598
24,-0.05802789952311735,1.164209452154152,0.23605995897516757,-0.00023026944255205293,0.057005267546463734,,0.17546197131230978,0.8459821428571429,0.22022581230095978,0.05564744147089268,0.9695208910629473,0.11841234796931392,0.003485044685910678,-0.02076117068492067,0.0023459428500711746,2.275401313662203
