iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,mean_terminal_center,mean_terminal_gap,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,mean_threshold,center_resid_l2,width_anchor_l2,actor_loss,critic_loss,loss
1,0.017829837981529942,1.1819625672111265,0.20866050726736335,7.075332532353152e-05,0.04386455627468652,1.1743264015885149,0.0076361656226116015,0.08376778225382807,0.40600198412698413,0.07962003830899242,0.05292829650003484,0.9499419123421788,0.05292829650003484,0.0,0.0055827044255342025,-0.005853074542938553,0.010745255218474744,0.00010619723751967985
2,0.025942543511114517,1.1107631835786849,0.3005942819717083,0.00010294660123458142,0.09832013175909837,1.1011173295801944,0.009645853998490495,0.10663945442930126,0.40773809523809523,0.09577912671858618,0.05953176590808836,0.955569634409019,0.05953176590808836,0.0,0.005872103614429845,0.026922222188104947,0.010993149633752296,0.033005630576390846
3,0.016754577129670645,1.1689461386186248,0.2369151111679727,6.648641718123272e-05,0.05709311220642653,1.1657371661856921,0.003208972432932722,0.1072715129601166,0.4309275793650794,0.09639361772208432,0.058261451006273356,0.9596025856785747,0.058261451006273356,0.0,0.005595740095590129,0.007136260588759793,0.009283513620064413,0.012364474607682897
4,0.021739500712196807,1.158350314125806,0.2439612123826728,8.626785996903495e-05,0.061251769480642614,1.1488044902121135,0.00954582391369252,0.05987053704610313,0.3647073412698413,0.06430977043750345,0.05109860244464049,0.9442140637294866,0.05109860244464049,0.0,0.005620695342574618,-0.006112428595768383,0.003524083459365162,-0.003764004700947929
5,0.020376939891876226,1.10165608875508,0.2787276991232642,8.08608725868104e-05,0.0873606551374976,1.0947858880819041,0.006870200673175786,0.08970284061815982,0.39112103174603174,0.0836411372388341,0.05450215683602013,0.9494855657710399,0.05450215683602013,0.0,0.005664358116994938,-0.008833931118208052,0.004105349736384854,-0.006194930421103343
6,0.024328002302453935,1.130236369247993,0.2910549861597965,9.65396916764045e-05,0.08957996914418172,1.1214544833472286,0.008781885900764452,0.08717437507172815,0.3927331349206349,0.08472425991522378,0.05808146937544237,0.9510947567052799,0.05808146937544237,0.0,0.005890921787311352,0.007971768133499674,0.003301535631095034,0.010208988342629781
7,0.021287007235577714,1.1647078828648403,0.24502865604555452,8.44722509348322e-05,0.061284575815372486,1.1560884091032158,0.00861947376162453,0.06986369755473383,0.35565476190476186,0.0690874793012275,0.05026764130767944,0.9481657033812085,0.05026764130767944,0.0,0.005561114185733681,-0.010857511094318113,0.002114311131166352,-0.009214332941753936
8,0.025112168621486408,1.1246088846055244,0.2790342893922532,9.965146278367623e-05,0.08354395493706283,1.11462151602176,0.009987368583764367,0.08190200931035804,0.3567708333333333,0.08051551534217502,0.05722891689980365,0.9485210509450279,0.05722891689980365,0.0,0.005895078642472323,0.005364767498342836,0.0020666454270874338,0.006984346764324283
9,0.02882113495293106,0.9990891644154021,0.2799670509067807,0.00011436958314655181,0.11874671344874124,0.9897656530979182,0.009323511317483879,0.127855559654213,0.3994295634920635,0.11024487057836779,0.06498715621400702,0.9528782048768455,0.06498715621400702,0.0,0.006625396543113656,0.006941275701334011,0.002160150571389748,0.008608237858367248
10,0.027428914887127898,1.0654509269715584,0.2901015289570698,0.00010884490034574563,0.10226235015604251,1.0554497475915383,0.010001179380020098,0.10197989276583075,0.40687003968253965,0.09253275556172669,0.05758431169991033,0.9547219487803338,0.05758431169991033,0.0,0.005715831365815814,0.005571617048375992,0.0016913862180160536,0.007003187464545072
