iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.6036770827670976,0.6036770827670976,,,0.0,5.454839043610637,-3.105188802153034,3.3385570337051504,1.6233715044286288,1.2478306171978517,3.9995487371017227,-2.9610503386517344,32,1.0912090908439547,-3.363936363530771,0.647271752708936,-1.3302452067912482
2,0.0,0.6222293914211487,0.6407817000751999,,,0.0,5.520268627343176,-2.9819257421134124,3.3144322730453455,1.244491856323306,1.3227790849133676,3.9996411964700362,-2.975164473367956,32,1.0915077827266124,-3.3642359402750177,0.647570583921909,-1.3305454816143054
3,0.0,0.5892348029114013,0.5232456258919063,,,0.0,11.032727737025876,-3.757564014776891,3.419111700227913,1.219306803813887,1.1677060932888934,3.99987826400049,-2.9804969250765017,32,1.0918066639418929,-3.3645357122846202,0.6478706368640519,-1.330843197601288
4,0.0,0.6243700106494527,0.7297756338636074,,,0.0,2.193652441475969,-2.1874713711105866,3.239942772381373,1.919444199793456,1.3614846892497057,3.998916249717907,-2.9745281036369002,32,1.0921012605528408,-3.3648127695661842,0.6481719037392102,-1.3311155267551051
5,0.0,0.624991529282204,0.627477603813209,,,0.0,4.444393085282116,-2.8038408209677756,3.3145722259461725,1.6233506246798979,1.2529172697481168,3.998702075090276,-2.9721212643352937,32,1.092398993173012,-3.3650860547713513,0.648474191845603,-1.331395116373372
6,0.0,0.6390311880495781,0.7092294818864485,,,0.0,5.560047165651288,-2.64250485034366,3.2863275139645465,1.6273533557200277,1.35510446564353,3.9988722715514315,-2.9800322067730582,32,1.0926983950249733,-3.3653645935936436,0.6487708185770368,-1.3316812307713262
7,0.0,0.6433566507218677,0.6693094267556056,,,0.0,3.4837756805063878,-2.500673151538713,3.293250389911459,2.0103184517775152,1.2916061730078798,3.998227381026404,-2.9403793090547254,32,1.092991964077068,-3.365638475138696,0.6490703094389708,-1.3319612108845824
8,0.0,0.6451738068382331,0.6578938996527905,,,0.0,3.8764122240219065,-2.3170615155123646,3.2845928758637077,1.7757582339205178,1.329283158993856,3.99895147632677,-2.9801256607366993,32,1.0932862004575994,-3.3659128033087904,0.6493663463659497,-1.3322042433370243
9,0.0,0.6500158004932586,0.6887517497334632,,,0.0,1.523199653214041,-1.8383823927939718,3.2832372560419416,1.3724620165305028,1.2932457952827792,3.9998237678139956,-2.9728862919132206,32,1.0935779210775658,-3.366190699248237,0.649661685809526,-1.3324575455988679
10,0.004489287274431255,0.6510712725568746,0.6605705211294189,0.6510712725568746,-0.4489287274431255,0.004489287274431255,3.920734094059097,-2.400782380438429,3.290610060493984,1.5691797525576143,1.2952568165815093,3.999276618022984,-2.960070146582792,32,1.0938738452472454,-3.366464542011493,0.6499586813796432,-1.3326974835627574
11,0.004489287274431255,0.6635296026404623,0.7282603836029747,0.6510712725568746,-0.4489287274431255,0.0,2.5119204556412758,-1.7781882907495474,3.2568151937224683,1.780225232467545,1.3491105964925347,3.999408755214188,-2.9637738583450135,32,1.0941675061624747,-3.366736068136281,0.6502517219184871,-1.3329486866616054
12,0.004489287274431255,0.6666200690147992,0.6716863638185674,0.6510712725568746,-0.4489287274431255,0.0,3.533337876837356,-2.050708332168356,3.2751526461743086,1.8760290892120628,1.2637935329112753,3.999237724267336,-2.9468439671062523,32,1.0944618535155117,-3.3670048961136367,0.6505458227230073,-1.333191183317684
13,0.004489287274431255,0.6833638634021488,0.690683569765403,0.6510712725568746,-0.4489287274431255,0.0,2.2749614389811166,-1.6804781764179684,3.2523375438128648,2.072498280549781,1.3703315300600076,3.997994973843959,-2.9421112367332234,32,1.0947524975224974,-3.367267069693967,0.6508431339029286,-1.3334320492546987
14,0.004489287274431255,0.6807801368697269,0.7039383685393878,0.6510712725568746,-0.4489287274431255,0.0,1.9581492130734113,-1.7246094623406072,3.2334780862407397,1.985771699369367,1.3304252934269396,3.999261151815695,-2.948480556367194,32,1.0950455584951055,-3.367520893175004,0.6511468495638306,-1.333656570979304
15,0.004489287274431255,0.7011066473742431,0.8307427088583719,0.6510712725568746,-0.4489287274431255,0.0,2.4735454834005446,-1.6880028870695498,3.242980873044451,1.628629321600351,1.4273354407770165,3.997438279851666,-2.9116127424122284,32,1.0953342428754196,-3.367777751281455,0.6514475299254557,-1.3338878463745714
16,0.004489287274431255,0.6951054636955776,0.6492176450997917,0.6510712725568746,-0.4489287274431255,0.0,1.7167957025201042,-1.3953070748785876,3.2399118910761207,1.6845448082398673,1.3778028613231235,3.999161899187226,-2.97157777274934,32,1.0956224714294236,-3.3680305340082204,0.6517484655466703,-1.3341168914186454
17,0.004489287274431255,0.6841704998298507,0.5599597880983388,0.6510712725568746,-0.4489287274431255,0.0,11.929346592254472,-3.831968103609795,3.3457763355606422,1.2065157570415919,1.1993521385059904,3.999311475226424,-2.975890419736973,32,1.0959027984764214,-3.3682973578079216,0.6520472289741962,-1.3343645532562083
18,0.004489287274431255,0.6883474192289649,0.6996630936439314,0.6510712725568746,-0.4489287274431255,0.0,2.2921658068485393,-1.8307045895687597,3.242685956995307,1.9522516635185028,1.308883534100089,3.999043710102576,-2.9465310474142385,32,1.096188442635363,-3.368556951970511,0.6523457097873928,-1.3346144765963939
19,0.004489287274431255,0.6889503262260822,0.6947808197046366,0.6510712725568746,-0.4489287274431255,0.0,5.048703431821091,-2.2593455420736257,3.2936850361667425,1.4897102710953727,1.3090717490541952,3.998881616748464,-2.925949722761081,32,1.096474322865832,-3.3688189189362165,0.6526386709814699,-1.3348829822878976
