iter,actor_loss,critic_loss,mean_terminal,std_terminal,mean_utility,avg_turnover,avg_gross_lev,mean_lower_scale,mean_upper_scale,val_terminal,val_utility,val_turnover,val_gross_lev
1,-0.002132685181132781,0.03496532068038108,1.225994077153422,0.4262036390813875,0.14394767271329817,0.08351721903003731,1.8251721744342517,0.9839514010942095,1.0030717722098825,,,,
2,-0.0015135884763454214,0.019329187121448693,1.2467375272916814,0.49593853079535843,0.14007434227321014,0.08857909360231309,1.8136710784376142,0.9805957958102867,0.9997042165217511,,,,
3,-0.001107318327311367,0.01755534451447602,1.2942082867127995,0.47769352434849294,0.18941075833534685,0.092322449338246,1.7982818063837938,0.9792912347792437,0.9934486444375966,,,,
4,-0.001599631538425412,0.01516381837727485,1.2519967241093526,0.482884303637948,0.14968919872589342,0.0872184170867954,1.8157806530726943,0.9829521280559379,0.9979786129910151,,,,
5,-0.0016390143177695726,0.014514838320095667,1.20904764346044,0.4777010445023906,0.11507450941359305,0.0915003323412896,1.8090705133728728,0.9841321520336004,0.9983439738548259,,,,
6,-0.0014027541181924415,0.015093902168220272,1.1735456982211294,0.41789178551225514,0.0946616175376143,0.0980285578511254,1.7956521576270927,0.9842887758389208,0.9964645607796315,,,,
7,-0.0019634715739447013,0.012951907668774404,1.2518376156998192,0.4134200897579839,0.16965812067111732,0.08220560541045387,1.8243012065832094,0.9882800298952008,0.9973283023608384,,,,
8,-0.0018955507536387944,0.012652295873123732,1.2460483989239273,0.4518282270550968,0.15355737197420505,0.07707092022956911,1.8341253456050142,0.9868491136559059,1.001351354356123,,,,
9,-0.0015374925152554252,0.013497977549263912,1.2162316455415736,0.5482997193196749,0.11569628651945289,0.0916210514055033,1.8093527694671003,0.9872152186443439,0.9961938721699868,,,,
10,-0.0014687116445381552,0.013123561305862353,1.2117741954573984,0.42746376060107216,0.13129840305757015,0.07763003771502591,1.8392387598780737,0.9906099726888626,0.9998915866391955,,,,
11,-0.001192624295629417,0.014976055012568453,1.231132003738265,0.4552214258566991,0.14078587393438727,0.09969941756471293,1.7909122428756488,0.9870358753552477,0.990942744676546,,,,
12,-0.0014527603881097913,0.01475268885422012,1.1907080189241237,0.42983415444055395,0.11201697770180623,0.09542165381114456,1.8020706331109726,0.9873866705657861,0.9968429274492959,,,,
13,-0.001306875356598566,0.014754309108017567,1.241613071263127,0.47102871075121444,0.14674115087729794,0.09008413489318574,1.8082570636952782,0.989805389002189,0.9950884002422871,,,,
14,-0.0016585447184899976,0.013732849875142608,1.1999702459659574,0.42986248216165573,0.11873044832276541,0.08413424719332158,1.822581464714849,0.9922588890498352,0.9976569201764434,,,,
15,-0.0010412100182334415,0.013637972120123085,1.1945232163402812,0.4538233370904628,0.1113361004409569,0.08558211282550215,1.820467172975152,0.988408636188221,0.9985374444993854,,,,
16,-0.001003246516705857,0.012759756321697808,1.1785931291470397,0.38074176671717447,0.11257131579538723,0.07941179737261592,1.8299089699330764,0.9888898832103126,1.0053265380034395,,,,
17,-0.001887824634809859,0.013538404846334944,1.2100409520792268,0.46058668293999167,0.12340940289272948,0.09382003787579687,1.8002007015936259,0.9854418308321184,1.001542321455754,,,,
18,-0.0017736835671639823,0.013635845026228367,1.2100520812958382,0.4226002659636138,0.12887056437791308,0.08826986027793413,1.8155651714974295,0.9860410243337776,1.0062896437177475,,,,
19,-0.001543996083098206,0.012741965693404573,1.1825309812603557,0.4340780461456375,0.10638839782826137,0.08271513071779067,1.8235893939404728,0.987300961894889,1.0081725751951858,,,,
20,-0.0017941768086141125,0.012438913090091572,1.1936348841776727,0.3582300330740483,0.13042104416190844,0.08203751162829184,1.8253039794889796,0.9870270691154417,1.00879592808397,,,,
21,-0.001282042736425196,0.013225385381748982,1.1953955957302174,0.4400565776122726,0.11332720099733745,0.0795418582703801,1.8316874401740804,0.9882551313037993,1.0099938001697315,,,,
22,-0.0011785840005683588,0.013669551487008503,1.1432531137758453,0.4289597603052946,0.06614438758269772,0.0978238286280789,1.801208691721028,0.9884427894603925,1.0058212219637026,,,,
23,-0.000768638703428796,0.013205900325113871,1.192684402328426,0.4778505626353165,0.10464431631133342,0.09132852734128688,1.812890006834293,0.9856238923289664,1.0057662108399799,,,,
24,-0.0013336938755162974,0.011809109629467497,1.210724776755289,0.4073865082827335,0.13609782632394168,0.08402161166042661,1.8221859272778624,0.9879556733236947,1.0054210847607943,,,,
25,-0.001605832970836543,0.01281504162055484,1.2790294437267264,0.4295063246202676,0.1880364294151214,0.07583047586486391,1.8337635631127305,0.9837748939668375,1.0036232187602598,1.2544344148619007,0.14922810416230053,0.0821993960966432,1.8211344730683163
26,-0.0012045073205683363,0.014148558322880119,1.2695896103537279,0.5309374104630541,0.1587548237626828,0.08704276956670126,1.8155900649586716,0.9871536987575531,1.003986924323633,,,,
27,-0.0013610363469593837,0.013317340377185093,1.2651859994236005,0.4968039841810669,0.1648233479984404,0.08104588818984602,1.8281350383739634,0.9873981192623613,1.0047422811487419,,,,
28,-0.001643486873262177,0.015606917012078895,1.322006460646199,0.5676289609383449,0.19489307497404637,0.08390279319442304,1.81756077815171,0.988940755649315,1.0017607800504176,,,,
29,-0.001183487764388092,0.014463805508180945,1.3093589214256964,0.5112556219869727,0.19992070025194125,0.07318918665742004,1.8377035719869137,0.9884149581202877,1.0043027937313542,,,,
30,-0.0013935784199576723,0.014926283499386567,1.2256464866365624,0.45913997452235267,0.13621977883278635,0.08766912907729418,1.8165822350533074,0.9887014700642238,1.0056199072996974,,,,
31,-0.0011561413881306707,0.01389385512083571,1.1980407270649076,0.4273282270006299,0.1195664009981148,0.08922928693466198,1.8108769401858944,0.9894114877589995,1.0042944244961398,,,,
32,-0.0014315711300368148,0.013897754128695781,1.2156727370877345,0.4518689394092169,0.12796900688020915,0.09035038710295054,1.8116588185675258,0.9887868553186512,1.008210776153177,,,,
33,-0.0006560616277052392,0.015114159688284083,1.24597913592422,0.49643057529161533,0.1421410890564871,0.08177970352880953,1.827979840452978,0.9899026959038031,1.0040572549309035,,,,
34,-0.0011129358413494931,0.014424171192458153,1.2753083736850952,0.4735443820168591,0.17994613073615873,0.08801033140475889,1.809701545465741,0.9889071087872012,0.9967006550247052,,,,
35,-0.0014882835380673023,0.014347334194702568,1.172658696771899,0.46958584037157897,0.08619508732831734,0.0918391521077796,1.8122469729121615,0.9924500493921942,1.0033723182419236,,,,
36,-0.0013615623707566903,0.01419014535171987,1.2356924871436785,0.4637397617747122,0.14356138084811937,0.08318188368250519,1.8202448126131072,0.9910760358760433,1.0039544150832778,,,,
37,-0.0010076099028643684,0.014997107568722677,1.2539488818948057,0.44013308309118643,0.16546785110659362,0.08492456912597401,1.815811505576376,0.9880326525822961,1.0010488579878782,,,,
38,-0.001090897902074646,0.014847250774185465,1.1848344258442496,0.43776974856041373,0.09783145474288896,0.08881242346700984,1.8170600158959602,0.986986000846585,1.005347122832239,,,,
39,-0.0007308877514071758,0.015540384882350622,1.2074287068432512,0.46530215378960105,0.12152408477477192,0.08716927596756088,1.8155794790640858,0.9848642398879212,0.9982555069224945,,,,
40,-0.0012130748475702349,0.01703309117586048,1.2865584907997,0.5111191070253341,0.16931453561398846,0.08638398726098089,1.8146820303794438,0.9833208942941326,0.9968271249927665,,,,
41,-0.001034613628722663,0.01641425953942833,1.2254861429923647,0.47572468478797963,0.12980612720647572,0.08631931006905004,1.8207540921539471,0.9817607444063041,0.9979710900121721,,,,
42,-0.0011927809111507938,0.01688576584083807,1.1974421571363227,0.4422230804458537,0.1145343691754064,0.0904178367872478,1.8158375071272974,0.981622942234794,0.9994907256936008,,,,
43,-0.001191864404486119,0.01568477363425402,1.1721014461392694,0.41079269844834476,0.0986538779417475,0.07955485551430719,1.832201265428964,0.9813731955537487,1.0044936435802332,,,,
44,-0.0008887939250742744,0.017358522560994148,1.2871138555148987,0.5587992579431534,0.16080238430530341,0.0838646567453537,1.8235026062192565,0.9808747522523702,0.9974383741601787,,,,
45,-0.0010092623848144459,0.01731776756456272,1.3255997514919107,0.5272527782537701,0.2052334494146139,0.0812300982614779,1.822150313211428,0.9799946654377367,0.9981697808127085,,,,
46,-0.0014866869951113645,0.01762318771293396,1.203751847729778,0.428878598414868,0.12236365366174604,0.08654442508727847,1.8168381072008373,0.9816203920026054,0.9983596460559576,,,,
47,-0.0016652746301755472,0.017906091466388857,1.1703292067631557,0.4636438196699539,0.08565998490464408,0.09495377378866805,1.8104579809947126,0.9814156750589369,0.9993479544053585,,,,
48,-0.0012256895128811328,0.017163204252446523,1.2780310528025505,0.46840883133897643,0.18421864891511924,0.07817106456897135,1.8312466977383517,0.9811474280929136,1.0038050736265336,,,,
49,-0.001080582298349746,0.016363022247636905,1.2089197034067931,0.45290636675859075,0.12526577077648748,0.08254661240210438,1.824297430269141,0.9802841588630795,0.997727925732715,,,,
50,-0.001419256977331438,0.016690586811802285,1.2650928448150025,0.5784022853014441,0.1470795779436784,0.09322325515481741,1.8067957088234747,0.980686090540013,0.9977589725376721,1.2114065261488047,0.12337876567080835,0.09144905632166819,1.8109773310065256
51,-0.0015093524742902046,0.01844454740492237,1.2686358858466709,0.44422796682526655,0.17287153779438535,0.08787762505469063,1.813310651728207,0.9822825978678291,0.9966790038672312,,,,
52,-0.0011218566207314223,0.018515023765376143,1.2745535418035292,0.46872914087587353,0.18071669560177994,0.0799239576982374,1.8256423317189505,0.9834252591438293,0.9944704422547369,,,,
