iter,loss,xT,omega,delta,c_mean,delta_mean_proxy,c
1750,11.305788020711585,1.069438188744789,-2.169096346578794,"[0.004415078015553119, 0.018581605533136147]",0.06724271061643541,0.011498341774344632,"[0.025819532866141956, 0.10866588836672886]"
1800,11.226585963791138,1.0808477310119518,-2.169096346578794,"[0.004378639524953674, 0.018775695602434892]",0.06770368662900941,0.011577167563694283,"[0.025606439280408996, 0.10980093397760983]"
1850,11.27867543877265,1.0733770887675576,-2.169096346578794,"[0.0042830660177526235, 0.01939712441245758]",0.06924129686219319,0.011840095215105102,"[0.025047522019690825, 0.11343507170469554]"
1900,11.529965752828478,1.034124917623018,-2.169096346578794,"[0.004208708124838431, 0.019893437178273826]",0.07047510039528414,0.012051072651556128,"[0.02461267442397636, 0.11633752636659192]"
1950,10.950387381077626,1.1227774942196662,-2.169096346578794,"[0.004171932492575234, 0.02011846957484847]",0.07102556651346938,0.012145201033711852,"[0.024397609221833195, 0.11765352380510555]"
2000,11.317669424464334,1.0668748149163352,-2.169096346578794,"[0.004098003295374702, 0.02064876031911601]",0.07235997577213157,0.012373381807245357,"[0.023965268653860814, 0.12075468289040232]"
2050,11.350175708380606,1.0626528352985511,-2.169096346578794,"[0.004050082121331498, 0.02098304021651751]",0.07319729375872322,0.012516561168924504,"[0.023685023927984182, 0.12270956358946225]"
2100,11.009177015155,1.113935788875872,-2.169096346578794,"[0.004000254158217635, 0.021343881894878354]",0.07410670337893288,0.012672068026547995,"[0.023393628231976278, 0.12481977852588948]"
2150,11.292209867673664,1.0709851775066932,-2.169096346578794,"[0.003925884356908941, 0.021930353484443884]",0.07560409809156639,0.012928118920676412,"[0.022958710995548304, 0.12824948518758447]"
2200,10.93222582790441,1.126032717178492,-2.169096346578794,"[0.0038560151392074415, 0.022506300193560945]",0.07708387765337577,0.013181157666384193,"[0.022550113331719822, 0.1316176419750317]"
2250,11.220090432143818,1.0826774105126817,-2.169096346578794,"[0.0037916288583823552, 0.02306719012805015]",0.07853566314377715,0.013429409493216254,"[0.022173580077259607, 0.13489774621029468]"
2300,10.99048626177288,1.1166147028015438,-2.169096346578794,"[0.0037429875316670924, 0.02348951869118993]",0.07962833125162617,0.01361625311142851,"[0.021889123873008336, 0.137367538630244]"
2350,11.24160134542706,1.0796253741308317,-2.169096346578794,"[0.0036919522146697825, 0.02394720956219677]",0.08081739930489282,0.013819580888433276,"[0.021590667528657435, 0.1400441310811282]"
2400,11.060717760927508,1.1073627752715343,-2.169096346578794,"[0.003646696340631543, 0.02435213176045251]",0.08186907001674262,0.013999414050542025,"[0.021326009571765156, 0.14241213046172008]"
2450,11.408758810081192,1.0531503707284326,-2.169096346578794,"[0.00360982215890265, 0.02467923282957023]",0.08271769858357385,0.01414452749423644,"[0.02111036804885042, 0.14432502911829728]"
2500,11.381773638417128,1.0583238991064703,-2.169096346578794,"[0.0035532725484910778, 0.02524613752685667]",0.08420998591038313,0.014399705037673875,"[0.020779663920985493, 0.14764030789978078]"
2550,11.43463091649813,1.048979163229178,-2.169096346578794,"[0.0034902199564770496, 0.025923702343672483]",0.08600683055605221,0.014706961150074766,"[0.02041093012600686, 0.15160273098609756]"
2600,11.076004563191438,1.1043327058597276,-2.169096346578794,"[0.003491164647314526, 0.02582233421583347]",0.08571319064492741,0.014656749431573999,"[0.020416454711538672, 0.15100992657831616]"
