iter,loss_critic,loss_actor,mean_xT_batch,std_xT_batch,omega,target_z,lr_theta,lr_phi,cov_mode,signal1_asset1,signal2_asset1,signal1_asset2,signal2_asset2,val_mean_xT,val_std_xT,val_mean_sharpe
1.0,129.24948230397672,-4.855441203203787,0.9025610838020411,0.12112470191081756,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0191024676357123,-3.142640941749477,0.5105748225803904,-0.9642350800627993,0.8877084330868028,0.13896551535321341,-0.8371748143299764
2.0,120.39262897930566,-4.98370706427518,0.9300884267538964,0.1496515333093233,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0190024483764786,-3.1427410770485498,0.5106745338415665,-0.9641349452770496,,,
3.0,126.95013666749489,-5.108602705401825,0.874058335925658,0.13844265512845966,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0189149612989674,-3.142841369783744,0.5107744075800943,-0.9640350589441957,,,
4.0,129.63886141850537,-4.731844835076718,0.88850500153361,0.1321224135770037,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0188236012895655,-3.1429419199939064,0.5108739669187913,-0.9639348452101487,,,
5.0,132.03474128989407,-4.508163010799254,0.871628120150489,0.1466775062099949,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0187297599311709,-3.1430428931404006,0.5109728740835613,-0.9638342294048574,,,
6.0,123.30267504167205,-5.334466185981319,0.8806389343825136,0.14871500347785824,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0186343590676208,-3.1431434298576653,0.5110722344352507,-0.963734078630287,,,
7.0,128.2865981922589,-5.086292146629155,0.8984487727448647,0.12158446598617009,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0185369174311032,-3.1432438872316397,0.511171829548231,-0.9636341567656221,,,
8.0,128.3502428137429,-5.002930206735265,0.8926551497745043,0.13136384624725417,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.0184447347561054,-3.143344443717213,0.5112713428750417,-0.9635340272757801,,,
9.0,129.2329403613835,-4.817760008043979,0.8707412828659677,0.13333956105710118,0.0,1.2,0.0002,0.0001,belief_avg_regime,1.018354752918993,-3.143445400223002,0.5113705065292009,-0.9634335073292342,,,
10.0,123.89048850336174,-5.173913979403962,0.8858765284061041,0.1509953138352419,0.0018847408295633752,1.2,0.0002,0.0001,belief_avg_regime,1.0182785909664032,-3.1435447915974466,0.5114702387583504,-0.963333657432042,,,
11.0,118.37658345817113,-5.176230456921742,0.9107265150614021,0.12972479221405583,0.0018847408295633752,1.2,0.0002,0.0001,belief_avg_regime,1.0181999699383226,-3.1436439102368827,0.5115704262264447,-0.9632344878909525,,,
12.0,122.22717322649632,-5.095534264058848,0.9030995624126884,0.11708842997862567,0.0018847408295633752,1.2,0.0002,0.0001,belief_avg_regime,1.0181215248771045,-3.143742239672112,0.5116709707096362,-0.9631357781245466,,,
13.0,127.92808869528227,-4.746129156381844,0.8965285701589553,0.14193796253517382,0.0018847408295633752,1.2,0.0002,0.0001,belief_avg_regime,1.0180372644770954,-3.1438415360402865,0.511771126011071,-0.9630366025235287,,,
14.0,121.16067094448422,-5.494542374906961,0.913533088612447,0.13991499941637126,0.0018847408295633752,1.2,0.0002,0.0001,belief_avg_regime,1.017949245153987,-3.143940475804732,0.511871920978293,-0.9629387037561064,,,
