iter,loss,mean_terminal,std_terminal,avg_turnover,avg_gross_lev,gap_l2_pen,mean_utility,mean_lower_gap,mean_upper_gap,lr,val_loss,val_terminal,val_utility,val_turnover,val_gross_lev,val_gap_l2
1,-0.061564869850413526,1.0699305463505606,0.11696773388340037,0.01302238070441425,0.6109559538760356,1.0399755432648516,0.061587890355737154,0.6857243833250428,0.7515365495067221,0.0005,,,,,,
2,-0.061601788439605745,1.0725250477771682,0.137878857333283,0.014395790469448569,0.6357466720941339,1.0193326128680995,0.06162553712769009,0.6753067979128653,0.747186203944626,0.0005,,,,,,
3,-0.07310221388646088,1.0844011783133647,0.13560960393329138,0.016462707168380337,0.6505259624569628,0.9987259202665554,0.0731269377588723,0.6666280104077371,0.7412297089205815,0.0005,,,,,,
4,-0.06564981823579433,1.07817969029931,0.1479232164469368,0.016680438112493656,0.6810473238418573,0.9831822905691658,0.06567480075099469,0.6562897418680453,0.7398679999514562,0.0005,,,,,,
5,-0.05804789590716813,1.0700821705576182,0.1480028886717515,0.01741322183417741,0.7044779031279422,0.9660258487568111,0.05807330755560407,0.6479077155098691,0.7356058397688565,0.0005,,,,,,
6,-0.05128640606748451,1.0626979336452582,0.14369019255702312,0.018955867729258703,0.7223098273606257,0.9487509514796914,0.05131259460913755,0.6404996876135247,0.7301770724348653,0.0005,,,,,,
7,-0.07927538458765433,1.0911756394817713,0.1365362347063981,0.017363037489891747,0.7436052387836392,0.9351428361529001,0.07930085358714864,0.6307581732693033,0.729260496625053,0.0005,,,,,,
8,-0.07518804718612722,1.0900817890775185,0.15997757370139176,0.01720886968148465,0.7765874032088114,0.9219845986017399,0.07521363734098607,0.622504568658238,0.7271323334077051,0.0005,,,,,,
9,-0.060825853614815455,1.075595179408527,0.16899327453373367,0.020745627401248093,0.7820851560569001,0.9061116676900751,0.06085310839675355,0.6160619049777732,0.7214719691820595,0.0005,,,,,,
10,-0.07125048599793624,1.0853088917607243,0.15698121227444406,0.01803735695268402,0.8210570633397334,0.8938736234340715,0.07127665398328031,0.605436050484438,0.7218597685738061,0.0005,,,,,,
11,-0.07204230769610932,1.0881041290351747,0.16999378528775763,0.02361212646112435,0.8086784027252605,0.8778041939781724,0.07207097858530692,0.6050747296384458,0.7104122059091618,0.0005,,,,,,
12,-0.06181992745986623,1.0769988365713763,0.16756267490778473,0.023486456029589205,0.8337836585291639,0.8654314862027377,0.06184866283932835,0.595249739547584,0.7098774848711656,0.0005,,,,,,
13,-0.08115836093883394,1.0988961162900064,0.17725667511377213,0.021732288541227295,0.8519135585051654,0.8535951976328608,0.08118628217066592,0.5896205002216561,0.7058696426079044,0.0005,,,,,,
14,-0.06913368808876307,1.0864814550951802,0.17874026155153067,0.02228069119382025,0.8750607398782216,0.8433641742745074,0.0691620126835015,0.5792014230156707,0.7072426977676622,0.0005,,,,,,
15,-0.05953742234917555,1.0757953452730948,0.17702616613079078,0.023360544719857504,0.8899858432155638,0.8311216827576736,0.0595663136967952,0.5742443212234645,0.7021464417590358,0.0005,,,,,,
16,-0.07272773876519298,1.0880564091106242,0.16352431425024724,0.02136651928771942,0.9159345758050843,0.819927241407187,0.07275578064300897,0.5648230879395677,0.7017399107872684,0.0005,,,,,,
17,-0.07174581115281324,1.0899583444335845,0.18374598026821598,0.025243885287827474,0.9102302013793043,0.8068419567128373,0.07177560381703808,0.5648763362190135,0.6916819275700377,0.0005,,,,,,
18,-0.0759454163593314,1.0955617018503536,0.18849996001781702,0.024754820740748643,0.9363317196388089,0.797488291113208,0.07597513196980929,0.5564380277449914,0.6916338286147674,0.0005,,,,,,
19,-0.06811273294120601,1.0863964759787839,0.18680472843544757,0.023918506130924444,0.9489531995150515,0.7866864323970431,0.0681420485905906,0.551177131905455,0.6875947922072222,0.0005,,,,,,
20,-0.08095729674039931,1.0979639166647928,0.17101762743878954,0.024200631743005123,0.9724525753318585,0.7768529725156108,0.08098689011174927,0.543257853969913,0.6866591573118175,0.0005,,,,,,
21,-0.07645168635760774,1.0974142112154137,0.19775414315519918,0.024421899159646987,0.9885150915984695,0.7674114774039582,0.07648145657287758,0.5382677148385451,0.6834802315552275,0.0005,,,,,,
22,-0.05363000622224393,1.074272848066605,0.20326151067375833,0.029773766455618942,0.986412513593016,0.7559735103042522,0.05366231696571072,0.5352460816625776,0.6768645753667497,0.0005,,,,,,
23,-0.06518063776985124,1.0878297350148611,0.207104139027947,0.02986854174265933,1.002229258300605,0.7473685948235737,0.0652130680192538,0.5288664935194288,0.6753221353684387,0.0005,,,,,,
24,-0.08198303388704704,1.1022547218171397,0.1895115186306052,0.027733839954798396,1.0264061062442134,0.7385510323592323,0.08201455037841049,0.5205881975985054,0.6751727562584621,0.0005,,,,,,
25,-0.11541467066594238,1.141129660194229,0.2024178476191968,0.025161678332712607,1.0325929231629591,0.7294738667736228,0.11544487217300808,0.518261905943988,0.6697484836068507,0.0005,-0.09938086990070316,1.127874075607135,0.09941210635245398,0.027268500425143186,1.03975267295974,0.7204674808655556
26,-0.09441296038058089,1.1233226538462644,0.23081301145422128,0.02965162373233273,1.031737704390113,0.719792566807118,0.09444530149515902,0.5148684463425417,0.6646104767107455,0.0005,,,,,,
27,-0.10019363453690602,1.1268540411303538,0.21660171830863376,0.02776570775676459,1.0597544760278192,0.7103778425139378,0.10022521871396983,0.5065209540604168,0.6638514382230144,0.0005,,,,,,
28,-0.11297024294832061,1.1454612137148281,0.23830105058048087,0.03032750291456761,1.0536409222811542,0.7007304875542384,0.11300295041387623,0.5075835046881789,0.654659374298982,0.0005,,,,,,
29,-0.12189385739998307,1.1510553420457685,0.21907338547646346,0.0265345220258143,1.079564631598695,0.6914130107910056,0.12192483443741986,0.49289236489495386,0.659542057984313,0.0005,,,,,,
30,-0.09158853586331706,1.1193790238700472,0.22625029957673767,0.03258942004240197,1.0844384234686921,0.6818482514863617,0.0916224934400878,0.4933190313796135,0.6503636529189554,0.0005,,,,,,
31,-0.08707110951236541,1.113461847432386,0.21983650432609605,0.031776119316540445,1.1058145265677852,0.6724624857913666,0.08710478034214728,0.485673200748713,0.6483743287402185,0.0005,,,,,,
32,-0.08823619685878119,1.1172488928703144,0.23392701858636056,0.03450867148116337,1.1164588787719698,0.6655710232743742,0.08827127149354222,0.47919463710623744,0.6478755002161356,0.0005,,,,,,
33,-0.09393836173282669,1.1261580771529731,0.24420256087532083,0.03149482364589269,1.1287574804938312,0.6569514692331623,0.09397196623414691,0.47320048997651465,0.6453341742182234,0.0005,,,,,,
34,-0.11829602196184118,1.149104974421081,0.22828951039917894,0.0342576410994925,1.121735700283151,0.6460125487797134,0.11833082826488155,0.47475574856384045,0.6337068559465268,0.0005,,,,,,
35,-0.05923443613992034,1.0878611425396543,0.23731831131289327,0.03749023962595013,1.1591051316565313,0.6409907337535558,0.059271182218387425,0.4571395888602473,0.643943244316599,0.0005,,,,,,
36,-0.09669563820048893,1.129754707014458,0.24393393720674403,0.03461318804322421,1.1735704536207892,0.6321608990932589,0.09673100210803767,0.457121411170505,0.6356233353937267,0.0005,,,,,,
37,-0.11087074898811436,1.1416586469757442,0.23127274049275207,0.03468461730290568,1.174074072532286,0.6247078266762943,0.11090607911575791,0.4554981832054219,0.6297584051193639,0.0005,,,,,,
38,-0.07098553533120479,1.1059133660467813,0.2596774777234196,0.03936852737094909,1.21099944219963,0.6220590199262546,0.07102355017951151,0.4429032447823478,0.6376614025075436,0.0005,,,,,,
39,-0.087540687332609,1.117766709654948,0.23722084115912495,0.0367984881819121,1.193661539108776,0.6113826705319111,0.08757713701879638,0.4444918952441965,0.626475111551215,0.0005,,,,,,
40,-0.1136075640349194,1.1550018614668902,0.270176596038692,0.03762148337108785,1.1771520737487222,0.6056222017180659,0.11364420251935961,0.4433073764411941,0.6221361927403581,0.0005,,,,,,
41,-0.08520845224422993,1.1208884936643728,0.258751568656633,0.04005574890899531,1.2282045999412017,0.6016486803099683,0.08524677865148694,0.43383454583801573,0.6250872209270106,0.0005,,,,,,
42,-0.08105538237014023,1.1136723087081761,0.24567102662878124,0.04206057221861283,1.2244263051843318,0.5955167686380183,0.08109461208698776,0.4288377097723569,0.6229803060562573,0.0005,,,,,,
43,-0.07817056365091263,1.1091267033599537,0.2428496613390532,0.03643565514374756,1.2779387293992397,0.59085931767905,0.07820746945895529,0.41512103779404486,0.6293135888507673,0.0005,,,,,,
44,-0.10115865701544346,1.143490390779792,0.2775770741773677,0.03885628347789699,1.2208502794740441,0.5827325201122168,0.10119612098517826,0.4249639767877097,0.6137625631274805,0.0005,,,,,,
45,-0.13600106369309783,1.1761731225281424,0.25494840830684534,0.03700567183664066,1.235381655656429,0.5780195992010784,0.13603770054156472,0.4200064203964915,0.6127912136829389,0.0005,,,,,,
46,-0.0996950585301131,1.1344994690125492,0.2519705757595409,0.03981517676576116,1.2549529183763404,0.575986759947487,0.09973327551527922,0.4128403917139242,0.6158449941630124,0.0005,,,,,,
47,-0.07069112692530943,1.104305473033029,0.25809714637379433,0.04500146240926436,1.261905793742971,0.571507593725538,0.07073196179038875,0.4086980685631647,0.6139560451182469,0.0005,,,,,,
48,-0.13026975761621498,1.1648625618503763,0.23823865344996034,0.03717911603691644,1.2682128157617751,0.5689826593710312,0.13030671912898478,0.39857444268177733,0.6196094429602235,0.0005,,,,,,
