iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,mean_terminal_center,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,center_resid_l2,actor_loss,critic_loss,loss
1,0.019350067465425124,1.1826076238399787,0.20755995912850195,7.678598200565526e-05,0.04338363138191707,1.1743264015885149,0.08351938311033022,0.40910218253968256,0.08043769743028585,0.05476120341548131,0.9803628851080486,0.0,-0.007231074851108956,0.020764696071430305,0.0043137047222823206
2,0.025649304537239157,1.110293979032074,0.30072798397622763,0.0001017829545128538,0.09848449054430419,1.1011173295801944,0.10681449491156667,0.41542658730158727,0.09657824275352317,0.06109021464878488,0.9830700018222018,0.0,-0.005173555935542733,0.020486050106771264,0.006231727617468393
3,0.019014708442943482,1.1703817650308665,0.23622574777518082,7.54551922339027e-05,0.05667984375463013,1.1657371661856921,0.10730626503257576,0.43675595238095244,0.09662621838801591,0.05894458585570121,0.977231512834279,0.0,-0.007110879501556999,0.019955001927833286,0.0040286978057687065
4,0.022666594468359398,1.1586794024572962,0.2435714251756762,8.994680344587063e-05,0.061034430943396153,1.1488044902121135,0.059720270330913754,0.3669394841269842,0.06565201723068442,0.054008889913883085,0.9841906620853653,0.0,0.004207893231171694,0.01554283022342711,0.01314112361505874
5,0.022623621942530887,1.1025300147243084,0.2774438450524022,8.977627754972576e-05,0.0864754851871049,1.0947858880819041,0.0893143392903866,0.3978174603174603,0.0849247163153054,0.056782885143720686,0.9839932331802874,0.0,-0.008151700431548035,0.016076471728412724,0.0010481634937060148
6,0.024748989827301594,1.130427442898073,0.2909073798133861,9.821027709246664e-05,0.0894674443315906,1.1214544833472286,0.08721908395404611,0.4026537698412699,0.08556270713065933,0.05995926649733437,0.9830824718434215,0.0,0.014149983463365195,0.01471217762465865,0.02266751397805976
7,0.021793912900565718,1.1647626343202848,0.24476651366568783,8.648378135145125e-05,0.061152318152101315,1.1560884091032158,0.0696467841739149,0.3629712301587302,0.07032623234816862,0.052577086093472836,0.9798989370858043,0.0,0.022402868382469705,0.013307736064621559,0.030217981513694595
8,0.026813318654010557,1.125327040099235,0.2784806816713771,0.00010640205815083554,0.0831275410044961,1.11462151602176,0.08165307448187784,0.36222718253968256,0.08145445291299183,0.0596050059409287,0.9854295656094528,0.0,-0.03008410982009503,0.013151250185746328,-0.022347447196469666
9,0.02920711560096482,0.998975065913248,0.2798412030699353,0.00011590125238478103,0.11872212306021171,0.9897656530979182,0.1280394565169961,0.41071428571428575,0.11145559890258319,0.06697867423374312,0.9881643352814342,0.0,-0.007349265751033358,0.01393298993694599,0.0007780533722644353
10,0.02871955543782436,1.0661373473752032,0.2898979328926664,0.00011396648983263635,0.10196002126318798,1.0554497475915383,0.10213446995043177,0.41927083333333337,0.09333910108147424,0.05922657397344225,0.9810071785198251,0.0,0.0047863770725554275,0.011348468648477678,0.011621277876561621
