iter,loss_critic,loss_actor,mean_xT_batch,std_xT_batch,omega,target_z,lr_theta,lr_phi,cov_mode,signal1_asset1,signal2_asset1,signal1_asset2,signal2_asset2,val_mean_xT,val_std_xT,val_mean_sharpe
1.0,131.19891657840304,-4.614639809649378,0.9041840263748158,0.12435745828344986,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0191024676163665,-3.142640941750495,0.5105748225801644,-0.9642350800624931,0.8731347963054216,0.14799083172657512,-0.9847521507464239
2.0,121.91831033103767,-4.99537199892415,0.927815217125701,0.13096589184391383,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0190078114376202,-3.142739629473938,0.5106749464877389,-0.964135688050895,,,
3.0,128.63469491477994,-5.271654781475516,0.8709630715821255,0.13343733272358083,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0189176286502561,-3.1428380883178146,0.5107751482078051,-0.9640362327346902,,,
4.0,123.91579009248062,-4.852320441198689,0.8955663490002832,0.138761171954953,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0188258561266463,-3.142937465614832,0.5108751372325445,-0.9639365345885363,,,
5.0,138.9113965902708,-4.128227918599835,0.864324864840649,0.12435699657731399,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0187312779670568,-3.1430376008938206,0.5109740284112667,-0.9638362847001577,,,
6.0,121.86859343027511,-5.580250119598451,0.9151050375582264,0.13962627974927405,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0186512508006558,-3.1431375795293377,0.5110735838918448,-0.963736793573867,,,
7.0,128.82396550647047,-4.825298270839194,0.9081345829564276,0.13639277455931334,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.018565040980251,-3.1432381605785005,0.5111730762072282,-0.9636371474870773,,,
8.0,130.0489109861058,-4.769192907849745,0.9186889756171626,0.11749001113132143,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0184743065924386,-3.143338134265493,0.5112727953324422,-0.9635375950732863,,,
9.0,130.06901457069188,-4.622591409143624,0.8661180889154158,0.12812285756362174,0.0,1.2,0.0003,0.0001,belief_avg_regime,1.0183814327276886,-3.143438458942999,0.5113720042179394,-0.9634375236643037,,,
10.0,130.08402663485276,-5.15667905319336,0.868063410996286,0.16164605408133265,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.018287131703319,-3.1435381977260386,0.5114719249598744,-0.9633383791908064,,,
11.0,114.2840264501977,-4.919466643233602,0.9069254832171796,0.13660375555920046,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0181906281020745,-3.1436386578372733,0.511571740290563,-0.9632391631955576,,,
12.0,123.33022332265023,-5.093768206487052,0.9313869404939963,0.09732256283252823,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0180974181532079,-3.143737652930072,0.5116722858503319,-0.9631409107013639,,,
13.0,128.20718871832884,-4.788090164236829,0.8722522688131349,0.142014063002392,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0180074347430215,-3.1438380773960155,0.5117725570379917,-0.9630423606644823,,,
14.0,116.68508368169486,-5.153217112778795,0.9350959428890878,0.14137018181205588,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0179183612499418,-3.143938372057897,0.5118731259840995,-0.962944089902826,,,
15.0,121.44965889202828,-5.353817316978238,0.9096461169021597,0.11508586089381327,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0178288035055685,-3.14403768779318,0.5119743173725113,-0.9628467254078725,,,
16.0,128.84683009033125,-4.782352968949317,0.8958779214307969,0.16116684961947197,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0177426142758355,-3.1441373323551196,0.5120753514701064,-0.9627490299427791,,,
17.0,126.3049144967282,-5.041826706803814,0.9162188339371609,0.16052733176751913,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0176537735512852,-3.1442363992328914,0.5121767074917666,-0.962651717467123,,,
18.0,131.5230711360673,-4.695738287521708,0.9027824392469135,0.13264101229790679,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.0175616165820838,-3.1443358942095676,0.5122778962111262,-0.9625541434363095,,,
19.0,128.78843321306144,-5.134776743876328,0.9167070983536673,0.12119154650004473,0.0033193658900371394,1.2,0.0003,0.0001,belief_avg_regime,1.017477298048766,-3.1444344175341183,0.5123795771920179,-0.9624572309187966,,,
20.0,125.54097807681853,-4.839822430185895,0.8636512414314579,0.11422944016524172,0.0066607926278984195,1.2,0.0003,0.0001,belief_avg_regime,1.0173906926201985,-3.1445338598843007,0.5124811963417178,-0.9623602764663406,,,
21.0,126.9918135922791,-4.66012759311908,0.9259632064646377,0.14194636675951686,0.0066607926278984195,1.2,0.0003,0.0001,belief_avg_regime,1.0172978632364604,-3.1446334666137465,0.5125821961330814,-0.9622625240922154,,,
22.0,129.19409731577707,-4.820032650899428,0.8680785172832098,0.12731728928558383,0.0066607926278984195,1.2,0.0003,0.0001,belief_avg_regime,1.01721416774716,-3.1447333419976715,0.5126828465305612,-0.9621642058084239,,,
