iter,loss,mean_terminal,std_terminal,avg_turnover,avg_gross_lev,gap_l2_pen,mean_utility,mean_lower_gap,mean_upper_gap,lr,val_loss,val_terminal,val_utility,val_turnover,val_gross_lev,val_gap_l2
1,-0.1361001603433496,1.2064653255641091,0.38891800018847605,0.06800705173630991,1.6872926230394065,0.049987043828112865,0.13615153666588642,0.14779680917683993,0.1575442252654059,0.0005,,,,,,
2,-0.13137183948844233,1.2204515023896267,0.44267536851331274,0.07242425127277047,1.6759529586577153,0.05049118944925708,0.13142531605555982,0.14774017879442383,0.15783800516703667,0.0005,,,,,,
3,-0.17365281782069958,1.2616875212307859,0.4320483806229751,0.07559284388798782,1.6556792416851596,0.0526171163185989,0.17370769720622364,0.15037313800653243,0.16034018517127238,0.0005,,,,,,
4,-0.13642222145688482,1.2227941751405513,0.4362986312335066,0.07213966910322325,1.6813158277425313,0.04996059776126826,0.13647560405569148,0.14672642875740843,0.15740808004127005,0.0005,,,,,,
5,-0.10519527276993208,1.1825455384359413,0.42300815990967205,0.07537296449348804,1.677473625502376,0.050324304045697876,0.10525023723147431,0.14690012711628014,0.1575395341574356,0.0005,,,,,,
6,-0.08761154470693201,1.1550502390567996,0.3818554112017361,0.0805774197242277,1.6633531385567817,0.051094360683580364,0.08766897789178654,0.14763923940496637,0.1578078842780341,0.0005,,,,,,
7,-0.1615320553489367,1.2321604372641883,0.3762986178838477,0.06799983771429828,1.6971383639347712,0.047321727471772476,0.1615834998687079,0.1430407413241772,0.15404196912668291,0.0005,,,,,,
8,-0.146124442060863,1.226181088800994,0.4146190006705824,0.06399738465398827,1.708999673485165,0.04721262943781655,0.14617400287621923,0.14285421393400394,0.1542017967829514,0.0005,,,,,,
9,-0.10830884044599702,1.1928460807869623,0.48338054790820173,0.07623885936690944,1.6852435256126241,0.04752038694349096,0.10836428751480605,0.14284100577239978,0.15367876792431662,0.0005,,,,,,
10,-0.12521148184989045,1.1955399074542654,0.39406520899078473,0.06470620021880301,1.7217377542932764,0.04539295318124833,0.1252615062570746,0.1398115671388423,0.15196493667472333,0.0005,,,,,,
11,-0.12859300474029547,1.204594080911901,0.4127719153879683,0.08334152186751845,1.666053603138435,0.049756319050494734,0.12865183360045113,0.1458171026162483,0.15543326348417655,0.0005,,,,,,
12,-0.10505010854224692,1.1732175127946551,0.3949199853179072,0.08003434451158947,1.6805194485656592,0.04686261951156419,0.10510739953518347,0.14151834949229175,0.1522740831299959,0.0005,,,,,,
13,-0.13928633028232365,1.2208504552579906,0.4308325871247234,0.0750192758231448,1.6912216187464622,0.047523915387571294,0.13934122737557658,0.14266674766333673,0.1531109712319017,0.0005,,,,,,
14,-0.11419612975426255,1.1854232737281674,0.3983949894542989,0.0706230066913266,1.7083765183242239,0.04452449497153589,0.11424897026774118,0.138100615711148,0.15013115421315099,0.0005,,,,,,
15,-0.10689266354200698,1.1798093052197514,0.417639683114861,0.07172776880591472,1.7050391963935718,0.04540466942958301,0.10694603186506817,0.13955517127277592,0.15089096949099076,0.0005,,,,,,
16,-0.10679545044716551,1.1648533725493162,0.35282433305890676,0.06663624336098956,1.7176403165417176,0.04420142606439506,0.10684638698627208,0.13756395813105549,0.1497007192070442,0.0005,,,,,,
17,-0.11534892415170175,1.1899266858424546,0.4169522100367683,0.07870676749681518,1.6867683235421258,0.04630775961294789,0.11540560829628171,0.14091325349262546,0.15075540977162494,0.0005,,,,,,
18,-0.12360655673780088,1.1949456620166181,0.3913741155797252,0.07419941411319395,1.7043016441764913,0.0446920446242465,0.12366114638174547,0.1384565007214415,0.14948473473053792,0.0005,,,,,,
19,-0.10022414873880414,1.1668045277866956,0.3995792393398406,0.06952668343491689,1.7140434070179364,0.04530366141030896,0.10027650555120587,0.13947179203077859,0.15009957037617963,0.0005,,,,,,
20,-0.12387004020058538,1.179752632679971,0.3341524186038922,0.06915183238678095,1.7173466038459941,0.04430149867490777,0.12392223259780397,0.13794295457098116,0.14898385568796646,0.0005,,,,,,
21,-0.10719989400228896,1.179172377270907,0.4073776642771804,0.0670739513337365,1.727741041187207,0.043636356695060496,0.10725114475193467,0.13686173150143588,0.14819134249549598,0.0005,,,,,,
22,-0.0650734715764758,1.1330180535192353,0.39868766894276264,0.08259595639287862,1.6994786926046963,0.04385803968909862,0.0651322029219952,0.13723088909857273,0.14705133359959205,0.0005,,,,,,
23,-0.10130331042181934,1.179439050468609,0.4423328865016305,0.07753246114444672,1.7100722440208695,0.04314340950040081,0.10135960880892676,0.1361145956165799,0.14650101279378366,0.0005,,,,,,
24,-0.13107530521678826,1.198090246464096,0.38120016973236753,0.07137400187301712,1.7178455529893193,0.04238730199049702,0.13112859454627457,0.1350298088038693,0.1460313712608477,0.0005,,,,,,
25,-0.17897820269942216,1.2596832973362218,0.39955264926077044,0.06444530662130721,1.7304585643025083,0.04282847673578652,0.17902815822314322,0.1359263740132355,0.14658292975055814,0.0005,-0.14507754141003731,1.2384470180210565,0.14513023684475682,0.06999743025899414,1.727885358241033,0.041786600759712036
26,-0.1532569154683571,1.2509945792698174,0.48831725965300776,0.07405440382666859,1.7160036865729076,0.04206779190467064,0.15331152338505522,0.13446880016787086,0.14478385207550187,0.0005,,,,,,
27,-0.15839571073286546,1.2471512228361918,0.4584634985090252,0.06917765203582592,1.7266718400395664,0.04198807140803912,0.15844798615799782,0.13434049795696462,0.1449601642844538,0.0005,,,,,,
28,-0.18463141965228297,1.2960131118754263,0.5192447216610204,0.0718419681178035,1.71790028437669,0.04279459908361351,0.18468494758517648,0.13581891348394592,0.1453003511088352,0.0005,,,,,,
29,-0.19132121436349336,1.28759572443252,0.4682383366023773,0.06256028630233117,1.7423053909782826,0.04121160581770926,0.19137032967661247,0.13298510075574116,0.14455517634420573,0.0005,,,,,,
30,-0.13251191376212113,1.2122881663685805,0.4281780064571059,0.07474446866936206,1.7196281117275451,0.041596911668204326,0.13256689824668977,0.1335012829083338,0.1438323769555439,0.0005,,,,,,
31,-0.11585714421579477,1.1861192128105333,0.40015022448486787,0.07651697937474758,1.7129728846318635,0.041843887904502414,0.11591295087320751,0.13386754928048983,0.14388460836838884,0.0005,,,,,,
32,-0.12438729539319852,1.203125496415357,0.42286586723047453,0.07769725225206324,1.7180398477219412,0.039988617347010175,0.12444372430397524,0.13023592621301877,0.14191589121265058,0.0005,,,,,,
33,-0.13761946014687937,1.230756493504612,0.4644772123157402,0.07037710906835451,1.7386854042585715,0.03970692023784621,0.1376724326246585,0.12964621810732632,0.14213484018188688,0.0005,,,,,,
34,-0.17157133686012088,1.2568740928874693,0.44172623488269763,0.0759092421140531,1.7177514427494782,0.04197449247252001,0.17162688874053011,0.13412893142786583,0.1435132561711152,0.0005,,,,,,
