z,RL_mean,RL_std,MV_minvar_mean,MV_minvar_std,MV_tangency_mean,MV_tangency_std,EW_mean,EW_std
1.05,1.3641727354704094,0.5887272364108799,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.1,1.3880683184312128,0.592098496782143,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.1500000000000001,1.4115789967248036,0.5955064761136314,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.2000000000000002,1.4343884283190118,0.5989033194703036,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.2500000000000002,1.4590352781880367,0.6030367207491811,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.3000000000000003,1.4829964577000834,0.6069004382512455,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.3500000000000003,1.5062431725451981,0.6105686552674208,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.4000000000000004,1.52953573281266,0.6144788296916138,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.4500000000000004,1.554475266952311,0.6190860449311925,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.5000000000000004,1.5785180911768935,0.6235313124736531,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
1.5500000000000005,1.6011171136223976,0.6277470078912261,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589,1.7790190539988737,0.431494062114589
