iter,mean_reward,mean_terminal,std_terminal,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,center_resid_l2,loss
1,-0.07007470619952151,1.1822323331970626,0.2641193219283688,0.06887229909580679,0.3978174603174603,0.06769508828429148,0.046619106290542583,0.9766346616799774,0.0,-1.9931359942853832
2,-0.17763305223080506,0.9765543077262357,0.3573584682571596,0.11511133360142034,0.4365079365079365,0.09851418698307737,0.056777047822869416,0.9832723782932578,0.0,-5.19944323356661
3,-0.0487951504804922,1.1877191920125005,0.22055460148377398,0.09379739658617814,0.39583333333333337,0.08657218536872811,0.05750757224746752,0.9834709178125014,0.0,-2.180418692818715
4,-0.042277151361261964,1.2125168372441668,0.20523274628251945,0.06362787327828541,0.39087301587301587,0.06807371757547458,0.05171863509090997,0.9810286147772799,0.0,-1.2456447638453958
5,-0.042742879621463184,1.2229216225295652,0.20546892427341734,0.0799564112526536,0.41220238095238093,0.07422593225137403,0.047707180897761034,0.9692127298233002,0.0,-8.212931360145902
6,-0.04286831840966651,1.1916926683545546,0.20687993293357163,0.06571666912856686,0.38343253968253965,0.07308929585224219,0.0585268652449058,0.9849752296363081,0.0,-7.370398139816079
7,-0.025365633940014558,1.242316280998462,0.15354141559355822,0.06007054965967065,0.39037698412698413,0.0633085204370705,0.04903693027283,0.9777492725937564,0.0,-1.821925780418024
8,-0.12986776922798554,1.1450746733489676,0.3561614489529474,0.06152163783577185,0.3229166666666667,0.06490493541033882,0.05386647510500149,0.9826149935141568,0.0,6.4036594716503235
9,-0.07234108985179066,1.0400426832939798,0.21622845946822217,0.07559263025093187,0.3427579365079365,0.07996126122266711,0.06342415244478339,0.9917635831900119,0.0,-3.7288447839854775
10,-0.06157470559150803,1.040395600951864,0.19000300364991987,0.1311930187357107,0.4027777777777778,0.11611251106260367,0.06962979146793502,0.9872439861469979,0.0,-2.4700071327467428
11,-0.0714149105370131,1.1109897928023327,0.2519763749871036,0.08554618322119034,0.35119047619047616,0.0826687066983944,0.0611652693795771,0.9881597843007383,0.0,-5.629105380443835
12,-0.06143916497558444,1.177456497350649,0.24684196455198446,0.08645914128353849,0.4900793650793651,0.07905838047537662,0.04898320017091092,0.9746800618736408,0.0,0.24556603823471537
13,-0.03095151421477928,1.2451161871606131,0.17004718130821167,0.07567557158059804,0.46924603174603174,0.07249893752575245,0.046285688751132245,0.9751820451465658,0.0,1.4018834015905548
14,-0.051944780060344684,1.0944581365908483,0.20200419581896972,0.08105270237028278,0.3625992063492064,0.08204788544776535,0.06347445915478955,0.9911644295181099,0.0,-3.0553426432097064
15,-0.07036105681318029,1.1208128774044697,0.25316092990076633,0.09707522292895103,0.41914682539682535,0.09207047175475017,0.061775871129770545,0.9832614170929208,0.0,-0.38555105951515223
16,-0.0610742422941273,1.1362432730814123,0.23876624984858297,0.12096195013407368,0.44494047619047616,0.10553748519327859,0.06076552781394477,0.9809416652546928,0.0,12.848354657675786
17,-0.08886757237752158,1.0715473881388125,0.26901207943800726,0.10676886400705704,0.42757936507936506,0.0978510656954813,0.06300693529802817,0.9824361241787505,0.0,-6.26765755400279
18,-0.03218591179661593,1.1940776156170907,0.1793065452230816,0.08922645494994026,0.5009920634920635,0.08380594244592693,0.0503265958500969,0.9696107735750926,0.0,-2.4117381250614307
19,-0.05744015314621857,1.1118650861662718,0.22287303585167026,0.09830083109816262,0.4533730158730158,0.09329379100801939,0.06136036061743767,0.9751224788638817,0.0,5.377326688042837
20,-0.10700140630517219,1.0314645536783174,0.2803519388881115,0.11921845943384005,0.4027777777777778,0.10308744185264833,0.0630017120548052,0.9874519147521355,0.0,-3.013371687075775
21,-0.1286541586678838,0.9749886716221322,0.2793278732413061,0.12626836743282685,0.37103174603174605,0.11152950286652417,0.07120242166178065,0.9945193777697497,0.0,3.351687905074032
22,-0.05280137182163991,1.121428750714812,0.2159350147785318,0.07495058008370387,0.4141865079365079,0.07754648660066768,0.05692233340685675,0.9794492292973196,0.0,2.3768328288581047
23,-0.15777052784184728,0.9263621566803271,0.28791119906180346,0.11831515437422593,0.4429563492063492,0.10616404401803803,0.06388616261713884,0.983061056628324,0.0,3.1594393323594168
24,-0.07168025017776641,1.0882342046538187,0.24328719071994312,0.054662856721458215,0.3194444444444444,0.06354669987557607,0.05624923914795897,0.9875471019975681,0.0,6.630274334210808
25,-0.07963160626853283,1.132073897617005,0.27389350281375374,0.10789432513371496,0.4871031746031746,0.09335329749734231,0.05383206317887224,0.9739795799703929,0.0,3.8581270062007427
26,-0.049989849029713346,1.0887670268111735,0.1939512173338625,0.11037267158494748,0.42212301587301587,0.0997068615290092,0.06087963397932951,0.9805504408745958,0.0,-1.1062986464800306
27,-0.10228063970672516,1.1379495452498611,0.3137361642718705,0.09147743408925191,0.45982142857142855,0.08246369965496315,0.05048508401178822,0.9770406735977498,0.0,5.049048716151204
