iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,lr_theta,lr_phi,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.7193130542046613,0.7193130542046613,,,0.0,9.988454440653992,-2.8988342436183734,1.836204123521207,1.9653708451175083,0.7651826804196946,1.999955223355259,-0.97237230760589,16,0.0003,0.0001,1.0910090908953896,-3.3637363635826736,0.6470717527575341,-1.330045206934158
2,0.0,0.709017593078286,0.6987221319519109,,,0.0,12.9114141770794,-2.627012410317037,1.8171351277336414,1.6633500409637763,0.7959839320466905,1.99997448521373,-0.997900878382824,16,0.0003,0.0001,1.0911083967831525,-3.3638352079413303,0.6471688314871492,-1.3301313783790243
3,0.0,0.6804460560048025,0.6233029818578351,,,0.0,17.33638669561966,-4.51893643348475,1.8481434238695575,1.3395039011465055,0.7215490050111095,1.9999831344074952,-0.9996595858547259,16,0.0003,0.0001,1.0912026349047468,-3.363932180150062,0.6472659805852639,-1.330221238251945
4,0.0,0.6892713065159797,0.7157470580495116,,,0.0,7.997193090031356,-2.134029967381946,1.8097039360042508,1.9549166449206876,0.7919736031306777,1.999955777183445,-0.9966027573928691,16,0.0003,0.0001,1.0912985101415935,-3.3640265563433998,0.6473642452002456,-1.3303016556337646
5,0.0,0.6888366816168541,0.6870981820203512,,,0.0,15.973443303347324,-3.7064285757752686,1.8352125600484555,1.5292157037168568,0.7229276603399958,1.9999775332015444,-0.9989435518198351,16,0.0003,0.0001,1.0913950865669961,-3.3641231815576393,0.6474628254888293,-1.3303882627156627
6,0.0,0.698265216628707,0.7454078916879714,,,0.0,11.233973363845003,-2.200753937511051,1.8305856778042462,2.02248898608232,0.8250115001996149,1.999901953691055,-0.9930146945641606,16,0.0003,0.0001,1.0914930407575876,-3.364217175887218,0.6475625493275587,-1.3304536622315652
7,0.0,0.7038031540839593,0.7370307788154735,,,0.0,10.96483832971127,-2.5838526873230485,1.8390611852771477,1.958802236950351,0.8044369677792909,1.9999200770811911,-0.9792976036413172,16,0.0003,0.0001,1.091591722586725,-3.3643064949462476,0.647662444441619,-1.3305197815560184
8,0.0,0.7077876260698017,0.7356789299706995,,,0.0,12.953197242579343,-2.396952414773985,1.8042067370150328,1.7458841507099674,0.7908875874931707,1.9999359051334733,-0.9933315675152654,16,0.0003,0.0001,1.0916893389592413,-3.364397154109295,0.6477620473689837,-1.3305795220014625
9,0.0,0.7136186101938444,0.7602664831861855,,,0.0,11.837536790247587,-3.6598366222990384,1.8069612077731727,1.3987650576010386,0.7775217419739098,1.9999865452513828,-0.9998496878123024,16,0.0003,0.0001,1.0917833627817706,-3.364491312721325,0.6478594772234069,-1.330648503358713
10,0.004821777177565751,0.7178222822434248,0.7556553306896483,0.7178222822434248,-0.48217771775657514,0.004821777177565751,15.291891469667032,-3.688099092917356,1.799621609686254,1.2866537827626732,0.7782259675229118,1.9999617567388568,-0.9996040041304904,16,0.0003,0.0001,1.0918766102297426,-3.364586571529968,0.6479555642143568,-1.3307252748842255
11,0.004821777177565751,0.7155469071069063,0.6965593028394761,0.7178222822434248,-0.48217771775657514,0.0,11.058109728040549,-3.1292286201116104,1.8406381493712354,1.8744065295333423,0.7549851097209246,1.9999522794534448,-0.9974380694688338,16,0.0003,0.0001,1.0919702106335356,-3.364681811772956,0.6480524801219462,-1.3308058294349467
12,0.004821777177565751,0.7195713723746985,0.7389667846298327,0.7178222822434248,-0.48217771775657514,0.0,13.852413082455248,-3.679993926025234,1.8265648619919865,1.5922265944355447,0.7647058211007975,1.9999487431390768,-0.9888313719088224,16,0.0003,0.0001,1.092064040863286,-3.364776974101602,0.6481490257850367,-1.3308908832502924
13,0.004821777177565751,0.7302509713541766,0.7300989716526161,0.7178222822434248,-0.48217771775657514,0.0,9.429898480137643,-2.8343057649318615,1.8318477370028075,1.8737206582692238,0.7834063019447737,1.999970353607069,-0.9991256493012053,16,0.0003,0.0001,1.0921587922783456,-3.3648697551862825,0.6482458180003572,-1.3309754347643787
14,0.004821777177565751,0.7397869337521117,0.8111066820288628,0.7178222822434248,-0.48217771775657514,0.0,9.179176964373049,-3.015944717343853,1.8205509531257111,1.697118047609012,0.8146378232294446,1.9999168667023546,-0.9986880433459686,16,0.0003,0.0001,1.0922530636917984,-3.364963394381154,0.6483423055651464,-1.3310619130405188
15,0.004821777177565751,0.7568887133262857,0.8581159777620919,0.7178222822434248,-0.48217771775657514,0.0,11.234264924707634,-2.747263302610203,1.8108270789894547,1.65463753491325,0.8603449071126044,1.9999312456642002,-0.9989238391558913,16,0.0003,0.0001,1.0923463961997808,-3.365060211806908,0.6484372043251293,-1.3311509416464997
16,0.004821777177565751,0.7477725736331663,0.6542464947567754,0.7178222822434248,-0.48217771775657514,0.0,15.094239841712405,-3.222651371930472,1.8380055172580256,1.5628867312963317,0.7498588276580977,1.9999665882183009,-0.9999010137245095,16,0.0003,0.0001,1.0924403102281992,-3.365158104757043,0.6485316085631682,-1.3312450709537957
17,0.004821777177565751,0.7359805067164394,0.6191101096482059,0.7178222822434248,-0.48217771775657514,0.0,23.305395216137327,-4.93170766511585,1.8319090002143072,0.9567938938427613,0.7134242724659754,1.999972201680254,-0.999952004847607,16,0.0003,0.0001,1.092528592440121,-3.365259434449583,0.6486217477965662,-1.3313436752070056
18,0.004821777177565751,0.7304134043891247,0.6800079066975523,0.7178222822434248,-0.48217771775657514,0.0,9.878200256704268,-2.8379349761825985,1.8146495147108723,1.871441206076379,0.7504901417331566,1.9999662560932543,-0.9968998819615162,16,0.0003,0.0001,1.0926195294501782,-3.365358625559327,0.6487145375723661,-1.3314369596994238
19,0.004821777177565751,0.731933175141398,0.7754641907089187,0.7178222822434248,-0.48217771775657514,0.0,14.57916816646922,-3.221235512755892,1.8052444868184852,1.460379800276788,0.793607794012662,1.9999694896868119,-0.9974905763963975,16,0.0003,0.0001,1.092709153500233,-3.365458378866267,0.648807376321853,-1.3315319591054433
20,0.009590800433124384,0.7283730666448486,0.7200542457241539,0.7283730666448486,-0.4716269333551514,0.004769023255558632,15.060468985266814,-3.3058414367157356,1.8079764705171817,1.4665196803171243,0.7608020121512795,1.999943626924821,-0.9945680285104482,16,0.0003,0.0001,1.0927970898483863,-3.3655579573733565,0.6489008466100187,-1.3316274036836107
21,0.009590800433124384,0.731903384610524,0.731862482496229,0.7283730666448486,-0.4716269333551514,0.0,9.270745376525912,-3.1052738760365375,1.7959489160586508,1.6790689914051593,0.7867087071166765,1.9999650524818466,-0.9947164599529074,16,0.0003,0.0001,1.0928851837781195,-3.365656651494902,0.6489949720928881,-1.331718715132297
22,0.009590800433124384,0.734120665103973,0.7611395895643241,0.7283730666448486,-0.4716269333551514,0.0,10.192080886051468,-3.375434643730574,1.7937663399792476,1.4837073831639618,0.7487279824203169,1.9999849376369818,-0.9982398523097878,16,0.0003,0.0001,1.092973494942602,-3.3657559710867284,0.6490890767610045,-1.3318037573389516
