iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.037903010927011704,0.037903010927011704,,,0.0,3046.4325431738935,-4.761634013526178,3.9925869799575104,0.9543468105284519,0.18518309019823692,4.000000000000001,-3.000000000000001,1.0908090909005237,-3.363736363598943,0.6468717527626477,-1.330045206988174
2,0.0,0.09656182753637015,0.1552206441457286,,,0.0,3052.984477040634,-4.807380867766388,3.93015137848231,1.8944767663822717,0.6996461073976671,4.000000000000002,-3.000000000000001,1.0907102573806378,-3.3638351147909447,0.6467995839103334,-1.330117431204533
3,0.0,0.0697518566015187,0.0161319147318158,,,0.0,3064.6947579633966,-4.765962621264868,3.9358835901199964,1.458108716928838,0.5707541926451231,4.000000000000002,-3.000000000000001,1.0906107896688948,-3.363934563256076,0.6467304686570567,-1.3301868356166473
4,0.0,0.05337982739037076,0.004263739756926967,,,0.0,3073.8133800337037,-4.711887511804734,3.9758654102127307,1.341451088985697,0.3196413494470758,4.000000000000001,-3.000000000000001,1.0905123230600655,-3.364033152323764,0.6466532027406848,-1.3302646331612196
5,0.0,0.05388710019621207,0.0559161914195773,,,0.0,3082.5723962095494,-5.366396666315213,3.9919839086839515,1.143601171412548,0.19225809133289426,4.000000000000001,-3.000000000000001,1.090412923796911,-3.36413256440219,0.6465831574853645,-1.3303352866003797
6,0.0,0.046209950433337636,0.007824201618965446,,,0.0,3092.0263174771467,-6.079114697815483,3.976143533066182,1.4861390664399758,0.27837002909888237,4.000000000000001,-3.000000000000001,1.0903126181655929,-3.3642328970380286,0.6465307857189058,-1.3303877736907448
7,0.0,0.04192397325229806,0.016208110166060614,,,0.0,3101.1241711742646,-5.054035988777655,3.982629876459745,1.307817489794541,0.3326876067265211,4.000000000000001,-3.000000000000001,1.0902116143917262,-3.3643339915348163,0.646490095425927,-1.3304282602851243
8,0.0,0.03898044588217416,0.01837575429130687,,,0.0,3110.2407314799025,-6.142101807076539,3.9469597190831798,0.940535553489461,0.5173637699925504,4.000000000000001,-3.000000000000001,1.0901102088099037,-3.36443559842504,0.6464398026164953,-1.3304791249036194
9,0.0,0.0486937128924953,0.1263998489750644,,,0.0,3117.621903925855,-4.9131430299358785,3.9704898948265854,1.3711230409983701,0.3849520014800482,4.000000000000002,-3.000000000000001,1.0900092885331447,-3.3645369047110134,0.6463867321922878,-1.3305332201067357
10,0.0019307714646617758,0.06922853533822418,0.25404193734978403,0.06922853533822418,-1.9307714646617757,0.0019307714646617758,3121.320459415598,-5.820142367782225,3.960715972004584,0.89931736752041,0.5132234010799688,4.000000000000001,-3.000000000000001,1.0899090858326317,-3.364637704984177,0.6463194973015053,-1.330601419120835
11,0.0019307714646617758,0.07911610185723947,0.1367786761171648,0.06922853533822418,-1.9307714646617757,0.0,3135.239952206861,-4.896578643519348,3.9302816521456867,1.960924053122711,0.7491397026052206,4.000000000000001,-3.000000000000001,1.089809713243053,-3.364737908680925,0.6462495032907759,-1.3306726858052182
12,0.0019307714646617758,0.0660043115118391,0.024102740691724814,0.06922853533822418,-1.9307714646617757,0.0,3146.350452953838,-5.096739494031971,3.973608343967158,1.2128220334874904,0.38591086178677575,4.000000000000001,-3.000000000000001,1.0897112066430075,-3.3648374991928702,0.646170609062608,-1.3307527145804674
13,0.0019307714646617758,0.06759155733892495,0.032004373002674315,0.06922853533822418,-1.9307714646617757,0.0,3155.4274946410046,-5.690718944623904,3.931934083777004,1.716028088206499,0.6550893863834375,4.000000000000001,-3.000000000000001,1.0896117909915042,-3.36493819362991,0.6461096570145736,-1.3308140236836992
14,0.0019307714646617758,0.08041452467189684,0.1324934130866459,0.06922853533822418,-1.9307714646617757,0.0,3162.731052165977,-4.903685506599026,3.89480652340056,2.1306397032454023,0.9587520817733963,4.000000000000002,-3.000000000000001,1.089515038773998,-3.3650364823352716,0.6460402428730254,-1.330884271891559
15,0.0019307714646617758,0.07706440245191384,0.022414969219747286,0.06922853533822418,-1.9307714646617757,0.0,3173.717764833319,-5.379267337803474,3.9913161814823805,1.0704369846483006,0.2090630628681094,4.000000000000002,-3.000000000000001,1.089416999057738,-3.365136297839146,0.6459815431195238,-1.3309434288560187
16,0.0019307714646617758,0.08512152354065641,0.08839541250639109,0.06922853533822418,-1.9307714646617757,0.0,3182.034905622832,-5.218998803874092,3.972577167171869,1.4343369368326848,0.35872150215958376,4.000000000000001,-3.000000000000001,1.0893187423047646,-3.3652366147772366,0.6459150403209455,-1.3310110019936434
17,0.0019307714646617758,0.08790636048706818,0.04405647963017835,0.06922853533822418,-1.9307714646617757,0.0,3191.7882315396446,-5.009340325158592,3.9420144796842895,1.7271558182858566,0.6789113571589943,4.000000000000001,-3.000000000000001,1.0892210484153675,-3.365336674128695,0.6458461818521116,-1.3310813719228323
18,0.0019307714646617758,0.09787452587150068,0.11805740813563191,0.06922853533822418,-1.9307714646617757,0.0,3199.570074127507,-5.046666902267736,3.8555163851023004,2.200627953980435,1.3078056181309552,4.000000000000002,-3.0000000000000018,1.0891235909383905,-3.365436816263776,0.6457758536397176,-1.3311536273673958
