iter,mean_reward,mean_terminal,std_terminal,avg_turnover,outside_frac,center_dist,mean_halfwidth,center_resid_l2,loss
1,-0.022210672939969957,1.141595821194608,0.13711172392628493,0.015257509143320507,0.10280257936507936,0.4788372964008103,0.6744277236162097,0.0,5.466092283352621
2,-0.04117351088387,1.1001474972559924,0.17664367687417504,0.02139588829697299,0.13541666666666669,0.4945683713602973,0.6751067178514641,0.0,3.1313261334953673
3,-0.03279003178480305,1.1545186329495607,0.17527543192366202,0.02182860818147837,0.1402529761904762,0.48291875245815313,0.670049919155304,0.0,8.23559877980723
4,-0.03136237660065771,1.1154861813591177,0.15562708973502581,0.011501283290081182,0.08581349206349205,0.47729614585503777,0.6782445642683246,0.0,1.5081725558950159
5,-0.04014944767273289,1.0966443431168131,0.1716597094922913,0.017864046642361554,0.11173115079365079,0.4837970764437105,0.6776273183349664,0.0,4.187902375548887
6,-0.038223375838817276,1.1007402588574544,0.16843657449358237,0.017914839685462113,0.1130952380952381,0.4969579875093527,0.6764299945318857,0.0,2.83469105927793
7,-0.028298596620500924,1.1350262175476167,0.15516766484783895,0.014261738495834815,0.09424603174603174,0.47396659360257043,0.6751043354068395,0.0,-6.756379816758301
8,-0.04448402851551292,1.1097594192681077,0.19063227980770664,0.01897111462519635,0.11805555555555555,0.4966146294045476,0.6787204856284585,0.0,-0.5742360953551031
9,-0.05631964420980632,1.0258141075183445,0.16117977252178864,0.025927249870951935,0.15401785714285715,0.5167487876913595,0.6791384874418749,0.0,5.750580110926615
10,-0.04748110123709354,1.0765288497954182,0.1795438005174535,0.020794051955710043,0.12227182539682539,0.4885896573406747,0.6750756829376887,0.0,-3.398098796945592
11,-0.030887487733866566,1.0934558325391195,0.13977062679237867,0.020168173818868568,0.11904761904761904,0.5022647701804515,0.6797695363294382,0.0,-2.934154614917943
12,-0.033808392580775594,1.0979606752875615,0.1529587159759296,0.01720672903784299,0.1080109126984127,0.4812778731007174,0.6760704859788325,0.0,-6.413910783135854
13,-0.030434058343549404,1.1230201060256615,0.15655080410923805,0.015366904104017923,0.09970238095238096,0.4819334759394044,0.6776546731544912,0.0,3.0974917422682897
14,-0.03105134694878699,1.0903062749397445,0.13790806224145166,0.01369525183619932,0.09846230158730158,0.493948811280402,0.6789611740164568,0.0,-2.7000458634720297
15,-0.0513142094309217,1.0434760311970097,0.16375120341872976,0.02110253127645495,0.12723214285714285,0.5178516725405345,0.6819585099277454,0.0,7.121617457426667
16,-0.036951874292789816,1.080171627443542,0.15030979816119952,0.02034215594629058,0.1199156746031746,0.4995400835739232,0.6788009228151128,0.0,-0.34505708272930696
17,-0.037974527162693505,1.1024594186911902,0.16870199216557272,0.022393480617492495,0.14260912698412698,0.49789431450872734,0.6717733837556241,0.0,-3.2800947556831823
18,-0.03685101445233002,1.0841394356354375,0.15305993622582978,0.015744315771476444,0.10280257936507936,0.4869612494425195,0.6786248791249531,0.0,-0.6545290195988241
