iter,loss,mean_terminal,avg_turnover,avg_gross_lev,gap_l2_pen,qvi_prior_pen,switch_residual_pen,boundary_gap_pen,mean_utility,mean_lower_gap,mean_upper_gap,lr,val_loss,val_terminal,val_utility,val_turnover,val_gross_lev,val_gap_l2,val_qvi_prior,val_switch_residual,val_boundary_gap
1,-0.2057820219773333,1.2958486005053713,0.06602367329172067,1.689260392396891,0.050933573030010414,1.0271694182351339,0.0003644582504256291,0.033011836645860326,0.21610726518275875,0.1489981535999472,0.15857789065781475,0.001,-0.1271072567556752,1.2365537302401735,0.137015181670181,0.07663058524160846,1.6650418643575131,0.050404654186940956,0.9848835214069316,0.000412398917210573,0.03831529262080423
2,-0.12931939750645827,1.2248072326120614,0.0825742296892421,1.6397986784204435,0.05312016974778766,0.9835333785148805,0.00047990199884870993,0.04128711484462105,0.1392172154132244,0.15090556833517688,0.15976801100356594,0.001,,,,,,,,,
3,-0.22217843663753284,1.3474093617482406,0.08536808179723447,1.6345510787963802,0.05386625682144165,0.9427085561264394,0.0004663779883039409,0.04268404089861724,0.23166921553036685,0.15237406087272443,0.15993356128387054,0.001,,,,,,,,,
4,-0.12141495010032416,1.21009525968279,0.05811785671522191,1.727134418492243,0.04337305670506522,0.9148137652718471,0.0002943448471897286,0.029058928357610956,0.13061236147405705,0.13877616660102704,0.14806781508026912,0.001,,,,,,,,,
5,-0.08855854177294498,1.1806166835337317,0.07293333872301436,1.6954069461778518,0.04507168525166629,0.8791414369427368,0.0004123319111326662,0.036466669361507185,0.09740750020030697,0.1405674617156753,0.14865333638794415,0.001,,,,,,,,,
6,-0.13125025756667688,1.2158392236643398,0.06907328165724841,1.692215632015626,0.04692817072471558,0.8457391012152713,0.0004028162620766391,0.034536640828624204,0.13976313553859915,0.14340763531399503,0.15023312269426722,0.001,,,,,,,,,
7,-0.21263842353717322,1.3083764056026481,0.05893013684684038,1.726805922777161,0.041892329011585516,0.8076482036472501,0.0003199982740284418,0.02946506842342019,0.22076483868403723,0.13656060748432836,0.1441121890881945,0.001,,,,,,,,,
8,-0.16431843983416378,1.2647056688480958,0.06445179680879212,1.7227532316001404,0.04295197791736078,0.7825591590362122,0.00033841292512204246,0.03222589840439606,0.17219686898449754,0.13780542144087476,0.1444767024851503,0.001,,,,,,,,,
9,-0.0008395509260154081,1.0569525627232133,0.09951366915087129,1.6541405833571643,0.043428351359323165,0.7572924196020161,0.0005541500196028845,0.04975683457543565,0.008484314862640603,0.13784696673304356,0.1425504176959804,0.001,,,,,,,,,
10,-0.0613511431510811,1.1644694897741137,0.09045995069065735,1.6838814759145468,0.04180968220196837,0.7245955763796703,0.0005351197963157678,0.045229975345328674,0.06866451890294543,0.13552989680956287,0.14016007258542112,0.001,,,,,,,,,
11,-0.13543275538572233,1.1966538980422756,0.07471549796608448,1.713509000399564,0.040321592951936755,0.698873320105207,0.00039789557484452967,0.03735774898304224,0.1424799603815099,0.13418107650782804,0.13880864647922977,0.001,,,,,,,,,
12,-0.1445197229333745,1.2258987825480712,0.07165034118664906,1.7183378730925005,0.03943361605971342,0.6646967522090795,0.00036002057319221674,0.03582517059332453,0.15122329921052147,0.13279280190235532,0.1365067167682979,0.001,,,,,,,,,
13,-0.14936931507625817,1.2369746255918819,0.06481792265622066,1.7466536244996842,0.03595271561442405,0.6421777961614767,0.00037460585505447175,0.03240896132811033,0.15584471459399657,0.1273011704577909,0.13241743590204644,0.001,,,,,,,,,
14,-0.09056628656579932,1.1528915062693004,0.06275395844449094,1.7619072351576923,0.035828239816430164,0.6182797761277719,0.0003609889669181876,0.03137697922224547,0.09680169026832006,0.12743010849989722,0.1317749252804867,0.001,,,,,,,,,
15,-0.006250612151577378,1.077144094735357,0.08660676685152686,1.7090267217061754,0.03672814630164686,0.6023152595668402,0.0004559177766304163,0.04330338342576343,0.012338717575654905,0.1283558163706271,0.1307292217295596,0.001,,,,,,,,,
16,-0.11738862381645046,1.172361403090711,0.07439733499559432,1.7248797144657824,0.035974538663002646,0.5715079647616652,0.0004298368734713763,0.03719866749779717,0.1231624492974443,0.12760890439791206,0.1296957592588032,0.001,,,,,,,,,
17,-0.12812515539315172,1.237143690159812,0.103942262679283,1.652685059935905,0.041158924686409165,0.5520365875585398,0.0005790403790675904,0.051971131339641506,0.13371980965446678,0.13679497288574588,0.13282061276198465,0.001,,,,,,,,,
18,-0.07678401653292585,1.1424514253868505,0.06712917644974166,1.7731929113212748,0.033182511560319594,0.5213700416769013,0.00037977639610181613,0.03356458822487082,0.08205281123099398,0.12345651913943806,0.125234266106297,0.001,,,,,,,,,
19,-0.04757839189925747,1.0883663485659691,0.08517942152766989,1.709467621764639,0.037306373680444,0.505090729925188,0.0004865863455141232,0.04258971076383494,0.05269384944894598,0.13090360923634053,0.1277621964435267,0.001,,,,,,,,,
20,-0.1767281344351761,1.2430905397996836,0.06525120041356144,1.759523241177988,0.03385010047085124,0.47446617933592,0.0003834538694257296,0.03262560020678073,0.18152685159984813,0.1253216777532505,0.12376006836159592,0.001,,,,,,,,,
21,-0.0895259917104118,1.151353206139573,0.0672291449573083,1.7711811311785797,0.03202794508626708,0.45809552428517863,0.00038673584005402827,0.03361457247865415,0.09416214069545457,0.12224089874074721,0.12094642859409348,0.001,,,,,,,,,
22,-0.01794177471091119,1.0874109482682588,0.09322255444347127,1.7113853953154012,0.03252416396547434,0.44390940361464704,0.0005327815440332644,0.046611277221735636,0.02244992169367288,0.12324147162199314,0.11920485151589223,0.001,,,,,,,,,
23,-0.08145575076824266,1.1900705263924616,0.10263137747514739,1.694595712462867,0.031994807788260526,0.4184468193651901,0.0005255079630745044,0.051315688737573695,0.0857137356873875,0.12220205429691186,0.11655481179594962,0.001,,,,,,,,,
24,-0.19965185494458593,1.299676795771249,0.059462467129786326,1.7814986862442868,0.029145160743208606,0.38760768285172953,0.0003204930481213223,0.029731233564893163,0.20357868292401174,0.11790698893947346,0.1149065522660738,0.001,,,,,,,,,
25,-0.15075014509697754,1.230957242818275,0.08299951401659125,1.73732025978547,0.03128040554705387,0.3794654946737407,0.00044090803715554183,0.041499757008295626,0.15460808208369264,0.12199364912609828,0.11554080340291012,0.001,,,,,,,,,
26,-0.15239591610534334,1.2334886687647832,0.08789499789834981,1.7172697186344705,0.030778004608510955,0.3608334850505104,0.0004708959299338034,0.04394749894917491,0.15607008011128332,0.1212093336005731,0.11367278515197761,0.001,,,,,,,,,
27,-0.07038544266068836,1.1518478656729405,0.08850995147387958,1.7459030755545868,0.029245009334574683,0.3422322811431887,0.0004752626835049316,0.04425497573693979,0.07387423210544779,0.11807116507985947,0.11114054309448303,0.001,,,,,,,,,
28,-0.20188163388019822,1.3117907693568984,0.07223297449038374,1.7605349601445073,0.028452251501751003,0.31331961531619257,0.0004101342089931065,0.03611648724519187,0.20507265321229673,0.11694307784066801,0.11000998134105704,0.001,,,,,,,,,
29,-0.1536367243104519,1.2762050726387928,0.07159783558270365,1.766277269243837,0.028204753125352342,0.2969799183773903,0.0004222152888505458,0.03579891779135182,0.15666420733759806,0.11714805242034783,0.10950921177438824,0.001,,,,,,,,,
30,-0.16775104472222038,1.2756616505494205,0.07838176831214458,1.7636201155172218,0.025586327667210043,0.2746708997898051,0.00044788936398527907,0.039190884156072296,0.1705590596990695,0.11134722132513529,0.10510944165613355,0.001,,,,,,,,,
31,-0.09522417111172789,1.145802295055515,0.09016256916971288,1.7332774341767359,0.02858263108012972,0.2744612739102169,0.0005455770883911782,0.04508128458485644,0.0980366536806406,0.11791303910908713,0.10746959891283733,0.001,,,,,,,,,
32,-0.07608074461910139,1.1584559424197538,0.08501101037709546,1.7505210169704986,0.024573164915650404,0.2521259322230165,0.00047510945358517006,0.04250550518854773,0.07866676575122564,0.10911831165226049,0.10226635597207491,0.001,,,,,,,,,
