iter,train_mean_terminal,train_mean_utility,actor_loss,critic_loss,entropy,val_mean_terminal,val_std_terminal,val_mean_utility
0,1.1128274975344539,0.08569585182787876,-0.04643651098012924,0.003772794036194682,1.6746996641159058,1.1174305668100715,0.19582447269349115,0.09567017895438017
1,1.2186997635290027,0.1742662848985942,0.01680956408381462,0.0020376485772430897,1.6756513118743896,,,
2,1.2109385980293155,0.1644399550731261,-0.0010532992891967297,0.0017666388303041458,1.6835424900054932,,,
3,1.2306191194802523,0.17290745730782905,-0.033942386507987976,0.001755978912115097,1.6780130863189697,,,
4,1.1606731628999114,0.1206267171728383,-0.02429274097084999,0.0016001231269910932,1.6785335540771484,,,
5,1.14382856618613,0.10167323984058647,0.021295281127095222,0.0017596177058294415,1.6869984865188599,,,
6,1.1457797335460782,0.10356387935229971,-0.04709748551249504,0.0017841255757957697,1.6886231899261475,,,
7,1.2045435635372996,0.1648452202510781,0.015150431543588638,0.0016199239762499928,1.69048011302948,,,
8,1.1548796147108078,0.11343871560244195,0.00798487477004528,0.0018895852845162153,1.6880682706832886,,,
9,1.1223123436793685,0.08697772045660276,-0.0056609660387039185,0.0016854697605594993,1.6835267543792725,,,
10,1.1750107696279883,0.13310842081038293,-0.007496877573430538,0.0016938000917434692,1.6836588382720947,,,
11,1.1353304954245687,0.10505405541536082,-0.01898401416838169,0.0018325347919017076,1.682138204574585,,,
12,1.1578810894861817,0.11552020317560374,0.02167944610118866,0.0018624148797243834,1.6768158674240112,,,
13,1.205662563443184,0.15640475818336844,0.0034477240405976772,0.001748794806189835,1.6651021242141724,,,
14,1.1623756866902113,0.12295575942771567,0.009625203907489777,0.0016510409768670797,1.6732207536697388,,,
15,1.1043028375133872,0.07129031902964143,0.012562034651637077,0.0017915843054652214,1.6655958890914917,,,
16,1.1375077720731497,0.10751717688728354,-0.007207799702882767,0.0017888760194182396,1.6657559871673584,,,
17,1.1637486014515162,0.12153058809110372,-0.0011774790473282337,0.0018909546779468656,1.6585290431976318,,,
18,1.1661837790161371,0.13137278008935582,-0.026584893465042114,0.0018291284795850515,1.663707971572876,,,
19,1.131569298915565,0.10398363842936945,-0.0404842235147953,0.001543528283946216,1.668821096420288,,,
20,1.1608171667903662,0.12785069160319956,-0.008211540058255196,0.0015368257882073522,1.6687967777252197,,,
21,1.1548557775095105,0.11433423384459408,0.013313681818544865,0.0017659540753811598,1.6690272092819214,,,
22,1.0773323131725192,0.047766291555444984,-0.014939259737730026,0.0016929364064708352,1.671859860420227,,,
23,1.1556969592347741,0.11282891545306378,0.011909976601600647,0.0017493566265329719,1.6718920469284058,,,
24,1.166669337078929,0.12442538632081657,0.007180370856076479,0.0016216501826420426,1.6757794618606567,1.1209611343219876,0.20153346138415926,0.09801790237619668
25,1.1947820205241442,0.15086644846325514,-0.004213212989270687,0.0017470180755481124,1.6789084672927856,,,
26,1.1805477179586887,0.13212587405000026,-0.010152442380785942,0.0019170824671164155,1.6706582307815552,,,
27,1.1708731818944216,0.1228139625482074,0.01431986317038536,0.0019818053115159273,1.6684229373931885,,,
28,1.2617787830531597,0.19855370354594745,0.01166081614792347,0.0020794493611902,1.6693114042282104,,,
29,1.1886872062459588,0.14452951817754237,-0.019984159618616104,0.0019359280122444034,1.6706068515777588,,,
30,1.184196999296546,0.13949771624296164,0.0013675633817911148,0.001781838946044445,1.669948697090149,,,
31,1.1147123062983155,0.08618158547238967,-0.0018801242113113403,0.0018595752771943808,1.671423077583313,,,
32,1.1331924637779593,0.0942959419053298,-0.01650780811905861,0.0018814291106536984,1.6682966947555542,,,
33,1.182860966771841,0.13413269814716444,-0.008182140067219734,0.0018539337906986475,1.6707055568695068,,,
34,1.1814975962042809,0.13945770582800016,0.012158503755927086,0.0018567860824987292,1.6692124605178833,,,
35,1.1288591008633375,0.08652505527667007,-0.01886417530477047,0.001816825126297772,1.6709139347076416,,,
36,1.181294216774404,0.1352775678686454,-0.00710789579898119,0.0018942987080663443,1.6692867279052734,,,
37,1.1640103552490473,0.12405465457661602,-0.01001535914838314,0.0017206481425091624,1.6577509641647339,,,
38,1.1797129064798355,0.13755131033537304,-0.0011218658182770014,0.002083142753690481,1.6607396602630615,,,
39,1.1775848921388388,0.14155173708392055,0.008871159516274929,0.0018663164228200912,1.6597254276275635,,,
40,1.1693308930844069,0.12124091051156484,0.03204898163676262,0.0019453915301710367,1.659954309463501,,,
41,1.1561651956290007,0.1091875345691892,-0.06651322543621063,0.0020103640854358673,1.6718404293060303,,,
42,1.156003462150693,0.11548433658236179,0.002078274730592966,0.0019386155763641,1.6761091947555542,,,
43,1.1499902503564954,0.12239229005156968,-0.008706052787601948,0.0016889579128473997,1.6660807132720947,,,
44,1.207395157776773,0.14499019853864759,-0.016204416751861572,0.0017500340472906828,1.6554967164993286,,,
45,1.2251102812588215,0.16895376597029907,-0.006373431533575058,0.0018814376089721918,1.6535605192184448,,,
46,1.2178997173905373,0.17170883512739865,0.007440267596393824,0.0017728576203808188,1.6466312408447266,,,
47,1.1596338609233499,0.11616969144123167,-0.02106310799717903,0.001956086838617921,1.647821307182312,,,
48,1.2066217781975865,0.15586399630858183,-0.02493981458246708,0.0018592133419588208,1.6584817171096802,,,
49,1.1391846537590027,0.11036516530954413,-0.016339795663952827,0.0018003297736868262,1.6642416715621948,1.1207048296928406,0.2005941080695443,0.09794140689122327
50,1.1633735382929444,0.10677440328198567,0.009690508246421814,0.00175317726098001,1.6644021272659302,,,
51,1.1819147802889347,0.14150302673315393,-0.01797727309167385,0.0019745989702641964,1.673940658569336,,,
52,1.207509490661323,0.16408547141183713,-0.0035667759366333485,0.0019210076425224543,1.671523928642273,,,
53,1.1497246632352471,0.11396113669312638,0.002267790026962757,0.0021060106810182333,1.6710816621780396,,,
54,1.188057167455554,0.14296496604731718,0.033964186906814575,0.001832075184211135,1.673690915107727,,,
55,1.1459070993587375,0.10613211064114798,0.011474139988422394,0.0019433980342000723,1.6679869890213013,,,
56,1.222570901736617,0.15590461978609277,-0.033577803522348404,0.0018626099918037653,1.665401577949524,,,
57,1.101433428004384,0.06531423096778355,-0.040009502321481705,0.0020917372312396765,1.6683675050735474,,,
58,1.0852719601243734,0.054938725734153315,-0.003450769931077957,0.002183302538469434,1.667852520942688,,,
59,1.1690540062263608,0.12696736804281766,0.03838735446333885,0.0018198841717094183,1.672677755355835,,,
60,1.236175011843443,0.18465153774350065,0.06423677504062653,0.0017873452743515372,1.6727750301361084,,,
61,1.1550315227359533,0.1158328920709935,0.013369861990213394,0.001892020576633513,1.6854326725006104,,,
62,1.1942270286381245,0.15298632251640165,0.023996759206056595,0.0020211604423820972,1.6799391508102417,,,
63,1.1798996925354004,0.13153501672314938,-0.023236053064465523,0.0017848557326942682,1.6773244142532349,,,
64,1.2199221011251211,0.16796096993258686,0.0010850275866687298,0.0018394781509414315,1.6679476499557495,,,
65,1.1576225040480494,0.11357013770975663,-0.013804190792143345,0.001722128363326192,1.6683396100997925,,,
66,1.1477175327017903,0.10624982613867007,0.003978341817855835,0.0019438810413703322,1.6686475276947021,,,
67,1.1650651162490249,0.129711410694419,0.014654290862381458,0.0020375472959131002,1.66768479347229,,,
68,1.228729517199099,0.1768056622923229,0.006826750002801418,0.0018980224849656224,1.6601293087005615,,,
69,1.132692378014326,0.09278553581030131,-0.02876623347401619,0.001982749905437231,1.666719675064087,,,
70,1.1490618661046028,0.10285197443744576,-0.0533694364130497,0.0017320086481049657,1.6565934419631958,,,
71,1.1854485962539911,0.14063353895341502,0.0169382207095623,0.001922480994835496,1.6559962034225464,,,
72,1.1748480424284935,0.1297579008123263,-0.00275238323956728,0.0018775553908199072,1.6578797101974487,,,
73,1.143992087803781,0.09961419206000192,0.02910570427775383,0.0020101331174373627,1.661215901374817,,,
74,1.1677749939262867,0.11790581288112023,-8.400855585932732e-05,0.0019133107271045446,1.6699410676956177,1.1228215396404266,0.20079012041238256,0.09993865135276969
75,1.1927406685426831,0.14791028214606322,-0.0050732893869280815,0.002046155510470271,1.6790436506271362,,,
76,1.1937330812215805,0.1556694441803328,0.04223828762769699,0.001799757475964725,1.6779996156692505,,,
77,1.1155274165794253,0.08201185155673857,-0.015404501929879189,0.001813380396924913,1.6780412197113037,,,
78,1.1545588970184326,0.11973648263407238,-0.011553420685231686,0.001687496667727828,1.6711997985839844,,,
79,1.1937906872481108,0.14421235536668908,0.016128966584801674,0.0019486530218273401,1.66515052318573,,,
80,1.2407202329486609,0.19198889766306512,-0.004885093308985233,0.0017824482638388872,1.666237711906433,,,
81,1.2319309236481786,0.17620769710419504,-0.026752067729830742,0.0018937478307634592,1.6624621152877808,,,
82,1.11152374278754,0.0719136446934493,-0.020574958994984627,0.0018204913940280676,1.668056607246399,,,
83,1.1924179950729012,0.14730003638435837,0.013959299772977829,0.002004323061555624,1.6746290922164917,,,
84,1.2268562680110335,0.17414678305332015,-0.018883779644966125,0.0019510609563440084,1.6679688692092896,,,
85,1.1448638010770082,0.09661038673342731,0.018085824325680733,0.002005345653742552,1.657766580581665,,,
86,1.2213519671931863,0.1779069622613237,-0.005196668207645416,0.0018702978268265724,1.6590670347213745,,,
87,1.1951907072216272,0.14081466182571245,0.0037018656730651855,0.0016455393051728606,1.6598244905471802,,,
88,1.1182925831526518,0.0834416093414822,-0.006960439495742321,0.001839149510487914,1.6652640104293823,,,
89,1.1690812893211842,0.12737332228352194,0.014163742773234844,0.0017930964240804315,1.6757867336273193,,,
90,1.141643819399178,0.10211974410279659,-0.03777993470430374,0.0019291844218969345,1.6798532009124756,,,
91,1.2660186979919672,0.21036384241773595,-0.002705786842852831,0.0018176493467763066,1.6794565916061401,,,
92,1.1673028208315372,0.12755602170165975,-0.042476680129766464,0.001786826178431511,1.682357668876648,,,
93,1.2009035060182214,0.1590452743320827,0.00017968472093343735,0.0016998890787363052,1.680480718612671,,,
94,1.2317668329924345,0.1867329613352574,-0.0019236314110457897,0.0016527032712474465,1.678924798965454,,,
95,1.1157566104084253,0.08653147250390407,-0.004730143118649721,0.0017306354129686952,1.682155728340149,,,
96,1.2485134592279792,0.1853374787549132,0.023074164986610413,0.0017880942905321717,1.678075909614563,,,
97,1.2090120976790786,0.15541492994698491,0.019544988870620728,0.0018694148166105151,1.6764887571334839,,,
98,1.1632524756714702,0.11145928885706802,-0.05814752355217934,0.0020567497704178095,1.6728038787841797,,,
99,1.1478616492822766,0.10695742724504259,-0.02701149508357048,0.0019915972370654345,1.6762372255325317,1.128078954294324,0.20852809413802526,0.10358274651501422
100,1.1776164704933763,0.13155913501374547,-0.026583688333630562,0.0020479809027165174,1.6781407594680786,,,
101,1.1337455455213785,0.09603004250695121,-0.011590546928346157,0.0019082309445366263,1.6764906644821167,,,
102,1.1787006361410022,0.14052374125015663,-0.013228803873062134,0.0017944546416401863,1.6673142910003662,,,
103,1.1866142014041543,0.13517180141140894,-0.008075731806457043,0.0018222613725811243,1.6581765413284302,,,
104,1.166133051738143,0.11270054814033113,-0.006940007209777832,0.001992422854527831,1.6603974103927612,,,
105,1.1898644883185625,0.12724869986060983,-0.008416693657636642,0.0020748109091073275,1.6475694179534912,,,
106,1.1696767918765545,0.12735961763911774,-0.018580425530672073,0.0020797650795429945,1.6425549983978271,,,
107,1.1868063434958458,0.13960690505892848,-0.012873290106654167,0.001947868848219514,1.6324061155319214,,,
108,1.143278638832271,0.10255815769761539,0.010489837266504765,0.0019190217135474086,1.6285723447799683,,,
109,1.2117980467155576,0.16417988394848199,0.013945195823907852,0.0019024783978238702,1.6254442930221558,,,
110,1.1821370096877217,0.13777859084417698,-0.017504677176475525,0.0017881967360153794,1.6209566593170166,,,
111,1.1826763600111008,0.14312015812952625,-0.021679289638996124,0.0019374515395611525,1.6225392818450928,,,
112,1.210835101082921,0.17097195630114748,0.012836676090955734,0.0018138177692890167,1.6241053342819214,,,
