iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,center_resid_l2,loss
1,-0.000586850564641514,1.1826379866995058,0.20741938502221266,0.0001695928183499917,0.043324240788839424,0.08350840772115883,0.4098462301587301,0.08037834432153793,0.05479123077408047,0.9805193811049133,0.0,-3.675633342150085
2,-0.13212341266366892,1.1102277587397458,0.3008740014225182,-0.00013309203424913556,0.09858422003288672,0.10688596162057255,0.4166666666666667,0.09655161835356539,0.06108457195250204,0.9827414294970043,0.0,0.351289288057431
3,-0.023806995567135857,1.1703547909882281,0.23646753663351774,0.00013090769337992,0.056795734298875696,0.10730879219622172,0.4337797619047619,0.09656108903499243,0.05893896070383164,0.9774733223536647,0.0,0.07920344558394353
4,-0.04851060473311203,1.158443365009553,0.24375818115160883,5.013650816253081e-05,0.06114500479006979,0.05972727183031403,0.3660714285714286,0.06575247404055343,0.05404144226166195,0.984575698078813,0.0,-1.6413772390287602
5,-0.12691899415946367,1.1024317430967634,0.27768595226150783,-0.0001598807195275686,0.08662905283851638,0.08934370482578269,0.3959573412698413,0.08488602942297352,0.0567978194289492,0.9838352673371495,0.0,2.96071183562131
6,-0.10913784060312325,1.1304381443939904,0.29121415434108683,-7.735438555229191e-05,0.08964453544394568,0.0872897757365095,0.40314980158730157,0.08568563994295718,0.05991776025001379,0.9825907527834887,0.0,-2.0749988989617827
7,-0.0313528770861827,1.164768427191217,0.24480117049486116,0.00011831745917480926,0.061168876798234635,0.06964498522525284,0.3638392857142857,0.07024674439272431,0.052596513186358704,0.980189286174449,0.0,1.5489287915274146
8,-0.11083225005810424,1.1249530175239126,0.2787105347376223,-0.00010920888216510601,0.08331161175249752,0.0816943561627934,0.3585069444444445,0.0814728429842418,0.05961425791263941,0.985153774905144,0.0,1.2641552281975195
9,-0.280876832646244,0.9989752576767694,0.2800139250157633,-0.0006430876484817034,0.11881874522885476,0.12806293103968153,0.4091021825396825,0.11143881906447556,0.06701730113914678,0.9888084047981228,0.0,-0.14367861938786702
10,-0.17497098339821116,1.0659634470568422,0.2898998590160403,-0.00028953673657066336,0.102007725782404,0.10215574379217794,0.4175347222222222,0.09334772146612619,0.05923278784454965,0.9812106987484068,0.0,4.92163292459888
