iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.061050466368421104,0.061050466368421104,,,0.0,8615.567649962337,10.85222356063268,7.297873913700618,1.2227004728576099,0.5423613490549865,8.0,-7.0,1.0908090913849187,-3.3635363640574156,0.6468717531212728,-1.3300452063953565
2,0.0,0.12182157092963149,0.18259267549084188,,,0.0,619.6119142279312,3.9170495393720577,6.404862574181718,2.4222531972958685,1.208170178132505,8.0,-6.999999836763741,1.09072678900623,-3.3635255024220014,0.6467719756323902,-1.3301432485944895
3,0.0,0.09379001853963224,0.03772691375963374,,,0.0,4934.562716385874,13.691299163172117,6.63370273394871,1.848859136130846,1.0228840415729745,8.0,-7.0,1.0906681733758374,-3.363496178920197,0.6467426985257185,-1.3302387767804251
4,0.0,0.07073261317551828,0.0015603970831764213,,,0.0,19344.230374671115,17.977089224857167,7.219110109492579,1.617443722467157,0.5672981633743821,8.0,-7.0,1.0906060231167618,-3.3634594668010465,0.6466854304134881,-1.3303249965344526
5,0.0,0.08143955701396144,0.1242673323677341,,,0.0,12761.667581377196,8.152404646755004,7.448733721263595,1.3696075469278082,0.4307014803786998,8.0,-7.0,1.0905433172568793,-3.3634767997358654,0.6466179722114879,-1.3303354480003542
6,0.0,0.07053032807660334,0.015984183389812813,,,0.0,22655.15175915452,14.812295958909367,7.419212615988071,1.7034887775101926,0.4073451147836117,8.0,-7.0,1.0905094442949115,-3.3634733246858692,0.6465454893661725,-1.33035215888681
7,0.0,0.06381655509285375,0.023533917190356177,,,0.0,11519.156148275493,12.931500834664098,7.265679290417275,1.4498000117482552,0.5657860474081163,8.0,-7.0,1.0904624962684317,-3.3634853549318673,0.6464778656230276,-1.3303899603871743
8,0.0,0.06578841649529565,0.07959144631238899,,,0.0,3406.7534471261515,7.743639650419035,6.78315049060357,1.159190794967595,0.9613690655638379,8.0,-7.0,1.0904073413784743,-3.363495653481183,0.6464021019736681,-1.3304455796319823
9,0.0,0.06842156896528545,0.08948678872520392,,,0.0,4706.179197273803,9.62864491364013,6.964220824420238,1.674108955589708,0.7229055770062386,8.0,-7.0,1.0903481102620747,-3.3635252976653494,0.6463387781468928,-1.3304970115818922
10,0.0019234954139575595,0.0765045860424405,0.14925173973683578,0.0765045860424405,-1.9234954139575595,0.0019234954139575595,4038.7177428900145,7.184597584998317,6.989533143363036,0.9163223373255108,0.8143389113570132,8.0,-7.0,1.0902773638193939,-3.3635769798327786,0.6462967709373156,-1.3305452726483058
