iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,mean_terminal_center,mean_terminal_gap,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,mean_threshold,center_resid_l2,width_anchor_l2,actor_loss,critic_loss,loss
1,0.5740403565530596,1.1819654841247764,0.20862584097657216,0.0022779379228296016,0.04384998528603566,1.1743264015885149,0.007639082536261554,0.08371160005720053,0.4029017857142857,0.07978313554710152,0.052905896783675355,0.9495445797734495,0.052905896783675355,0.0,0.0047193166299588935,-0.004379105128343769,0.022964923847723882,0.008689137578943459
2,1.1457490791586562,1.1107971546988378,0.30045286615213546,0.0045466233299946675,0.09822907238885609,1.1011173295801944,0.009679825118643404,0.1065840990938477,0.40910218253968256,0.09598112135782111,0.05949196285354789,0.9549625248653112,0.05949196285354789,0.0,0.0050279860817346814,0.017562389211132925,0.07061228065211557,0.05445451899106776
3,0.683087796840391,1.169016130965875,0.23679024982184657,0.002710665860477742,0.05702962255101632,1.1657371661856921,0.003278964780182969,0.10721864678783838,0.42844742063492064,0.09657071082865135,0.05822363322108398,0.9589589308742428,0.05822363322108398,0.0,0.004714937716234165,-0.0014686156318344397,0.02832338141022432,0.014278651479789262
4,0.7687429008828952,1.1582662457860633,0.2440325089338245,0.0030505670669956158,0.0612935716573264,1.1488044902121135,0.009461755573949793,0.05984600962693695,0.36607142857142855,0.06448539013786633,0.05107881860941022,0.9435021490727467,0.05107881860941022,0.0,0.004784052052027784,-0.0038909112422902837,0.030518908992769933,0.01295408877594201
5,0.9905569999708751,1.1016305530510884,0.27866974157554536,0.00393078174591617,0.08733337296281596,1.0947858880819041,0.006844664969184233,0.08966525900689838,0.3918650793650794,0.08382789331080538,0.05447615325325717,0.9488988748138051,0.05447615325325717,0.0,0.004831455637869329,-0.012961221247393684,0.041115053612997374,0.009181798485538161
6,1.0484500647400234,1.1300666943822077,0.29107769019834145,0.004160516129920728,0.08961688896583316,1.1214544833472286,0.008612211034979111,0.08715640621857787,0.39694940476190477,0.08490455232592484,0.05807483925031093,0.9508905420456548,0.05807483925031093,0.0,0.005014512799873957,0.0007572194826489203,0.0472335123356033,0.02595955163504572
7,0.7642910427781089,1.1646275250631901,0.244975470947297,0.0030329009634051944,0.06126419334900519,1.1560884091032158,0.008539115959974364,0.0698305637387616,0.35540674603174605,0.0692566067104245,0.05025728492894932,0.9478564956795477,0.05025728492894932,0.0,0.004670930516380361,-0.008034093457852071,0.020773954354184852,0.003938016122552002
8,1.0044675605418796,1.1246409002655735,0.27895628586454885,0.003985982383102697,0.08349560333612716,1.11462151602176,0.010019384243813434,0.08184764624509003,0.35763888888888884,0.08066078814077375,0.05719470474177255,0.9478740991449628,0.05719470474177255,0.0,0.005053071395185922,0.0021416918320432605,0.043890449332632475,0.02567233104354994
9,1.3583150244660875,0.999143836838894,0.2799234289420981,0.0053901389859765374,0.11870032435050262,0.9897656530979182,0.009378183740975765,0.127810855832525,0.4011656746031746,0.11046564931606764,0.06493702464721346,0.9523005649967089,0.06493702464721346,0.0,0.005760302414955157,0.006310278022907603,0.061055759987390656,0.038424179793813136
10,1.194873306646567,1.0654014676752883,0.29001962829176375,0.00474156074066098,0.10222814969845927,1.0554497475915383,0.009951720083750004,0.10195144687576099,0.40910218253968256,0.09272490720706854,0.05756208183374987,0.9541540672602387,0.05756208183374987,0.0,0.004846217877434255,0.004756179853524784,0.05533916883544211,0.034010771964918515
11,0.8229478309626899,1.1180262218323629,0.22844396459700766,0.0032656659958836907,0.05890634526787585,1.105378429148527,0.012647792683835979,0.09938528695845851,0.37710813492063494,0.09144327328835916,0.058771355053092215,0.9488534241690149,0.058771355053092215,0.0,0.005262732974997003,0.005834937761192527,0.014414873597364184,0.014627698769644844
12,0.7929528869227127,1.144340634901746,0.25460942234132855,0.003146638440169495,0.06792392286812576,1.1375500600530088,0.00679057484873713,0.0811492496187784,0.4243551587301587,0.07881974128582805,0.053211423931846795,0.9506066410569504,0.053211423931846795,0.0,0.004631610680834867,-0.0024976169472443084,0.019426934809325225,0.008800443545894357
13,0.856602794230853,1.1414790820133338,0.24859413034970593,0.00339921743742402,0.06522373948632869,1.1285977587377256,0.012881323275608203,0.08220343664775713,0.3913690476190476,0.07833894936721889,0.05391091937616961,0.9449956060551453,0.05391091937616961,0.0,0.005022140515642598,0.013914752191364472,0.021507391107410633,0.02625333136438064
14,0.8980313267071612,1.1273215409847206,0.2572755952583445,0.0035636163758220683,0.07147289032037116,1.1165000701921461,0.01082147079257445,0.07941362071299618,0.37661210317460314,0.07797268524391476,0.05606059386292487,0.9437875903284214,0.05606059386292487,0.0,0.005161883055403242,0.0005508217117340874,0.027487211231205046,0.015879350690187213
15,1.196810215432461,1.0259453031251193,0.26527094349864494,0.00474924688663675,0.10066371096886778,1.0157294705413116,0.01021583258380776,0.10000958464251011,0.37313988095238093,0.0942059861423642,0.0634725679009084,0.946284814695509,0.0634725679009084,0.0,0.005672615716183905,-0.008343955402191157,0.04671825161378712,0.016600504501213774
16,0.9436835517331793,1.1078326773158877,0.25437533261582435,0.003744775998941188,0.07320162521416852,1.095638260242343,0.01219441707354485,0.10383191964893135,0.39285714285714285,0.09369082153799166,0.058864747904789225,0.9481593978623547,0.058864747904789225,0.0,0.005198073340496217,0.008884823795573666,0.03241660064076973,0.026677883671094207
17,0.7418026519271255,1.1333667434822963,0.2341681775499103,0.0029436613171711324,0.059274726251200394,1.1277874358540503,0.005579307628245989,0.10185635079482858,0.435515873015873,0.09540292439785862,0.059674014896446866,0.960076402246002,0.059674014896446866,0.0,0.00478835292165586,-0.011532158942296186,0.021347074307170574,0.0007256280470059259
18,0.9405357422083525,1.101975304534491,0.2452808683212287,0.003732284691302986,0.06977154528552168,1.0884640687091767,0.013511235825314438,0.08351191844477537,0.3758680555555555,0.08137757487257442,0.056915059730849635,0.9455191969491399,0.056915059730849635,0.0,0.005174492475579315,-0.00013759196557731022,0.020683576459468722,0.01178873224042779
19,0.8455436069100936,1.0943439330621745,0.24651094655744668,0.003355331773452752,0.07193085125341861,1.0871705958050875,0.00717333725708702,0.08960293650340796,0.39546130952380953,0.08701897284322802,0.059562009766364596,0.9545560473455678,0.059562009766364596,0.0,0.004880207422164183,-0.004188797476411705,0.02271561752709769,0.008753152979354452
20,0.6803601879471441,1.155858467361949,0.22625743054371306,0.00269984201566327,0.05314089977987926,1.1490953038245595,0.006763163537389483,0.0854314988797465,0.39174107142857145,0.08373555222403847,0.057115718413044594,0.9510601327667554,0.057115718413044594,0.0,0.004840840628769545,0.008125406394382343,0.014122444096290083,0.016770630768951293
21,0.8071689063297376,1.1085966772475109,0.23756196160526652,0.0032030512155941967,0.06479025301193783,1.101333203356365,0.0072634738911459,0.07532680703358552,0.34499007936507936,0.0782201947233658,0.05815194576445058,0.9460532381152271,0.05815194576445058,0.0,0.005075925327290945,0.013443614474762186,0.02191991077486468,0.025987707274316946
22,1.3247843646958484,1.0277039331804476,0.275968418560799,0.005257080812285113,0.10584450268443599,1.0110782146197574,0.016625718560690173,0.1108169854936125,0.4154265873015873,0.09752092026570668,0.058862889365160084,0.9550058523098606,0.058862889365160084,0.0,0.004993396954523341,-0.0005830525158116586,0.03966177338465178,0.020831789061263876
23,0.9831553467608996,1.0977381434096467,0.2643523863117033,0.0039014101061940454,0.080339671461998,1.0875115012030743,0.010226642206572434,0.09448253611705598,0.42795138888888884,0.08786833051512599,0.055079245560293394,0.9554947213835672,0.055079245560293394,0.0,0.004544108899170951,0.008020108202326343,0.02573381361976651,0.02247042060990388
24,0.6834993362454536,1.175706270136194,0.23946815076830572,0.0027122989533549745,0.05793518054308758,1.1708222041976866,0.004884065938507431,0.07322985033653778,0.37971230158730157,0.07345092040973428,0.05243727056151442,0.9479349935019987,0.05243727056151442,0.0,0.00477479235925486,0.0034971524432196597,0.023660712302765185,0.016911044876756605
25,0.8395527443703471,1.121019722749927,0.2500392722617813,0.0033315585094061398,0.06875752186769957,1.113845272690649,0.007174450059278081,0.1084135311324746,0.4283234126984127,0.09704791174276865,0.058454341450986616,0.954145884620367,0.058454341450986616,0.0,0.004920754882704815,-0.0006847379691815965,0.021514743635602893,0.011656216094297645
26,0.9357170815437873,1.0960922117321226,0.25525327971399026,0.003713163021999156,0.07595106526747059,1.0882891067388165,0.007803104993306054,0.11817614040980112,0.421875,0.10313413511230193,0.05963602524793855,0.9552473162816933,0.05963602524793855,0.0,0.005016060358578423,-0.0025499533970598093,0.022642813642063657,0.010355030976125678
27,1.1257489430533447,1.0779918512957147,0.2844903315504127,0.004467257710529146,0.09582073709591071,1.0677194039238778,0.010272447371836968,0.08189910728995634,0.375,0.08089302745431844,0.057887985423617144,0.9487284529653117,0.057887985423617144,0.0,0.004905552922716935,0.007617744883162555,0.0423435385919952,0.030372881224877944
