iter,mean_reward,mean_terminal,std_terminal,avg_turnover,outside_frac,center_dist,mean_halfwidth,center_resid_l2,loss
1,-0.01669678941632214,1.0787069428233433,0.044550911293288004,0.03314336975751782,0.5510912698412698,0.02547571601450787,0.011862545951172565,0.0,3.2489830510183206
2,-0.015956451437013984,1.0778421745439282,0.03215458158424547,0.04351711634482306,0.6106150793650794,0.03230693777596475,0.013611376511389155,0.0,4.02013318519293
3,-0.01211419621104657,1.0921822216725499,0.02212516412548027,0.02667674911539829,0.5285218253968254,0.021202541938061675,0.01049045856249935,0.0,-2.9979132638540813
4,-0.04003386899084053,1.0396851840139887,0.11972062798954873,0.05476774636275844,0.6227678571428572,0.038877042488181274,0.01485294818045269,0.0,1.9063166454454974
5,-0.02592764052109544,1.059691467152094,0.07900098816574125,0.04329113008290282,0.5731646825396826,0.031319427570475934,0.012761913024398908,0.0,-6.032090234626695
6,-0.03413555260416701,1.046833506805,0.10332268853699611,0.05186856949977934,0.5865575396825395,0.03758430862212893,0.01499454761050274,0.0,4.931219599366569
7,-0.03589363612807601,1.0506194244244262,0.11652930862571133,0.04036508692319368,0.5602678571428571,0.03107909096655299,0.014579889525806222,0.0,-6.035689947867606
8,-0.025294646957072252,1.0627018702424205,0.08027372248839033,0.045962366121673856,0.6060267857142858,0.034012051657896246,0.014485240053377393,0.0,0.6264671730343865
9,-0.017021906682628766,1.0749115973781591,0.03707827142876275,0.03683613231608461,0.6039186507936508,0.02823388034560744,0.013100824892269734,0.0,-2.208918603120867
10,-0.02722993746639779,1.0589258663817547,0.08560389179388554,0.04580043039683064,0.5845734126984127,0.033036274269856974,0.013349873638053098,0.0,-2.450107350281359
11,-0.019033941227552257,1.0711033792538949,0.04918945403017781,0.039874060695641256,0.5713045634920635,0.030066686202386787,0.01342772639098688,0.0,-1.5391403879444967
12,-0.030511667341290127,1.049752592778066,0.08909199719602452,0.04367602314865124,0.5636160714285714,0.03236710876958422,0.013961872144722968,0.0,-4.446436305452549
13,-0.028532476189433928,1.053979543609366,0.08491467779427138,0.043985445049114245,0.5954861111111112,0.03347093954472838,0.015307745245313916,0.0,2.6120731942110194
14,-0.02054160343034908,1.0652800501487678,0.048909493377365186,0.03980516619230004,0.5999503968253967,0.03056736073551194,0.014164008084369606,0.0,0.3133288473208595
15,-0.04581654385777936,1.0280297953855468,0.1274472148877429,0.05844036496232577,0.6222718253968254,0.04226990309505845,0.01721973337173091,0.0,6.3053602525557695
16,-0.015922754318341968,1.0783277298917406,0.03344567244121042,0.04212208446791791,0.6169394841269842,0.03170579316477361,0.013933392706889255,0.0,-0.564930965774315
17,-0.015859976604263998,1.080209034113027,0.03886001925025329,0.039506563458214364,0.5398065476190477,0.02939756482430256,0.012600620535825512,0.0,-0.8309516393959415
18,-0.047635684089116115,1.0256004236816965,0.13122679554539282,0.05208588832609414,0.6325644841269842,0.037954900473852374,0.015519471111922756,0.0,1.282807139005701
19,-0.028328519470001617,1.05354781071638,0.08294742747087697,0.04590903553213064,0.5913938492063492,0.03326073348045234,0.013302671843349939,0.0,-1.8866654313444757
20,-0.020683633108857374,1.067189205541255,0.05518084798274089,0.04341510219390828,0.6068948412698414,0.03219082004178979,0.01376841691715535,0.0,0.8848664653933351
21,-0.032255821532242185,1.046581427093812,0.09337324573811742,0.05802350749646244,0.6235119047619047,0.04134024163744793,0.015790322585263143,0.0,0.1896560407714595
22,-0.020494392937200873,1.0668854506954955,0.052677411673881035,0.03745681327338218,0.5946180555555555,0.027853156499281925,0.011907378331170372,0.0,-6.094480114255573
23,-0.021826440201971754,1.071976325886499,0.07373180499927988,0.03808560268074003,0.6014384920634921,0.028448335354741713,0.012163223199410614,0.0,1.0671361146685878
24,-0.026004713278619314,1.0615666802901693,0.08270991036589949,0.04453659901150313,0.6042906746031745,0.03274395247149712,0.01365563950764041,0.0,-0.5258698616259764
25,-0.02501659648964931,1.0601346392897395,0.07385307957721209,0.04633213122939649,0.5833333333333333,0.03404837669484791,0.014160858784810142,0.0,1.4435265244458755
26,-0.016450790305682566,1.0787372411652782,0.04178676375928933,0.039459789586956465,0.5777529761904762,0.029589943113632514,0.013043500915553107,0.0,-1.2411423184479466
27,-0.04134318736227283,1.0333989414545903,0.11656446565665635,0.06463209055606918,0.644593253968254,0.04465167613855668,0.015549925574649313,0.0,0.29894454820803623
28,-0.018963558905507272,1.07613215363035,0.06016905800535789,0.04904359441690324,0.6129712301587302,0.035864674816983945,0.014799605883213567,0.0,1.1644288272978116
29,-0.03128146177916591,1.0471229502675752,0.08893857118413584,0.051838010693718975,0.5639880952380952,0.03714409344798819,0.014661061102479075,0.0,-2.085444998919697
30,-0.02260330700675486,1.06832982405518,0.07256908276542397,0.044633772382665284,0.5788690476190477,0.03250083842872263,0.013174509586399714,0.0,-2.1822987341336813
31,-0.026569677508411882,1.062251195704782,0.08714897832820274,0.041568447971539704,0.5784970238095237,0.03054732442971242,0.012740030559689006,0.0,1.6423599982988644
32,-0.02159961625437226,1.0657169758559455,0.05973010699052486,0.04593801086936335,0.6326884920634921,0.03389850362982634,0.014139804761687918,0.0,5.913621691800685
33,-0.02151500499926237,1.0673099170878895,0.06251677291767084,0.03745550351322105,0.566344246031746,0.028125883952879085,0.01234781324354473,0.0,-2.0628915468833204
34,-0.02307901970812979,1.0690438866906822,0.07700335119361318,0.032734883563627956,0.5519593253968254,0.024809404434592418,0.011096898483072192,0.0,-5.215313380323866
35,-0.024131507869262016,1.0640852361742819,0.07522423042784307,0.03267740223935232,0.5799851190476191,0.025078163100795185,0.011431185644322567,0.0,6.801492050318548
36,-0.018577931321822207,1.0707695518181788,0.043329234756083926,0.03983357355950755,0.5767609126984128,0.029971129818503355,0.013352533941516458,0.0,-3.1456732931647293
37,-0.014111577429088435,1.0850652586166214,0.03002636595101602,0.03758808990535652,0.5705605158730159,0.027927235162671107,0.012076161438936578,0.0,-6.471494656998869
38,-0.01736355867707648,1.0766815844874507,0.04643411539537229,0.03695126255197406,0.5882936507936508,0.028012717786902314,0.012610162592414985,0.0,2.6525995360428136
39,-0.021354643249918957,1.0649432248023967,0.05580600974037647,0.04351043344778613,0.5941220238095238,0.03193407756777761,0.013333890455620128,0.0,-4.23891679113316
40,-0.03811754481925713,1.0454304325093053,0.11927193142142363,0.04834943502169907,0.5900297619047619,0.03518301052729093,0.014610938901235347,0.0,3.737632621564696
41,-0.014591592571161488,1.0832005085517076,0.030813493287547927,0.03879892247610933,0.5969742063492063,0.02888319461921001,0.012383579899404798,0.0,-4.1777039629217265
42,-0.025644447630349412,1.0688338857564492,0.0918689180550048,0.03718674538460197,0.5708085317460317,0.02827159862158714,0.012906386617130821,0.0,-4.50276899522875
43,-0.02204037435020856,1.0661854946902998,0.06429659803542322,0.03702876730546421,0.582093253968254,0.028675567607661143,0.013539697268425015,0.0,-4.363280994716998
44,-0.03734075884449167,1.045458806452775,0.11600766501180367,0.04260369345659962,0.5616319444444444,0.031044936882991397,0.012785702877176293,0.0,-0.49269040960978994
45,-0.026402376987910266,1.0593417272044672,0.08134880012690852,0.03946653177925634,0.564236111111111,0.028822178140469768,0.011829569051689047,0.0,-2.898497464115844
46,-0.02831541720111372,1.0634049608629308,0.09827111724335022,0.03852447713696962,0.5670882936507937,0.029313263763903655,0.013476578056498878,0.0,-5.593695684456212
47,-0.028374090208728737,1.051496061667819,0.0795026446639389,0.040670623515339496,0.5958581349206349,0.030570581777969456,0.013446752099655304,0.0,1.3934059146685336
48,-0.016380357772291788,1.0772903003135057,0.036368769227761305,0.03298608187931257,0.5739087301587302,0.025697829334616985,0.012329876179475594,0.0,0.6852434823992034
49,-0.02382581733923394,1.0589261632474216,0.06264175862107343,0.04262976467137766,0.595734126984127,0.03194172420748089,0.014010638243514003,0.0,2.2227556928100722
50,-0.014262062395299426,1.0873096473143737,0.03953412205789598,0.033640995146058145,0.5869295634920635,0.025419217730813355,0.01119972641277684,0.0,-2.6258141720513564
51,-0.0471314215576005,1.0276887272158266,0.1320615266801755,0.0602422154633481,0.6231398809523809,0.043413268055485885,0.017236504837973156,0.0,1.742421385939973
52,-0.01783839891530853,1.0744179749119143,0.045470362766135655,0.036411111141744494,0.5931299603174602,0.02709745611566622,0.011779766043054918,0.0,-7.783164562735033
53,-0.018810561907335675,1.0692697706177814,0.04147492053046282,0.037000174639262154,0.5726686507936508,0.028236591039670703,0.01282144832152498,0.0,-1.865982223324859
