iter,loss_critic,loss_actor,mean_xT_batch,std_xT_batch,omega,target_z,lr_theta,lr_phi,cov_mode,signal1_asset1,signal2_asset1,signal1_asset2,signal2_asset2,val_mean_xT,val_std_xT,val_mean_sharpe
1.0,218.81688269123666,-5.4791134716218295,0.878320164928713,0.15042727703589936,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9122431055258701,-2.8131579086677996,0.42901106407975753,-0.7158061875247897,0.8363413979895442,0.15076637424445577,-1.2080500087597477
2.0,224.18418856403704,-4.15041482125133,0.8719176552535697,0.11917592574107617,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9121429711551405,-2.813256236689787,0.42911111536655366,-0.7157081119959965,,,
3.0,211.97096246977605,-4.99493353803121,0.8444502608346598,0.1620268786595235,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9120436389367143,-2.813355524216632,0.4292111333879342,-0.7156091387774779,,,
4.0,234.35092141923792,-4.2461578141731335,0.8417920921580397,0.12815641704589897,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9119436787292652,-2.8134553133899525,0.42931103487516076,-0.715509394041429,,,
5.0,230.09419668869828,-5.547651264667053,0.8232016510732968,0.1477902358827405,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9118461990362925,-2.8135554132059934,0.4294107771390349,-0.7154089911933542,,,
6.0,214.16678459195555,-4.733540057060077,0.8552930079123356,0.12091466907234345,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9117474303029592,-2.8136531844046564,0.42951069864979646,-0.7153110996537938,,,
7.0,224.8209941781431,-5.276325288703511,0.8697657549335969,0.14814826861399233,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9116474186233807,-2.8137523617720417,0.42961057309813094,-0.7152128172471354,,,
8.0,231.7954581425803,-4.774133283411873,0.8592140087384476,0.12995301928844735,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.91154702649545,-2.8138512714852304,0.4297104610034344,-0.7151141597304668,,,
9.0,221.93491396020343,-5.449043014477174,0.8483161369423702,0.1281565155938157,0.0,1.2,0.0003,0.0001,belief_avg_regime,0.9114460776705285,-2.8139508858748474,0.4298103043543046,-0.7150149098496411,,,
10.0,218.1660349376936,-4.482722842284849,0.843745930981939,0.1474648963451583,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9113456579572881,-2.8140487216073087,0.42991030377341033,-0.7149172547271004,,,
11.0,217.868152003304,-4.610067642858298,0.85020703274534,0.12165021051246999,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9112445861353339,-2.8141474059220632,0.4300102170717025,-0.7148186666927231,,,
12.0,217.3694181392592,-4.409756338839692,0.9062540825246481,0.1264127678042336,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9111435339560592,-2.8142427084521464,0.4301103045201642,-0.7147222533921319,,,
13.0,217.67918089443793,-5.180009459937503,0.8129920378790698,0.12760131941854183,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.911047027667966,-2.8143396315880027,0.430210378665624,-0.7146250443669045,,,
14.0,218.59534677212682,-4.706285336430472,0.8716099071578498,0.12868657353537108,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9109528790661997,-2.814436890881662,0.430310510402797,-0.7145279325753042,,,
15.0,218.32585646258366,-4.47624874776668,0.8627496291532118,0.11654615615373959,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9108579976992495,-2.8145335473106683,0.4304107520067803,-0.7144323589174483,,,
16.0,217.72187641069615,-4.679412136810885,0.8680990730461727,0.13638147618599494,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9107628535453701,-2.8146284480676815,0.4305111018857576,-0.7143381151522497,,,
17.0,215.86541661990174,-4.801573070666387,0.8517686652326832,0.14880728965703743,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9106665448368915,-2.814722463938917,0.4306115421736561,-0.7142455177979528,,,
18.0,222.7075538349749,-4.7979698486775995,0.8779243558718257,0.16440690281632223,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9105689432330365,-2.814818125455883,0.4307118524434786,-0.7141514655932433,,,
19.0,206.69916162640567,-4.904639797110675,0.8658729034747813,0.1156292321433083,0.00356254069018061,1.2,0.0003,0.0001,belief_avg_regime,0.9104701774097761,-2.81491154380625,0.4308122845734527,-0.714059675690346,,,
20.0,212.49471472848188,-4.917563896534391,0.8378920530729785,0.13592809288989263,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9103721027693034,-2.815004169630439,0.4309127814415659,-0.7139684064766849,,,
21.0,219.924033858614,-5.25014732380279,0.86309033465113,0.1096339440883295,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.910275292970627,-2.8150977629869987,0.4310132170244394,-0.7138758161283345,,,
22.0,217.38445625374152,-5.191253442822241,0.8201485974920889,0.13564823542173726,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9101769464906477,-2.81519226006376,0.43111360747476374,-0.7137828417888934,,,
23.0,216.00697373655834,-4.698140091549311,0.875656763452054,0.16519721701945014,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9100775752757396,-2.815283467843687,0.4312140751689164,-0.7136909303474667,,,
24.0,222.4079248840844,-4.931575552444649,0.8406455777980498,0.1330378389955046,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9099768211802208,-2.81537497012093,0.43131447329027334,-0.7135981534339585,,,
25.0,214.86245598815088,-5.068130780416695,0.877152142924541,0.1419737279163134,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9098753474830963,-2.815466311870954,0.4314148983969382,-0.7135058329161789,,,
26.0,209.70460063994108,-4.602367029948937,0.8495656096812565,0.1996935498635307,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9097754722725594,-2.8155538794479678,0.43151548517356086,-0.7134158290567639,,,
27.0,209.11129771001316,-5.372047672520535,0.8424276015264965,0.12736031492484834,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9096762166064695,-2.815638725801303,0.43161620342685875,-0.7133280809028302,,,
28.0,222.28855160352379,-4.45897263644414,0.8730921441680122,0.1583975540642111,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.9095790335495352,-2.8157236363506963,0.431716932129741,-0.7132397503145466,,,
29.0,207.1404944593927,-5.092491746039053,0.8395898676868689,0.1470349598946788,0.007154350769906023,1.2,0.0003,0.0001,belief_avg_regime,0.909484199828293,-2.815808987574799,0.431817759653506,-0.7131529461518632,,,
30.0,224.90571168170786,-4.9821929952927615,0.8567193040812819,0.18529200519268524,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9093946267565487,-2.8158992893775174,0.43191834780636007,-0.7130627746368715,,,
31.0,222.69565118435332,-4.56285508748801,0.8442162543494166,0.12348709002713544,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9093101335739152,-2.815990057731787,0.4320187938473246,-0.7129697546808125,,,
32.0,216.61762817417966,-4.386231550047134,0.8626697249808474,0.13861929508582688,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9092277009866134,-2.8160781605689467,0.4321193799671187,-0.7128782508139002,,,
33.0,220.87655978127862,-4.886742578067776,0.8159005728679724,0.13069394764435802,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9091400515758621,-2.8161687303279646,0.43221975466946255,-0.7127849656765888,,,
34.0,223.21018974835835,-4.720076505548645,0.8969513682883361,0.13693976184495696,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9090500332651431,-2.8162586224287507,0.4323201257065225,-0.7126915830241309,,,
35.0,213.23785043556978,-3.9909912085613852,0.8175428201168038,0.08891943381666338,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9089607782827873,-2.8163464175682464,0.43242057365341463,-0.7125986056593135,,,
36.0,217.85980356659115,-4.8521710225022705,0.8724443373153912,0.1370630590508871,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9088697090873625,-2.816436220000046,0.4325209506027383,-0.7125048516436313,,,
37.0,227.14259240328556,-4.691764157226694,0.8419324414318721,0.1134642793677499,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9087807199298342,-2.8165273123056984,0.4326212563203874,-0.7124095321110607,,,
38.0,226.54449078259927,-4.893702125174392,0.8632479465959111,0.1448513949634882,0.010666659289362319,1.2,0.0003,0.0001,belief_avg_regime,0.9086896196362282,-2.8166227364452823,0.43272127211257455,-0.7123115113701111,,,
