iter,loss,mean_terminal,std_terminal,avg_turnover,mean_lower_gap,mean_upper_gap,anchor_pen
1,0.01984921561038052,1.1098540545394324,0.10788850555706357,0.011118671301075406,0.70502803785827,0.6156919854589925,0.718758247633135
2,0.032550902162482485,1.074809377478688,0.12959439469083506,0.015244475254068208,0.6772507478498385,0.6204870607424305,0.6825858467087296
3,0.022267224717515275,1.1031407725178526,0.11313129847672714,0.013576547412540198,0.7125961938984859,0.6228198602086004,0.7324752663402027
4,0.026900886061671535,1.0553731071580885,0.07676943633569559,0.005937002638749957,0.7975000440951315,0.6174294291851212,0.8446457062662527
5,0.02840972153520723,1.0507559408313156,0.07771625032777894,0.008031078686835648,0.8140015098536569,0.6251761854086626,0.8808569436468767
6,0.027964014175522446,1.0617335443495715,0.09353573379284727,0.006947997321957727,0.824576768502558,0.6313525849442674,0.9051992390215282
7,0.02763937151212536,1.0444700143136396,0.05787417406982567,0.005420121088669268,0.8492997856901332,0.6334430531929751,0.9495491917275429
8,0.028575734992505757,1.0520007453579956,0.08107421076090461,0.00819596559883389,0.8236791714141095,0.6334900261090387,0.9073200181449956
9,0.03152436854222215,1.035354331639403,0.0657206980803338,0.010889009228721859,0.7909537143996499,0.6329092263644533,0.860732669192892
10,0.027936010422502985,1.0541238480617043,0.08099786466794995,0.009831296471998728,0.792263655423328,0.628441390501567,0.8567334093875663
11,0.02957750017404484,1.057677037938521,0.09604105454917905,0.009949571915045297,0.8051838068491683,0.6282924020407051,0.8784091325818337
12,0.026729310969487705,1.0680205503513018,0.09600637405681643,0.007010324776519003,0.7959302251914567,0.6266120018662318,0.8650165560060478
13,0.026918171888992506,1.0574320240476225,0.08060969925275967,0.008406176865639627,0.7932637360079865,0.6288544563734821,0.8621433134878104
14,0.02844541312496713,1.0561038399545732,0.08745314404140211,0.007878194574453738,0.7742887885227991,0.6272971495550084,0.8337765184736772
15,0.03485020283386016,1.0381499034071582,0.09253754944098394,0.011964693274395425,0.7486507785939112,0.6289796967181505,0.795863169309529
16,0.026176746752150665,1.0624059387576554,0.08457786583706617,0.01189056033107085,0.7459308655807544,0.6261589537846665,0.7931511310474587
17,0.024586491255714812,1.10172453648619,0.12182006238646449,0.011338315636357238,0.72414842961998,0.6274309487804144,0.7695861138218939
18,0.0332739997137994,1.0449949902962232,0.09569888588334767,0.009569303306129866,0.748150339140214,0.6265161090685625,0.7960061791138883
19,0.031303432077680736,1.055362839535526,0.10146341304951938,0.010420088856211204,0.7354025049523387,0.6304766731568148,0.7827961394115271
20,0.020131335896793202,1.0836721568474301,0.08069544217245807,0.007725992403093802,0.7497009740299544,0.6240903642431844,0.7968842445271029
21,0.025667535951251007,1.060692307886554,0.07856270100516818,0.008046924060198449,0.7570130950149969,0.6248412424208984,0.8075795598867892
22,0.03391526155285509,1.0400727022721064,0.0908110224377732,0.01093491616948285,0.7523256805423055,0.6271041375209674,0.8094428194554526
23,0.02557574803874933,1.0659447010671248,0.08667828134961675,0.009143824253527362,0.7633647267308676,0.6259245859008223,0.826565847899849
24,0.02313022739903628,1.0622450821718639,0.06372226073855769,0.006782511815945243,0.7959886131254141,0.6221342743997638,0.8650098775101871
25,0.025339591148301917,1.0678129252285578,0.08814800035636436,0.009832002368944624,0.7915278660146725,0.6217325967746605,0.8626644247650901
26,0.02502784367156133,1.0737868425501593,0.09488030481581038,0.009831389422353233,0.79099748078691,0.6180363601792301,0.8597892673961215
27,0.03310473903535364,1.063319819324721,0.11970000616337517,0.00926462490059532,0.7937477324710042,0.6176944706773421,0.8591114551412231
28,0.02230993776017396,1.0727212394657117,0.07756383247556793,0.009149388401501935,0.7919001566719308,0.6129314498187948,0.8475738032979895
29,0.03573845744555745,1.0851969146464762,0.14988691364641707,0.008319606056436286,0.7841552297823418,0.6118704621902669,0.8430255036410528
30,0.022953413387469562,1.06761176868157,0.07303996658383663,0.009682107028854848,0.7755980295626,0.6084322649805134,0.8225077025063839
31,0.021569422405736626,1.091975145974001,0.09904918116623812,0.01032088782991668,0.7496958346104639,0.6079315596807531,0.7899214086603051
32,0.03050778611459143,1.0588185511422714,0.1024044588350587,0.011417331838881016,0.7425938078200596,0.6077697888939434,0.7749409188392862
33,0.020815663171163897,1.09344492993695,0.09683731414822662,0.010218787192606615,0.7151938018293673,0.6043890736219641,0.7399601638742597
34,0.024187831550946857,1.0898166381296783,0.109374152737331,0.011908108046895998,0.703907332819208,0.607077370231389,0.7284492284468099
35,0.031782982368800075,1.0735744220496832,0.12534911439880123,0.014034721715908038,0.7048248849694533,0.6077085104284561,0.7312040644882641
36,0.024399780543429853,1.0901560736969937,0.11068735077262971,0.008932115504188574,0.7135281276228826,0.6059672066968301,0.7347066120223218
37,0.016414465262721296,1.1027422919037573,0.0828930534092522,0.008914208972503713,0.725203716353344,0.6050416098743955,0.7523096610568296
38,0.02496368822236794,1.071142566338293,0.09094216775475718,0.010702751691245183,0.7502094273102995,0.6026422927374698,0.7826938486105506
39,0.02602591210317466,1.0703759528622374,0.09557746985983931,0.008454230841882914,0.7597405477807462,0.6063508529803159,0.8001153115134629
40,0.028349468650993685,1.0707532819172374,0.10749397290949926,0.009007506770453755,0.7647568586907805,0.6048376186114159,0.8079279718994545
41,0.028113889794403123,1.0579792510082355,0.08860579314918632,0.011334433661392144,0.7688842447950459,0.6077309338410889,0.8167563696359452
42,0.02633193064695664,1.0579921441247353,0.07793799788417492,0.008117351062685083,0.7817376492280862,0.6056693590501323,0.832506514103747
43,0.024219428025646885,1.0652230624547905,0.07722892412406887,0.00681143923727347,0.7810130077377668,0.6093754632327959,0.8348697098312046
44,0.025737460836615086,1.085239100566295,0.1117017428289973,0.007679520987132963,0.768051113623859,0.6106160742367358,0.8243792575951064
45,0.02663336996864989,1.0853512999826327,0.11575250935812344,0.009591042916777565,0.7480298221246106,0.6171898363259452,0.8081108735837084
46,0.01896230979326509,1.0786558087594238,0.06442518759650365,0.005772446052063611,0.7620381300180388,0.6076538036531471,0.8151980253882573
47,0.025724894385439644,1.064696872171167,0.08561211374172942,0.007225839619027669,0.7515269469961762,0.6122802538566099,0.8129812622826618
48,0.026198680849517535,1.0622952478365644,0.08454726945793466,0.007628333000685005,0.7366910191089592,0.6176716539277669,0.8021297533102452
49,0.025801381244045657,1.059043999615128,0.07646094488171017,0.00700071805181166,0.7311084271145094,0.6202152599999041,0.7951038928992291
50,0.030660908828373433,1.0713982797747774,0.11846343541553604,0.011069498543178487,0.7121866090237073,0.625245767452178,0.7785135449297265
51,0.03176276035319388,1.0527464278303131,0.09996948148972573,0.005715533277452396,0.7381442988236824,0.6121226288172926,0.795330738586484
52,0.020556498617535876,1.0822718174805404,0.08129689254637758,0.007306143603564717,0.740564615156962,0.6173493580328472,0.8008277689984268
53,0.023498210354702627,1.0753881547064872,0.08878964086360148,0.006778996434776143,0.742808660074832,0.6143224585979142,0.7971904612613486
54,0.019722553064251032,1.076925841585541,0.06700973480598749,0.006423169349722679,0.7411296396219984,0.6071653708589707,0.7857686670521001
55,0.026746957703854927,1.0708465200248605,0.09990499028453408,0.008707928001620398,0.7309648724549498,0.6023153002295221,0.7662130241167646
56,0.019789552268463854,1.1001296242606526,0.09866108463067921,0.008009471702076484,0.7144307462463204,0.5951321223076516,0.7344122594132534
57,0.030579341379222524,1.0518529397814418,0.0924642347274157,0.008983762186703248,0.7159456956871616,0.5945944520670868,0.7317146190808872
58,0.03408754950169744,1.0461725819902303,0.10167306994410613,0.013117456790451095,0.7112890926304681,0.6073115586668096,0.7414436149548876
59,0.028232444618570406,1.0702748571921754,0.10640124953723323,0.008749951789869865,0.715675005669025,0.6004201381552503,0.7385608718544987
60,0.022452038560786407,1.0767836150860228,0.08476939891346527,0.007989556182981875,0.7316480438573418,0.5983754980988745,0.7592050118384093
61,0.02680296442438318,1.0680850266192712,0.09651119168947485,0.00987954199540671,0.7366369038273158,0.6002638278639492,0.7711455902687208
62,0.024262905872307644,1.0815270551140432,0.10070765777497045,0.006956200892704095,0.7455116955901558,0.6005945751618611,0.7807866694344476
63,0.024032332402952793,1.06347344674906,0.07285654116091085,0.006748053881163363,0.7562223140310089,0.5940899723028201,0.7800901655844752
64,0.02137121542267712,1.0998358194797544,0.10608068549283327,0.008347136359669743,0.73885876259,0.5946036388476303,0.768933923956663
65,0.024587496780981523,1.0687034479051012,0.08523061488235469,0.009435859253098528,0.7288439485659569,0.5945508121538797,0.7501861649569727
66,0.029106991706864285,1.0681866601079264,0.10792716171428197,0.010755059935031876,0.7110352686156725,0.5979176843930584,0.7320783772512499
67,0.021884826226610893,1.0971398814720494,0.1059278152398948,0.010211846661129675,0.7133322959684376,0.5985059965157364,0.7370835486845839
68,0.025730992472213998,1.0795353722828946,0.1055319131664071,0.009498075295443033,0.7090441657813006,0.5955917471182264,0.7278316933572667
69,0.03279952676602078,1.0542539593264948,0.10712045619690976,0.009180650771055721,0.7122393278147909,0.5995250905837292,0.7364560741270075
70,0.03932463905705409,1.0600591424608778,0.14019196504433323,0.010808698371102167,0.7259186770875821,0.6031810542477909,0.7659968690657908
71,0.022380462476288096,1.096002589038739,0.10713277852297928,0.007521691537844063,0.7494219576022465,0.6050430933411832,0.8004706405114579
72,0.027466345992224743,1.0668741703359772,0.09824584481567591,0.005726966351031419,0.7944394562536359,0.6051258525343031,0.8588647859341036
73,0.03495420868354592,1.0395033461736185,0.09540006855829145,0.007146823080715594,0.8032502517426541,0.6040106819592924,0.8671289007317383
74,0.029107969870402962,1.05242690129747,0.08507913405190719,0.006838448382414791,0.7972128070084995,0.5987854792242465,0.848529103315405
75,0.019309799910425182,1.0862869927416683,0.07931443139162794,0.0057872909431248894,0.7763583713370403,0.6003765332159416,0.8258557277142299
76,0.02190242341021682,1.0650135486227295,0.059960422041374035,0.006871200679000531,0.7646009916187484,0.589521540809629,0.789579427299505
77,0.027947572821341596,1.0570181534824554,0.08613729155931983,0.010075102540573021,0.7217502486790748,0.5932957204165923,0.7405628805913587
78,0.019001310014997275,1.100983689749369,0.0954755616887928,0.010744776074803727,0.6960606508333003,0.5922918812393051,0.7075266348280054
79,0.03363412091714678,1.0835738774133357,0.14142138635727883,0.010266318623880912,0.6887618186371505,0.5845576121516809,0.6880405874318706
80,0.02629995613027289,1.0707797899459917,0.09757385597164725,0.012710891781223777,0.6907018728464354,0.581429455575758,0.687251829138777
81,0.02381687737153978,1.0925512259616164,0.11041774001306849,0.010709965582722296,0.6863308120001136,0.5869660241936914,0.6885105401186344
82,0.03452387850053594,1.046332812238719,0.10407579918326851,0.008802286122045777,0.7032062397364123,0.5783500896342042,0.6969964431709051
83,0.026301119977719882,1.0758555409326873,0.10395308280459525,0.010120361664784428,0.7205282232063999,0.582729815097053,0.7290947436037585
84,0.021117535639089993,1.0784810191099021,0.0791597511202702,0.00851334151432193,0.7441289458179101,0.5813381217851521,0.7589338358459861
85,0.02914304149857274,1.060211934621746,0.0975464329610228,0.007190952272778849,0.7695863107589976,0.5861377114276543,0.7984074068561282
86,0.025382725680652356,1.0666852396818445,0.08673757606299408,0.004312251668074552,0.7870681691798815,0.5861232205757223,0.821810090133244
87,0.02672426465260372,1.0473024052022941,0.05759378975781818,0.005441329442636402,0.807670578600247,0.5861825406345926,0.8522324748898014
88,0.02742671506151458,1.0488012325939082,0.06689073956298584,0.007360629886907133,0.7937102021813577,0.5904269589852018,0.839161272230459
89,0.027942911844271327,1.049000818451992,0.07111044573998658,0.0045562876862226265,0.7819340582305916,0.5816361275659778,0.8090723507720929
90,0.020898605146533984,1.0854573677406192,0.08771658181136792,0.007414766286510413,0.7440699634217758,0.588772120118469,0.769770506693334
91,0.016560243351620096,1.0939018552846167,0.07227590158538734,0.006520053213395879,0.7279839812000803,0.5759267918717087,0.7310103637974266
92,0.02130381342544259,1.0840914323616002,0.08825444066723896,0.00992951747794321,0.7025469693019017,0.5774947872097296,0.7024155849193209
93,0.016072875528471302,1.1028520881649744,0.0810147932590748,0.005993131775612326,0.6754194489335346,0.5674870630516291,0.6576889597919364
94,0.012469177761471884,1.1148457486272374,0.07175502921580969,0.007379864078231109,0.6474921836573737,0.5598009110253259,0.6176715277633249
95,0.0271958284404394,1.083186756731643,0.11611414064752668,0.008859288876120593,0.6270019605888406,0.5601595407557156,0.5914169037733465
96,0.028281365744115734,1.1028726516316534,0.13703606127770376,0.011521615355283319,0.6118349128653999,0.5550193716080241,0.5724023718771727
97,0.023465199831917825,1.1144456338987134,0.12679193576342052,0.009923824025876595,0.6301653716067248,0.5550993155980803,0.5953147426364395
98,0.029936822253995507,1.083142343958854,0.12729864276214506,0.011402623511467414,0.6701809518877435,0.5591798335286398,0.6476340596899115
99,0.023031146600198654,1.1008260828509182,0.11452502853334495,0.007683087642813894,0.7220032153953433,0.5623349138973519,0.7201550929947265
100,0.02793578654533024,1.101713624203623,0.13486477333043645,0.006509429009563422,0.77651647625709,0.5687012979866464,0.8055836366403635
101,0.029014485100749186,1.0746933762190511,0.11496869797358028,0.00845628172909985,0.811799689209567,0.5744325476467679,0.8647734189951874
102,0.0249111987022035,1.0588464256558783,0.06991928587632795,0.0054695893282993005,0.8537757829613466,0.5765107915459105,0.9269102529804729
103,0.027917875563340275,1.048011764511098,0.0686783263527852,0.006601369424610395,0.8586718066044203,0.5775970098848939,0.9413795626607615
104,0.029830260691230733,1.0590123752453957,0.09926597924489783,0.007158937727767456,0.8439467577716981,0.5789936596535954,0.9185678410938529
105,0.029968663071822967,1.0554426935252958,0.0947444927238058,0.005981507090692104,0.8300620093746718,0.5763520179159625,0.8934780801942194
106,0.02839241736735889,1.0776102489380537,0.11541135783880797,0.00637349979724741,0.8133398147020907,0.5793640292979638,0.8701118435905022
107,0.023597495092681053,1.068979016672359,0.07963715251829097,0.005869896184231438,0.7933370784390531,0.5706841614910811,0.8305106313329789
108,0.02715905170095194,1.0520030666286362,0.0719014116916695,0.006814896828263969,0.7684372232638493,0.5706306617903409,0.7933151354085718
109,0.01924588551073193,1.092057100705498,0.08668951658843038,0.005767029856325314,0.7265927538019612,0.5699421659668475,0.7337668643687736
110,0.025768083241384188,1.0745893632009718,0.09980841632505255,0.007737031971917673,0.7044697691267239,0.5705853222568278,0.7079841775949471
111,0.02301034432389232,1.0859008341874787,0.09957941131722317,0.007987045163061372,0.678368701628308,0.5655050929404984,0.6767848133133905
112,0.022231589595338996,1.093339111439827,0.10385411558334134,0.006291380919051435,0.656778521388653,0.5525814776386528,0.630757423762684
113,0.02482599818046026,1.1001824729850143,0.1216127246799215,0.007915591643438098,0.6487539767787647,0.5728023999210252,0.6488908535503896
114,0.03860701555304808,1.0639938410593535,0.1415415058398343,0.009660972930596517,0.6514353343791663,0.5759935716072153,0.6568143492124012
115,0.02477854395231684,1.092833991581377,0.11497089237184904,0.007267448954126111,0.6722020955189169,0.5749955474767072,0.6841705020305506
116,0.017832583422468497,1.1043583270204562,0.09276104337688731,0.007208239562513909,0.6957134416733814,0.5918905821270259,0.7343440421125501
117,0.025687987262934128,1.0704310844590266,0.09390668142961929,0.006290956845323095,0.7262252911891893,0.577985215601996,0.7512761450084706
118,0.022869330204714003,1.0758315723919019,0.08583094645124212,0.0053155108167933065,0.7531073922183915,0.5772139029134316,0.7926491051370235
119,0.023026097799739388,1.0725174446765253,0.08178198485053079,0.004999470677084388,0.7600045012740324,0.5839798685510371,0.810033711671372
120,0.02883213173938002,1.05445500143799,0.08696726682795429,0.0053465401906226985,0.7626406107443346,0.5793061529264301,0.8013309324929683
121,0.022749018764984086,1.0868811365495468,0.09932011343749,0.006007510331565604,0.7597336747033288,0.5936809146957001,0.8264905309435262
122,0.023090986154392618,1.0917463896204258,0.1062329861469875,0.006513325721630861,0.7447009152998514,0.5907529590180436,0.8018132275228325
123,0.026596173256053623,1.0732439136517054,0.10219119268263444,0.007218334205404582,0.7427356300858601,0.5850112847893053,0.7880963361261722
124,0.025377994429970678,1.075161353609662,0.09854526696656256,0.005736679612759537,0.7460665963491275,0.5634567542943139,0.7640047627501168
125,0.028473892787870825,1.0614545385477467,0.09589211034569906,0.0074684065368725155,0.7446162585721623,0.5636918419918793,0.7628266576447771
126,0.023910199284011564,1.0672243855843155,0.07872883049889343,0.00691994664887894,0.7422638313682306,0.5638588366628197,0.7568680217665729
127,0.022913475093283956,1.0879261727881793,0.10132591538338138,0.008024385934604757,0.7402189612222025,0.5804621700532215,0.7796683316415662
128,0.026796916357337535,1.065483725506105,0.0928067774165484,0.008298552530542992,0.7611703662799401,0.5826078200441551,0.8089176664529573
129,0.022683062608041177,1.0893047676821626,0.10169221561917188,0.005153094933827137,0.7726412273434361,0.5839730043712502,0.831683376712087
130,0.018769904857117665,1.0919653755045156,0.08369769729927387,0.0055079709395832975,0.8097909673389332,0.5764184596331747,0.8761226309687018
131,0.02711079877536534,1.0555939075535277,0.0785101594076679,0.005673366840478044,0.8193120484627534,0.5714511575573935,0.8816074264833085
132,0.027707369961870277,1.0513993540993276,0.0743548892466505,0.006429836283510188,0.8284530987161556,0.5737608578611155,0.9013860860810103
133,0.02503388175456902,1.0618393853314683,0.07648343225221615,0.0064842770344210494,0.817508162692645,0.5791231705650275,0.8932662286875883
134,0.02534557339168582,1.0689357680404292,0.08984686215186384,0.006050361079884912,0.8202801082534161,0.5765751180490931,0.8923149291770893
135,0.026041998171325048,1.0653384337051408,0.08838976846958713,0.006256594466346051,0.8202772052692462,0.575038382171296,0.8925296976672146
136,0.02500179233233004,1.05472098425799,0.0616753719242423,0.005421864311788792,0.8170551862133927,0.5585495391807029,0.8652655105750598
137,0.02279547603749041,1.0740019938787708,0.08265431137395166,0.006082254597376458,0.7776420703220284,0.5689736188751678,0.8216104766558368
138,0.019212848125912313,1.0899171057818453,0.08372074055253885,0.007090100029854105,0.7575757717362079,0.5560849018627003,0.783520277714866
139,0.020874878120624454,1.0880544820562854,0.09088790696424934,0.006653535706031594,0.7400537371382235,0.5528798363516241,0.7581396488986538
140,0.02130405094669975,1.102829032732571,0.10854635965267724,0.007829464956870508,0.7121599419443474,0.5515734111860616,0.717124082067476
141,0.021722245534730754,1.1034152582423122,0.11097946102770308,0.009674110946354824,0.6854746606024757,0.5410267225105345,0.6751831338571412
