iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,mean_terminal_center,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,center_resid_l2,actor_loss,critic_loss,loss
1,-0.0006062285185840788,1.1826076238399787,0.20755995912850195,-2.4056687245400184e-06,0.04338363138191707,,0.08351938311033022,0.40910218253968256,0.08043769743028585,0.05476120341548131,0.9803628851080486,0.0,-0.00996108113267845,0.020727341767570004,0.001565021288782678
2,-0.13193643785910783,1.110293979032074,0.30072798397622763,-0.0005235572930916978,0.09848449054430419,,0.10681449491156667,0.41542658730158727,0.09657824275352317,0.06109021464878488,0.9830700018222018,0.0,-0.011833172276335603,0.017325060390154218,-0.0020083835816329994
3,-0.023632787622604946,1.1703817650308665,0.23622574777518082,-9.37809032643054e-05,0.05667984375463013,,0.10730626503257576,0.43675595238095244,0.09662621838801591,0.05894458585570121,0.977231512834279,0.0,-0.006654422370485035,0.015032830466184647,0.0020240692060163505
4,-0.04820049368026558,1.1586794024572962,0.2435714251756762,-0.00019127180031851417,0.061034430943396153,,0.059720270330913754,0.3669394841269842,0.06565201723068442,0.054008889913883085,0.9841906620853653,0.0,0.0006063982393027783,0.009943217403676298,0.006739822213314418
5,-0.12665643400132734,1.1025300147243084,0.2774438450524022,-0.0005026048968306641,0.0864754851871049,,0.0893143392903866,0.3978174603174603,0.0849247163153054,0.056782885143720686,0.9839932331802874,0.0,-0.01690210012483322,0.008509171053448165,-0.011485886537061452
6,-0.10904593655456413,1.130427442898073,0.2909073798133861,-0.00043272197045461956,0.0894674443315906,,0.08721908395404611,0.4026537698412699,0.08556270713065933,0.05995926649733437,0.9830824718434215,0.0,0.013921338184389117,0.006944153553537555,0.018554856663523134
7,-0.03129392951989573,1.1647626343202848,0.24476651366568783,-0.00012418225999958618,0.061152318152101315,,0.0696467841739149,0.3629712301587302,0.07032623234816862,0.052577086093472836,0.9798989370858043,0.0,0.015265006315059578,0.005401783582170199,0.019127143205058792
8,-0.1101659545620565,1.125327040099235,0.2784806816713771,-0.000437166486357367,0.0831275410044961,,0.08165307448187784,0.36222718253968256,0.08145445291299183,0.0596050059409287,0.9854295656094528,0.0,-0.02169872439117581,0.004953634590686451,-0.018060869565080382
9,-0.2807390125175594,0.998975065913248,0.2798412030699353,-0.0011140437004665054,0.11872212306021171,,0.1280394565169961,0.41071428571428575,0.11145559890258319,0.06697867423374312,0.9881643352814342,0.0,0.008257280233983965,0.005061808826182136,0.011949008801899832
10,-0.17473817585896,1.0661373473752032,0.2898979328926664,-0.0006934054597577779,0.10196002126318798,,0.10213446995043177,0.41927083333333337,0.09333910108147424,0.05922657397344225,0.9810071785198251,0.0,-0.0002654216274550446,0.004494692877411355,0.003142591291017987
11,-0.0922990542925961,1.1177650362934939,0.22885399196719602,-0.000366266088462683,0.059136738895131796,,0.099393808352172,0.3844246031746032,0.09255703738419929,0.06122008084300512,0.986915376642886,0.0,-0.009923776986205918,0.003946338006428424,-0.006790189386579203
12,-0.05776486012214155,1.1448464383852524,0.2537619216020903,-0.00022922563540532357,0.06743702821397721,,0.08095507865945549,0.4312996031746032,0.07939956006987137,0.05498779660642085,0.9807930394278549,0.0,0.012766654195666142,0.003230898243754954,0.015542339426215565
13,-0.06824755023190941,1.1419552584908805,0.24851952750512904,-0.00027082361203138657,0.0651311475682331,,0.08188593293390678,0.39223710317460314,0.0795129353790723,0.056720061130533475,0.9860480724815303,0.0,0.009413582590277414,0.0035367880657748057,0.012341996578906198
14,-0.09660209523643788,1.1275447679240571,0.25694378904539267,-0.00038334164776364246,0.071269871384182,,0.07924441004190183,0.3802083333333333,0.07905159491258018,0.058865904865449986,0.9873928262828972,0.0,0.012176174146226095,0.00333751836965788,0.015004729825798112
15,-0.24155956655819127,1.0264101621607122,0.26527855311583237,-0.0009585697085642512,0.10050614254429968,,0.10002619380772622,0.3757440476190476,0.09532964102576925,0.06611824381943515,0.9907718877377548,0.0,-0.0020827374501844855,0.004657951888147221,0.0014058401359636871
