iter,loss,mean_terminal,std_terminal,avg_turnover,mean_lower_scale,mean_upper_scale,width_anchor
1,0.04658310462481933,1.184882693113921,0.21519207054993722,0.06950898395457553,0.9731910393598788,0.9790837794276703,0.004694442976226196
2,0.0989157854882749,1.117779674127126,0.3035263786891371,0.08279068395442685,0.9899780002270451,0.9944412576837626,0.002734094149184848
3,0.0803540525355024,1.09077705818525,0.2615303193731103,0.12324966201504275,1.0027527029173942,1.0003654397596775,0.0026293565433136543
4,0.04513568385957208,1.1873283229227074,0.21203308806610113,0.06137637054547833,1.0107793023402376,1.0035248846315534,0.0017082024773898018
5,0.08247604456180017,1.1014789572830699,0.2697307509076465,0.10478976602658018,1.0098959956647415,1.0022981795936503,0.0014970718566157336
6,0.033875823579553016,1.2349448553448008,0.18068632932171635,0.05115824368907102,1.0074334937841434,1.0020919586307444,0.0007131060728230978
7,0.07282400435124264,1.1547519276426472,0.2660271176431612,0.07923390294481097,1.0032046739164504,1.00064586298241,0.0006188977658049144
8,0.10854845606512278,1.1203373644715937,0.31968070739030524,0.07319429934567188,0.9983312341250172,1.0014973818950368,0.000656588822513236
9,0.11544578049127062,0.9702934856872729,0.2503425072865121,0.1270206394575381,0.9945442360092162,1.0011747878317667,0.0009326819070209465
10,0.09108200471938722,0.9938219897167617,0.22036946572898242,0.11104365933182928,0.99246024157125,1.001236121485776,0.0009931369354978083
11,0.05068579571886985,1.1744131673709048,0.22365934442898158,0.08112107131162058,0.9924213227515175,1.0007337522507207,0.0007607364478720468
12,0.06426977365172339,1.1464887355401046,0.24778896877367906,0.09116687811727094,0.9968736863249079,1.005845517550258,0.0006945181703231955
13,0.04458006978275959,1.175569333222321,0.20971237061016523,0.07443827495397179,0.9982875452981095,1.00256692131692,0.00039339166222998996
14,0.07892332507726615,1.0669089921085857,0.24739923361163363,0.09918594618447496,1.0014024202623513,1.0008123717583977,0.0003727904090027661
15,0.07747302059238743,1.0520779195380245,0.23577239194127897,0.08682869340640606,1.0047593932121144,1.0018769580404854,0.00034579024762134943
16,0.044863153366914994,1.155945836142389,0.20716935340168488,0.10520854421034995,1.007661043309568,1.0026793073123044,0.0003243024849540341
17,0.05276948891872668,1.141999692601077,0.2222664904250516,0.09956575206861476,1.008912665997828,1.0048978482013968,0.000306049448756892
18,0.02925268948614581,1.2113146848580434,0.17065514559247888,0.0723428704290067,1.005669621398642,1.0017547584157842,0.0001488675518807058
19,0.059820403996396224,1.0853157038832735,0.21602535490744723,0.08275580302356489,1.0032928093114752,1.001512280011977,9.622577186911293e-05
20,0.07207880322371352,1.105435832925815,0.25126741366403504,0.10125353568345288,1.0001217455237783,0.9994112148587302,0.0001108359865801015
21,0.09723649483328581,1.0779288502140059,0.28693885674621367,0.08993089406184052,0.9974188426532525,0.9985664265230495,0.00012217123871064058
22,0.10866866296959887,1.0232336411743281,0.27824513666157874,0.1026800831240845,0.9952346892117746,0.9971625084747382,0.00019612812920638236
23,0.1150468729404224,1.0648742589767353,0.31110394476281145,0.09468257773573774,0.9935414106437055,0.9955933582635611,0.00022426063535919903
24,0.05090809118778024,1.1634948751489786,0.2226516743742654,0.062131571727546936,0.9935457958722955,0.9977180037973268,0.00016989457276800815
25,0.06464551969239712,1.1238725329462655,0.24258629408465054,0.113108964146872,0.9954014029935714,0.9963303247768031,0.00020183746551279938
26,0.06901353885071858,1.0984384054966758,0.24227499575088826,0.10510516059151898,0.99807654975034,0.9975361717824722,0.000160780656800964
27,0.10103719646620096,1.0746507738318027,0.2921019518423044,0.08116887395293207,1.0014791876395397,0.9997288731080731,0.000121769515114987
28,0.1188595182754964,1.0577157547541212,0.314027826819286,0.10158776700310206,1.0027965971897692,0.9998579669131196,0.00012358134635439316
29,0.05794535881188762,1.143174175690888,0.23391270145196733,0.06140245958945943,1.0039030087669094,1.0016042103659917,0.00010326029203612744
30,0.057362989647224555,1.1465095433842176,0.23345424067955192,0.08521512722652755,1.0034645709969787,1.0007930862337495,8.782069934974287e-05
31,0.06539777632103076,1.1417816271832366,0.24901343712142318,0.09187774470740084,1.0023428161198769,1.0010855176850368,7.055205741482529e-05
32,0.04852709084173368,1.1156457534937623,0.20349693753960746,0.08539121855800837,1.0005919740317495,1.0002229345701301,4.4835009971008394e-05
33,0.06592608474648157,1.1180569194132801,0.24333297640919466,0.09595451353508105,0.9994369066756412,1.0000414308519565,4.788822822243651e-05
34,0.08841942249575588,1.1148509754908877,0.2849008479108,0.12023240069311171,0.9979935277172752,0.9996360544576983,5.7298060967000016e-05
35,0.13947641210068,1.0419427431076018,0.33836911245321066,0.10737041998794186,0.9974856190901795,0.9985313637731243,6.593819569157748e-05
36,0.07021019553122439,1.0831153995987506,0.23779713190336135,0.09403643473604195,0.9973357803741947,0.999719151940037,7.097787999948562e-05
37,0.057000647842634436,1.2202872604944481,0.23788328276723222,0.06462137294482842,0.9987850660844244,1.0008924924996245,6.186841498600977e-05
38,0.06496128114595946,1.172212018143084,0.25335472795468317,0.08521406362665006,0.9993004725398864,1.0001027098579132,4.910332876552733e-05
39,0.06847587950744169,1.1392113827189887,0.25451938386293044,0.08534506917482504,1.0009585204512848,1.0010090099164675,5.0675453870870146e-05
40,0.09034757549960537,1.0413580422547624,0.2553035910107756,0.09875763200572311,1.0012836906265712,1.0000748575020326,3.811593662518876e-05
41,0.14616536427932036,1.0271745293193741,0.3410223553088443,0.13506159104221882,1.0018841574644415,1.0009825583825873,4.74142948838231e-05
42,0.05420403693024195,1.2178383730345297,0.2321324512817377,0.06101794529296219,1.0027166416600706,1.0014046203546432,3.544396545731367e-05
43,0.0666249889222714,1.1466096843268092,0.25253553497906217,0.09272403136925375,1.0012417260664779,1.0011790304260006,2.6668742730437882e-05
44,0.0881929197777832,1.1316521873781893,0.2890005264087201,0.07418991855054374,1.0007680667699468,1.0001474530286816,1.920230797435225e-05
45,0.17690770516675725,0.9853554227567582,0.36171140842813665,0.13711454033886158,0.9994964601413125,0.9997785276468989,2.6763976104344868e-05
46,0.045860732135783344,1.261833802314631,0.20502958203927307,0.0553699289921913,0.9985142890785148,0.9995203658914289,1.8351589946084606e-05
47,0.043925493973037535,1.2063123283924124,0.20948849400142294,0.05781529108926721,0.998196885130796,0.9993320188774806,2.193643196595327e-05
48,0.10545266979213766,1.092092971734346,0.30628165367676247,0.10447199636248888,0.9985641685605497,0.9992243270720256,2.9166404079313065e-05
49,0.06686982055233315,1.1146418211563507,0.24409755807164008,0.06753430243595684,0.9987921546860085,1.0000395395205155,1.8400029104585333e-05
50,0.13437675779508018,0.9991690077306505,0.30666490488927883,0.13690180973722244,0.9996285781967851,0.9997369477761908,3.064484382642948e-05
51,0.05535151423590155,1.1389375120229936,0.22720635190803365,0.05917083757082374,1.0003929712261368,0.9994756797096549,1.6045060227250284e-05
52,0.025111112648812682,1.1689918421146472,0.15540087921575746,0.08588044909514156,1.0003838476590428,1.0000715700039402,1.7353233927757856e-05
53,0.030702397404344432,1.2081822081859843,0.1750294045156436,0.06244186015148981,1.0004624148825725,0.9997123921931669,1.564284448366736e-05
54,0.03419145972482094,1.1683847488497672,0.1821861711239681,0.08544366357519873,1.0005078556226437,0.9997838817535731,1.346707168505788e-05
55,0.07430981741096146,1.1183682369549106,0.260088295895852,0.08766490985145738,1.0008983619289542,0.9995654190225876,1.5101110362050956e-05
56,0.08198697413430273,1.208982185629098,0.2861925480506445,0.08039610125834377,1.000250656414323,0.9995397707634944,1.1991590670046045e-05
57,0.10812922698164834,1.023892425455855,0.2776962684941877,0.09497264220469029,0.9995170866994659,1.0004610972080394,1.3163423079660795e-05
58,0.08339079802898905,1.028198190685236,0.2321093813743586,0.12478156901634109,0.9993193559491059,1.0010227684740869,1.714231750492407e-05
59,0.08777440841844875,1.0900231116118055,0.27509877600524757,0.08143604009660464,0.999290952343638,1.000764246237563,1.5587931395445366e-05
60,0.04297068964287326,1.1932670821038758,0.2071839879094856,0.07261711830391897,0.9995402952653829,1.000754943427026,1.5261339942185914e-05
61,0.07062410274491764,1.0942223812313072,0.24379306072484958,0.10360983389886855,1.0001510585583775,1.0002398953471965,1.4165495255790845e-05
