iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,center_resid_l2,loss
1,0.004495279811223621,1.1850219015386765,0.2150610572007662,0.00020226540305179347,0.04647560175782835,0.06952439655052967,0.3829365079365079,0.06967948534179524,0.05056268582534132,0.9794752535987358,0.0,-5.940528745123732
2,-0.12022796918959505,1.117528995362768,0.3037267522222424,-8.403397844543368e-05,0.09905140662134576,0.0831326251471175,0.4055059523809524,0.08085275269155259,0.05706749914700415,0.9843071149457883,0.0,1.0278101109939106
3,-0.13825729365574718,1.0904585742877109,0.2621660700714031,-0.00022828143417453334,0.08073037224376478,0.12405776869275273,0.41121031746031744,0.10675424475169239,0.06288700197995795,0.9833048912979288,0.0,-2.4881246782933357
4,-0.006536965293464491,1.1875603453345143,0.21159301108102604,0.00015233881767090182,0.04492634734653175,0.061821802254197936,0.3655753968253968,0.06781661153023535,0.054935078668539285,0.9861923020431034,0.0,0.518934357185716
5,-0.11860982269377121,1.101929746175811,0.26961267027881664,-0.00014405180965776381,0.08230876666001474,0.10565172939923552,0.4161706349206349,0.09436274530423616,0.05752008566244228,0.9804558460709565,0.0,-3.9355866872638954
6,0.05121441638685824,1.2354064470878272,0.1806107436055414,0.00033765187931741257,0.033873857201129724,0.05163880482648083,0.34995039682539686,0.06165445307986793,0.05532090533325003,0.983474819643253,0.0,-0.24546418938472275
7,-0.05220564616231499,1.1547249709095129,0.26630549435888173,8.239205723237251e-05,0.07296844458487287,0.07985387751851507,0.37202380952380953,0.07594226066423246,0.053627949330076266,0.982231846585431,0.0,1.0197218231098046
8,-0.13251503945802431,1.1204103861653845,0.3199262823440469,-9.455439163967547e-05,0.10868733276482608,0.07375570247012737,0.33482142857142855,0.07338312381156877,0.05614443297355315,0.9833682628224025,0.0,7.079261034468278
9,-0.31723022179645466,0.9696647340418314,0.25059805366107557,-0.0007991131053718853,0.11585371924273952,0.12847732965742,0.40327380952380953,0.11365122372239869,0.06996926011534915,0.9902000698157388,0.0,2.0543980924371077
10,-0.269804597611605,0.9950327882406842,0.2208294402949578,-0.0007104261825961607,0.09077719959737252,0.11202601386736497,0.3784722222222222,0.10718045289617392,0.07201381783191178,0.9927673907312602,0.0,-7.228696599743489
