iter,loss,mean_terminal,std_terminal,avg_turnover,mean_utility,mean_lower_gap,mean_upper_gap,lr
1,-0.08863952564354266,1.097810652872285,0.1051722691425773,0.011090450285880035,0.08865061609382854,0.689359519006322,0.7477431104502837,0.001
2,-0.06167016797157191,1.0726490670603188,0.136956344773261,0.016379309284671854,0.06168654728085658,0.6704722282205492,0.7386289212987567,0.001
3,-0.09637688127777524,1.1107554026156838,0.14581090327805715,0.018900205745435307,0.09639578148352068,0.6567895566127656,0.7283290450629796,0.001
4,-0.08528246724701846,1.0978836336203368,0.13683698833294944,0.01077472820838929,0.08529324197522684,0.6358932239070856,0.7309095006827349,0.001
5,-0.0646661097640775,1.0788833633596548,0.1597524859214201,0.0184510239537947,0.0646845607880313,0.6223672578087882,0.7219327717247175,0.001
6,-0.07286690368485207,1.089404023366514,0.16671511406703157,0.019006257882209384,0.07288590994273429,0.610447522580009,0.7136246401019556,0.001
7,-0.10030501167913627,1.118417253883743,0.16875116512292496,0.016776975146139517,0.1003217886542824,0.5969326492126951,0.710390587997806,0.001
8,-0.0820086996726118,1.1055849339612378,0.204342274060384,0.022195131661119423,0.08203089480427292,0.5837721553258585,0.7048687616055981,0.001
9,0.002524618372043529,1.0141238260531702,0.18033407001986537,0.03284034193363152,-0.0024917780301098973,0.5737433749949715,0.6961986049598547,0.001
10,-0.05312356270773282,1.0767311768746874,0.21857753212228712,0.027852056250315366,0.05315141476398315,0.5689935944224571,0.6881867858656643,0.001
11,-0.07691941818447014,1.0917194373570545,0.15842780660951755,0.028369810232011506,0.07694778799470214,0.5535277730330719,0.6890440148821918,0.001
12,-0.08701093964774437,1.1069753784127894,0.18487818877778825,0.02353491562729279,0.08703447456337166,0.5502015771088808,0.6797783633908161,0.001
13,-0.10359646887815041,1.1269720412198818,0.19826260241488078,0.02377631808027386,0.10362024519623067,0.5348443257388702,0.6821932181192318,0.001
14,-0.07893963678105251,1.096797514071413,0.17306479972313504,0.022228564829210356,0.07896186534588172,0.5243716041026949,0.6775468283862207,0.001
15,-0.010774652678641729,1.0313637552568502,0.20208383785203948,0.03316370534745769,0.010807816383989192,0.5165288252320147,0.6702421917622471,0.001
16,-0.07101031805628027,1.0920592862774252,0.19499309891867678,0.03353877248739919,0.07104385682876768,0.5115639542082981,0.6636846257122166,0.001
17,-0.08926364726566602,1.1104032666738122,0.19352393550337527,0.03569219257281978,0.08929933945823883,0.5185890682574414,0.6386805935979156,0.001
18,-0.06766911049725635,1.0869307791213951,0.1916631829795955,0.027483797047541184,0.06769659429430389,0.4959231305135466,0.6577648042403281,0.001
19,-0.06383592809318019,1.0834085205570865,0.18818891348299888,0.03205760896038878,0.06386798570214058,0.5032234211452719,0.6361620097473017,0.001
20,-0.11516285185719805,1.1384674313644099,0.18745128726384966,0.028657643162784935,0.11519150950036083,0.49707836055567595,0.637066103811986,0.001
21,-0.08718593173914418,1.1104295564689126,0.20385570399795439,0.028344331995727366,0.08721427607113992,0.48446884903421106,0.6374056016241603,0.001
22,-0.034316025001444955,1.06118600169701,0.23517203098741624,0.04013569901811725,0.03435616070046307,0.48710934894055274,0.6203223061763503,0.001
23,-0.0893401120994047,1.1168455491233034,0.22631341060313281,0.0345966654756084,0.08937470876488032,0.48797438688419004,0.6095404760220409,0.001
24,-0.13302529943796879,1.1632919430183681,0.21014798513464295,0.02901174110344206,0.13305431117907224,0.4732446916466853,0.6211242902687456,0.001
25,-0.103658908716791,1.1304979153287844,0.21438722057624254,0.04225672225050562,0.10370116543904151,0.4761136404978047,0.602979024314762,0.001
26,-0.09165238706188465,1.1203883185895527,0.23055378019652048,0.04683368972008578,0.09169922075160472,0.47364542633854123,0.5961496851075975,0.001
27,-0.060943069631112616,1.0921191559409384,0.24535876504988918,0.03455698470150254,0.06097762661581413,0.4587934025242917,0.6022664067465443,0.001
28,-0.11618549811352025,1.1540760786348456,0.25355863006464696,0.03747859208646566,0.11622297670560672,0.4630560418106596,0.588496820352617,0.001
29,-0.11228580144583458,1.1430775414699266,0.23039602284258734,0.030624732551411172,0.112316426178386,0.4495973492454759,0.5897821137191342,0.001
30,-0.11711231122620296,1.150398498557424,0.2382090061963048,0.03985680989801625,0.11715216803610097,0.4531259503968726,0.580066642617272,0.001
31,-0.09726555431211398,1.1212343408632892,0.2015281315815008,0.04592022342522588,0.09731147453553919,0.4492025649904056,0.5731331844839633,0.001
32,-0.06410792362994265,1.0912001787862629,0.23342608948965596,0.04480298139650301,0.06415272661133915,0.4373507693330738,0.5884213529981199,0.001
33,-0.12743513330597772,1.158307684270099,0.22373804566893243,0.04080264623938266,0.12747593595221712,0.4520058475638237,0.5585870640631894,0.001
34,-0.13134700045962303,1.1669152228312245,0.23942845243749755,0.043709397871784836,0.13139070985749482,0.44203884502157587,0.562920980969,0.001
35,-0.05507128855377978,1.0953242543446242,0.2801090870054768,0.05538768084285009,0.05512667623462264,0.4415670270283818,0.56278341334794,0.001
36,-0.13703369102873422,1.1672582548510977,0.21041837352952336,0.0359829748941861,0.1370696740036284,0.4373787217715171,0.5645732838425219,0.001
37,-0.16744795962499026,1.2120634755123474,0.24739700999334183,0.03778557088331347,0.16748574519587356,0.4452691086968178,0.5568844353202921,0.001
38,-0.1320864092099362,1.1694572451008538,0.24303300717680137,0.04657121707116795,0.13213298042700738,0.43355777462201883,0.5754328765570146,0.001
39,-0.1222235589257846,1.1487498474620579,0.2012201137143641,0.03784471474274134,0.12226140364052734,0.42254263751912013,0.5815221555645356,0.001
40,-0.07981142587819512,1.1177837384571236,0.2641825535088781,0.04384102238535037,0.07985526690058047,0.42432300129579303,0.5814742785002885,0.001
41,-0.07379104759012507,1.1147054624588653,0.26494258181499947,0.058152023601391364,0.07384919961372644,0.4259350186671549,0.5782877611013572,0.001
42,-0.11374941845383496,1.1592996122479318,0.26818766891796453,0.044749069936194485,0.11379416752377114,0.4228286991373293,0.5945418412367548,0.001
43,-0.13255032735335304,1.1621864779708133,0.20551787281224715,0.03943976715291035,0.13258976712050596,0.4131396321074355,0.608835144720657,0.001
