iter,loss,mean_terminal,std_terminal,avg_turnover,mean_utility,mean_lower_gap,mean_upper_gap,lr
1,-0.05990155933216174,1.0679941632938474,0.11483437416577917,0.01097427871634093,0.059907046471519926,0.6891915722502471,0.7514769646934611,0.0005
2,-0.06052104405561926,1.0707474502798415,0.13329702280635788,0.012111702360506373,0.06052709990679952,0.6788018983609572,0.7471649503462156,0.0005
3,-0.06980516326734741,1.0806118915111291,0.13443543205167172,0.014097850495025018,0.06981221219259492,0.6697517693692683,0.7409600109651786,0.0005
4,-0.07204011885040879,1.0841723574152442,0.14280585851307337,0.013085715000679968,0.07204666170790913,0.6599269752841965,0.7397200263884514,0.0005
5,-0.06367460439326915,1.0747214920057515,0.13912220735525258,0.014468393542843678,0.06368183859004058,0.651826034522395,0.7345998048428357,0.0005
6,-0.05037364556907753,1.061515164055332,0.14183030605589747,0.016197560825165276,0.05038174434949011,0.6445808267384525,0.7295291182652701,0.0005
7,-0.08475386852626096,1.0971071608755514,0.13632640105979416,0.014452485524729695,0.08476109476902333,0.6350930411222384,0.7288832951521087,0.0005
8,-0.07438462372491975,1.0889923912117219,0.15796145354751626,0.013764137552818669,0.07439150579369617,0.626927340150898,0.7271552029078259,0.0005
9,-0.06343028717746854,1.0789398975008868,0.17489193504612313,0.017011592182757503,0.06343879297355993,0.6212474527044776,0.7212412049105292,0.0005
10,-0.07007292951383659,1.0837067639399032,0.15517051921192662,0.014419950073723615,0.07008013948887346,0.6109391136531596,0.7218340876151018,0.0005
11,-0.0747871984674475,1.0904642873149206,0.1666572586533343,0.020956599425962348,0.07479767676716048,0.6102287869836122,0.7099405398807798,0.0005
12,-0.06460795812455264,1.0779936773998504,0.15674234679152876,0.01882355699555397,0.06461736990305042,0.6007233255795823,0.7102432406501625,0.0005
13,-0.08347592982057929,1.100527173293007,0.17260559423592844,0.01882300507334076,0.08348534132311597,0.5948941945929835,0.7058749898391564,0.0005
14,-0.0723005772432493,1.0879228937115788,0.16651252039498288,0.016973398441194196,0.07230906394246991,0.5847629600218078,0.7079171149579597,0.0005
15,-0.06416618081863189,1.0820020128154662,0.18427406519009,0.019483675110064304,0.06417592265618692,0.5802463947506977,0.7023666207571803,0.0005
16,-0.06655427285517906,1.0811355679833219,0.16175289621685593,0.01820855032635285,0.06656337713034224,0.5720276745196742,0.7017747759842474,0.0005
17,-0.0782603560426097,1.0968448391106347,0.18734059154421498,0.021185228862937153,0.07827094865704115,0.5710980222357287,0.691917471030718,0.0005
18,-0.07182321089726154,1.0894633946700645,0.17908329477237997,0.02052804345695273,0.07183347491899,0.5616696193711637,0.6934885375069322,0.0005
19,-0.07208486073818347,1.0908042240228224,0.1894979673272311,0.019669597701414555,0.07209469553703417,0.5567189227588569,0.6885850155424735,0.0005
20,-0.074684387016619,1.0911410809927427,0.1708062079191505,0.020757109563071453,0.07469476557140053,0.5502565179974316,0.6872341914886451,0.0005
21,-0.0831452857306969,1.1031086355455826,0.19071665343127586,0.020296650820779444,0.08315543405610727,0.5437311863876331,0.6844030855074252,0.0005
22,-0.04961805808059535,1.070689200243766,0.20723827040951245,0.02429901867276108,0.04963020758993173,0.5415430902546383,0.6779763681634248,0.0005
23,-0.06992379174072913,1.0921167002170677,0.2076439999565215,0.023671546518228108,0.06993562751398827,0.5340397692330541,0.6768815614551198,0.0005
24,-0.08748908296314815,1.1055302387126897,0.17617840665912035,0.023098519909914864,0.08750063222310311,0.5270374854977722,0.6757603888903532,0.0005
25,-0.11509978265278527,1.1395474002205304,0.1990645459485389,0.022663882146676237,0.11511111459385862,0.5214057482269221,0.6707106762655546,0.0005
26,-0.1026333801410762,1.1330418910421387,0.2413177973051795,0.023471444517392543,0.10264511586333488,0.5155575749900397,0.6677209232722888,0.0005
27,-0.09848818568079348,1.1265988842985184,0.23009392809141363,0.022006925348215776,0.09849918914346759,0.5081918536259393,0.6659027611401447,0.0005
28,-0.11770996422870808,1.1534353719068684,0.2618015680599481,0.025602550373097135,0.11772276550389463,0.5050357856860486,0.6579451452182956,0.0005
29,-0.13881332725638065,1.1728768440091837,0.24863171872208115,0.022597150045277944,0.1388246258314033,0.4938545438521512,0.6589506048324787,0.0005
30,-0.09579940237803902,1.1250907753454462,0.23383824484154253,0.027237086111867613,0.09581302092109495,0.4904047227435465,0.6526395663202441,0.0005
31,-0.0962434203967337,1.121399756525352,0.21541469830693677,0.02803140703289988,0.09625743610025014,0.48599023999658675,0.646759536965679,0.0005
32,-0.09172329577901964,1.1191247218258895,0.22968597915232297,0.029468033697402623,0.09173802979586833,0.4754421763785844,0.6482944370251855,0.0005
33,-0.10853749408246124,1.1445823574375518,0.2612691627907623,0.026682605819739004,0.10855083538537108,0.46641631078519263,0.6454767027825762,0.0005
34,-0.12324957143304298,1.1573488957216065,0.2499732990267473,0.03176074213763917,0.12326545180411179,0.46814527003230455,0.6314125574174143,0.0005
35,-0.07981929143955971,1.111922642716599,0.2639436130629523,0.0319913483115145,0.07983528711371546,0.45555327690895064,0.6374779812978667,0.0005
36,-0.11112115514632113,1.1474597602783891,0.2664465754432255,0.027891422246089134,0.11113510085744417,0.4488130013697491,0.6312031005651462,0.0005
37,-0.11310353797434905,1.1481487884245933,0.25192434991250595,0.02983012174828275,0.1131184530352232,0.4432256680518817,0.6267005428487673,0.0005
38,-0.08358918407937356,1.1177936544627212,0.2562291343497517,0.03169566459179274,0.08360503191166946,0.4317449706663503,0.6325315842678788,0.0005
39,-0.097184939091215,1.1314675622951573,0.26472485071415824,0.03212080712737131,0.09720099949477869,0.429704867435102,0.6199858959232667,0.0005
40,-0.12396232066737117,1.1725290548657328,0.30409323824447987,0.03264353327784885,0.12397864243401009,0.4221135111564406,0.6163981410874353,0.0005
41,-0.10001853574450276,1.1418073682468195,0.2893804836712439,0.0336377416157506,0.10003535461531063,0.4146171497941095,0.6174473998851797,0.0005
42,-0.08538095637704271,1.1264078711634309,0.2910490934825554,0.035621291595345224,0.08539876702284038,0.408827105915745,0.6135441657762193,0.0005
43,-0.09555385000609457,1.1310649717769334,0.26690548288984733,0.030688534733908708,0.09556919427346149,0.4008971600725645,0.6119131980301689,0.0005
44,-0.13530416004203538,1.1915829502509008,0.33860973909346603,0.03374396782598249,0.13532103202594836,0.3968269176461098,0.6009042650216789,0.0005
45,-0.16105994486004763,1.217520087616873,0.3240877541987759,0.035886251200137304,0.1610778879856477,0.3915499654253448,0.5965703785885432,0.0005
46,-0.11370333081825665,1.1551401598775848,0.28268779150720397,0.03664099000542725,0.11372165131325937,0.38467400236897087,0.5960852946232249,0.0005
47,-0.08782793651877355,1.1307943970501062,0.30601366586814127,0.041041062125878915,0.08784845704983649,0.37993502665093815,0.5912859102811889,0.0005
48,-0.1497855574832809,1.1970683435654819,0.29762671426690923,0.034360985702627474,0.1498027379761322,0.364003318891439,0.5952387081481013,0.0005
49,-0.10840470871138869,1.1569380346463374,0.3386774784209204,0.03626430774307074,0.10842284086526022,0.3658062491713895,0.5840037331991472,0.0005
50,-0.1250155790562425,1.185400439215888,0.3717615923019107,0.0428459190133512,0.1250370020157492,0.36188559014162147,0.5762625608473217,0.0005
51,-0.13790398347293836,1.1910026728364933,0.31406155965115545,0.03782215701499246,0.13792289455144585,0.3486397970135162,0.5796172520061679,0.0005
52,-0.14454344719015294,1.1953740084009556,0.31620055417813653,0.03758262954098532,0.14456223850492342,0.3420538570549332,0.5742089248414675,0.0005
53,-0.08768205424092301,1.1321782031532468,0.3030993369233473,0.041203456076816636,0.08770265596896143,0.3401952892231853,0.5676236549247147,0.0005
54,-0.1262549762586503,1.1850601337892535,0.3615769313437715,0.039486863919427705,0.12627471969061002,0.32594841900668403,0.572052579122849,0.0005
55,-0.13073171479376025,1.1910996143369652,0.36071097441943906,0.0469471059717942,0.13075518834674615,0.3340262737730362,0.5497433885439079,0.0005
56,-0.1725027675575088,1.2494728889348594,0.40515302529545044,0.03971548283267351,0.17252262529892515,0.31498381722457536,0.5556764312406363,0.0005
57,-0.10179875469631225,1.1541091452352605,0.34106553211881263,0.04150835067759175,0.10181950887165106,0.30600496701454727,0.5632997911679978,0.0005
58,-0.07606517195277361,1.1319109520973207,0.3559700224159363,0.04675598901961285,0.07608854994728341,0.3123967733014353,0.5466837084946838,0.0005
