iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,lr_theta,lr_phi,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.6678923694900252,0.6678923694900252,,,0.0,8.846214640092054,-4.241373964344721,2.607411629541983,1.5112421449356375,1.039170023233171,2.999974176266588,-1.985703402705088,32,0.0003,0.0001,1.091009090888157,-3.363736363585192,0.6470717527508294,-1.3300452069448452
2,0.0,0.6799811652789827,0.6920699610679402,,,0.0,10.378293947009976,-4.293060159772903,2.6038685151861456,1.1792657380026468,1.085895945669325,2.9999805235483707,-1.9928657373188001,32,0.0003,0.0001,1.0911071411263862,-3.3638360098337943,0.6471709865429061,-1.330145284472462
3,0.0,0.6523633875341863,0.5971278320445936,,,0.0,15.684828485135943,-5.0283014487942825,2.6576691464343742,1.1647226256138676,0.9855613955270097,2.999988653650296,-1.9960103329033956,32,0.0003,0.0001,1.091205559787273,-3.363936043026856,0.647270505193077,-1.3302454614572776
4,0.0,0.6815249764297819,0.769009743116569,,,0.0,4.590404748652329,-3.465542078171433,2.5585431451529184,1.692543515719232,1.1179888209024949,2.999944995506862,-1.9964950540837956,32,0.0003,0.0001,1.0913038103101984,-3.364029353723424,0.6473705955893999,-1.3303366645570658
5,0.0,0.6852822719640731,0.7003114541012377,,,0.0,7.70630435318996,-4.14029120533964,2.6005319793822816,1.4446842280747734,1.053292225458863,2.9999154916152797,-1.991990387489486,32,0.0003,0.0001,1.091402996034919,-3.364122739020737,0.6474709307279632,-1.3304297380637498
6,0.0,0.6961915980051017,0.7507382282102449,,,0.0,9.720574574554263,-3.9823991042094327,2.5928792175132642,1.410537721964734,1.1076240923211664,2.99995634593588,-1.9970381145881182,32,0.0003,0.0001,1.091502220869083,-3.364217551948095,0.6475701324037513,-1.330525091745414
7,0.0,0.702631976161937,0.7412742451029483,,,0.0,6.95438248389391,-3.8284444763169887,2.5858628222595117,1.7376775387244212,1.0848942085161193,2.999906587413272,-1.9790642372790632,32,0.0003,0.0001,1.0916012846551728,-3.3643110456884413,0.6476700977752606,-1.3306189067503786
8,0.0,0.7035602648956312,0.7100582860314908,,,0.0,7.689088765982458,-3.811013153500676,2.5969893414166685,1.512917726211605,1.0975190032421633,2.9999510729045182,-1.9968044095356352,32,0.0003,0.0001,1.091700590511485,-3.36440512876607,0.6477697797484601,-1.330705496571497
9,0.0,0.7093724055126774,0.7558695304490483,,,0.0,5.117062194898119,-3.5523067611756556,2.5910851051530512,1.1911009511857888,1.085080580552349,2.9999929879591223,-1.9945339467757393,32,0.0003,0.0001,1.0917981607449823,-3.3645011325516494,0.6478685232655129,-1.3307960415799216
10,0.0038874223397784703,0.7112577660221531,0.728226010607433,0.7112577660221531,-0.388742233977847,0.0038874223397784703,7.399335199451631,-3.86915046117839,2.59590800913858,1.3349783843938545,1.0846371396522363,2.999956418604169,-1.9945654876977792,32,0.0003,0.0001,1.0918963331726121,-3.364597128713857,0.647967612682248,-1.3308863810126814
11,0.0038874223397784703,0.7233153086620026,0.788467795888519,0.7112577660221531,-0.388742233977847,0.0,5.993518672897078,-3.305852762973447,2.5786792406667702,1.4744562413848183,1.1120678312876886,2.9999767412922864,-1.9972735522475062,32,0.0003,0.0001,1.0919944717738672,-3.3646930796093097,0.6480659938722688,-1.3309792432711949
12,0.0038874223397784703,0.7266019581526683,0.7249364559745974,0.7112577660221531,-0.388742233977847,0.0,7.698219808047167,-3.595057344852651,2.5904334924236894,1.5517677497876243,1.0546321582075786,2.9999612604517294,-1.99277676734718,32,0.0003,0.0001,1.0920936349893993,-3.364787827502152,0.6481650750429275,-1.3310700222354823
13,0.0038874223397784703,0.7423888105472654,0.7549963559905652,0.7112577660221531,-0.388742233977847,0.0,5.257492407672739,-3.099394998610035,2.5780204468969643,1.6989904744007114,1.1327929877922185,2.99990615399057,-1.9929032325071374,32,0.0003,0.0001,1.0921928065386828,-3.364880838903277,0.6482651293675489,-1.331159281932194
14,0.0038874223397784703,0.7426441700759397,0.7715633384033129,0.7112577660221531,-0.388742233977847,0.0,4.811360908909223,-3.1020680945246193,2.56803853489543,1.6418979632193835,1.1129294492911315,2.9999643090847066,-1.9961470845810976,32,0.0003,0.0001,1.0922927005625218,-3.364971853737978,0.6483666168909882,-1.3312454628061894
15,0.0038874223397784703,0.7563210268607934,0.8370800219497745,0.7112577660221531,-0.388742233977847,0.0,5.507064949151584,-3.1720586316146164,2.5797880716590504,1.3802286837352185,1.1520691519204858,2.9999033327232913,-1.9735207597283888,32,0.0003,0.0001,1.0923912598163048,-3.3650635120617314,0.6484675340407607,-1.3313320452459911
16,0.0038874223397784703,0.754802380040199,0.7355517600043006,0.7112577660221531,-0.388742233977847,0.0,4.580383424187506,-2.761844786898897,2.572120464040278,1.4363959591916273,1.1475895133008447,2.9999475750054616,-1.9968213893031055,32,0.0003,0.0001,1.0924893096331563,-3.365154696190161,0.6485679348494521,-1.3314192209220235
17,0.0038874223397784703,0.7431329493322872,0.6245799380238308,0.7112577660221531,-0.388742233977847,0.0,17.23193963797904,-5.049049616533601,2.6285772794399263,1.074316113930947,1.0046885610674368,2.9999629697237022,-1.998124367949584,32,0.0003,0.0001,1.092585211662933,-3.3652489498732785,0.648667245375267,-1.3315111245431464
18,0.0038874223397784703,0.7474215155637565,0.7529439483461826,0.7112577660221531,-0.388742233977847,0.0,5.128859493041025,-3.062904510853156,2.564390111845518,1.6847898441131908,1.092448874854525,2.9999435178984446,-1.983983220075765,32,0.0003,0.0001,1.092682553503649,-3.365340964832457,0.648766988905877,-1.3316021150932242
19,0.0038874223397784703,0.7467115884320138,0.748770259131622,0.7112577660221531,-0.388742233977847,0.0,9.004469701349798,-3.5647221064398154,2.600517142759635,1.3098333543674545,1.0853981618582091,2.9999378863095174,-1.9717639915675371,32,0.0003,0.0001,1.0927790456058812,-3.365433807454261,0.6488652878455503,-1.331696984476011
20,0.00761488577045165,0.7512474932984757,0.7735850592720523,0.7512474932984757,-0.34875250670152436,0.0037274634306731793,7.661617131225742,-3.2760413974645353,2.579989496776774,1.642076937703529,1.1346226734020672,2.9997672473844315,-1.989867324893462,32,0.0003,0.0001,1.0928761123786137,-3.3655252697450737,0.6489635620422248,-1.3317858977469252
21,0.00761488577045165,0.7504726319953586,0.7807191828573471,0.7512474932984757,-0.34875250670152436,0.0,5.652435495258881,-3.0885572907785512,2.565564797362482,1.6802894764016076,1.1288835589155923,2.9999461764235837,-1.9907620612493808,32,0.0003,0.0001,1.0929737582137964,-3.365616072088922,0.6490621858051168,-1.331868072220375
22,0.00761488577045165,0.7482942753802607,0.7031528898236195,0.7512474932984757,-0.34875250670152436,0.0,6.700091630548215,-3.806721706427996,2.5952544958092223,1.2302134298282046,1.0136821751305087,2.9999858179747534,-1.9950969425303713,32,0.0003,0.0001,1.0930704330852348,-3.3657088580001244,0.649159103675278,-1.331953062693187
23,0.00761488577045165,0.738869954273512,0.6607531449230772,0.7512474932984757,-0.34875250670152436,0.0,8.250496927564864,-3.6347529102851523,2.5953070482637397,1.377276027384816,1.05746509338897,2.9999583848858524,-1.9864878579140368,32,0.0003,0.0001,1.093165198281797,-3.3658025300172114,0.649253281552943,-1.3320416234418457
