iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.4566643848317137,0.4566643848317137,,,0.0,9.671197110484611,0.7456701858949821,5.78301354210036,2.233024996001247,1.7271328337691942,7.9651502131471235,-6.581877058525473,16,1.0904090911233932,-3.3641363631685963,0.6464717539858464,-1.330445206180995
2,0.0,0.4548008328384613,0.45293728084520885,,,0.0,3.139790020999058,-0.5035418204362578,5.447303667428754,2.231993827049963,2.110426500514981,7.977443870309031,-6.814703291645215,16,1.089913552085313,-3.3646370324549895,0.6460459381564256,-1.3309447516573094
3,0.0,0.41060952372322296,0.32222690549274624,,,0.0,17.777192100746383,1.8863744006191694,6.094512679276848,1.2359337750059052,1.5347249116263386,7.988464783560824,-6.854587560764727,16,1.0895162093390605,-3.3651032508348786,0.6457964877980316,-1.331371251630999
4,0.0,0.4349876468712911,0.5081220163154955,,,0.0,2.749441315067394,-0.5436272624430228,5.441118663046735,2.5111826203981655,1.9605006359773514,7.963710522025098,-6.599674017419881,16,1.0893056049203051,-3.365497399651722,0.6457797835185681,-1.3317469217396736
5,0.0,0.4519565704702975,0.519832264866323,,,0.0,6.918093129323938,0.5442191916826954,5.864601712391864,1.6664784754054733,1.7778978387025808,7.984020199907923,-6.910872854646368,16,1.0890815841332433,-3.3658455555537365,0.6457296465025919,-1.3319679504447348
6,0.0,0.4688758100175161,0.5534720077536089,,,0.0,11.029107003690486,1.415390979122746,5.614137851816576,2.5067192779770924,2.046358476782093,7.922952999725984,-6.684049163855507,16,1.0888088243814709,-3.3661304194317765,0.6455071239969385,-1.3322808721044945
7,0.0,0.48387954542752576,0.5739019578875837,,,0.0,9.250267224958455,1.034668077639312,5.671085397545773,2.294456830273803,2.1802575334267367,7.921251025035293,-6.387916635620234,16,1.0884681082917962,-3.3664421598127494,0.6454830972335772,-1.3325723173908022
8,0.0,0.4967602695691426,0.5869253385604609,,,0.0,2.460717800216623,-0.72588762440628,5.476379219589678,1.9623382233772295,2.1445244171826086,7.965363816055961,-6.759100216788292,16,1.08819423390136,-3.3667585747680473,0.6455294914577255,-1.3328779643157538
9,0.0,0.4908030229417176,0.44314504992231774,,,0.0,3.136458361663751,-0.03278926951666106,5.751460568953517,1.2530089363906942,1.9216866134233197,7.987410146662184,-6.886635314835313,16,1.0878758829168185,-3.36708779607064,0.6454808910792684,-1.3332401315763294
10,0.0,0.5022093219029189,0.6048660125537311,,,0.0,4.187210962847487,0.3288439716605866,5.570172825350658,1.1471813559640456,2.1730347598944584,7.951841091748976,-6.851448435924579,16,1.0875100221837495,-3.367463347608066,0.6455103375905764,-1.3335541429848101
11,0.0,0.5117969708086005,0.607673459865416,,,0.0,5.662271941986232,0.7256629413800784,5.845939929149958,1.9545618058346848,1.9875202752493484,7.967020728721007,-6.753243902091859,16,1.0871637553869171,-3.367828228416144,0.6455038704797007,-1.3338976091488248
12,0.0,0.5291685794369085,0.720256274348297,,,0.0,10.42519429885036,0.4726873641263819,5.771585623845193,1.739338499775772,2.0778890714064637,7.9761703816184735,-6.807388598609354,16,1.0867954705638727,-3.3681796429808695,0.6454454908621208,-1.3342478244375588
13,0.0,0.5340313316075521,0.5923843576552754,,,0.0,9.192392778515162,1.284516768206812,5.91114694770986,1.6752868963838838,1.9407900565101495,7.975181275090746,-6.912767048078216,16,1.0865286042218048,-3.3685485920406566,0.6454841997408981,-1.3344867562307117
14,0.0,0.5536166279856763,0.8082254809012918,,,0.0,6.254046765461282,0.5104949142346443,5.669929034399832,1.782124537723583,2.2479431508978722,7.93973796015916,-6.840695463307224,16,1.0862485550203074,-3.36889863900134,0.6455742333475462,-1.3347296811297198
15,0.0,0.5832701081064836,0.9984188297977843,,,0.0,5.813546716652542,0.7094896407942024,5.536329699852891,1.553469490449021,2.4491723269806505,7.936222662268787,-6.885032513984829,16,1.0860109025566935,-3.3692376448447092,0.6455841840369458,-1.3350360065406761
16,0.0,0.5782174784497851,0.502428033599307,,,0.0,8.649431094620182,0.8243679273222269,5.955800248127405,1.3604369178927749,2.0117597615059237,7.97750442896832,-6.845352687573012,16,1.0857698827904867,-3.369542084407741,0.6455667437748701,-1.3354012796464632
17,0.0,0.5660761652655131,0.37181515431715895,,,0.0,15.641342374082008,1.6950848839775128,6.188793724116423,0.49079328735964056,1.7022774708171982,7.9937008230363436,-6.9831924373284435,16,1.0856233694013342,-3.369762550832619,0.645519393809121,-1.335759927693257
18,0.0,0.5627106649881656,0.5054971602732587,,,0.0,5.556894447784037,0.607826858152434,5.780403121210632,1.6455779025279487,2.0564762675969783,7.984813359991723,-6.823718593516947,16,1.0854229369913435,-3.3700298222841667,0.6454323925111283,-1.3361135811269909
19,0.0,0.5701853667643687,0.7047299987360235,,,0.0,7.1219158906807944,1.1148701848501497,5.813348751231508,1.2948868997009355,2.0477796838589213,7.969027172561777,-6.8470889540153514,16,1.0853483082628355,-3.3702035769575356,0.6453159893600141,-1.3364981730860956
20,0.0031221883688720767,0.5755623262255847,0.6777245559886874,0.5755623262255847,-0.6244376737744153,0.0031221883688720767,4.393459946456897,0.8737788844917919,5.711805927202042,1.3212761038146337,2.217136164095722,7.933667961757051,-6.772891964152258,16,1.0852239142218132,-3.370388287984638,0.645149890307172,-1.3368420002864154
21,0.0031221883688720767,0.5799433243263572,0.5442843468471685,0.5755623262255847,-0.6244376737744153,0.0,6.510347755661112,0.6975312489674275,5.742582642557316,1.4486401517963443,2.137286643316128,7.9627774535716025,-6.904048509153808,16,1.0852012713569132,-3.370518149409471,0.6449771693162794,-1.337189894117571
22,0.0031221883688720767,0.5892513111414877,0.6390970171478153,0.5755623262255847,-0.6244376737744153,0.0,7.421291865688906,1.609248463427603,6.030203523297944,1.0749341832230859,1.9873969252430528,7.987488405882223,-6.924799613713901,16,1.0852487776575657,-3.370610994602723,0.6448109647702681,-1.337454246343931
23,0.0031221883688720767,0.6028180703127494,0.5935620889179825,0.5755623262255847,-0.6244376737744153,0.0,3.571248109263342,0.8219807353699544,5.936773273277209,1.2384424606436581,2.027880878049663,7.960981146304858,-6.909151957034505,16,1.0852828416367428,-3.3707021078796555,0.644640858943006,-1.3376977948073596
24,0.0031221883688720767,0.6015623770485579,0.48300815103166383,0.5755623262255847,-0.6244376737744153,0.0,3.0202572213121566,0.5575290607368011,6.028762060960191,1.8449067565281705,1.9308519216247177,7.994748879999037,-6.941389648880294,16,1.0853587520688956,-3.370765890499584,0.6444969208175906,-1.3378760356127282
25,0.0031221883688720767,0.6040585459785606,0.5697556434663793,0.5755623262255847,-0.6244376737744153,0.0,4.513340145075422,0.8729233283466353,6.121897071086116,0.9222377938006967,1.8418038898669988,7.995604665404761,-6.924278208538629,16,1.085469713293169,-3.3708469374142505,0.6443102337743435,-1.338070925072963
26,0.0031221883688720767,0.6068541794027065,0.6093846762365284,0.5755623262255847,-0.6244376737744153,0.0,7.223032667706557,0.7120671719893179,5.762791941651507,1.443019421434594,2.2360264062586968,7.975213981229668,-6.886067015378225,16,1.0855802939440646,-3.3709820265737367,0.644125563992014,-1.3382224947374504
