iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,mean_terminal_center,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,mean_threshold,center_resid_l2,width_anchor_l2,actor_loss,critic_loss,loss
1,0.007673432621117752,1.1785589006729948,0.21032375563922695,3.0450129448879968e-05,0.04469580292653975,1.1743264015885149,0.1041494403724168,0.2875744047619047,0.06670931816598348,0.0526676768513416,0.9490246874558094,0.0526676768513416,0.0,0.005993881123135918,-0.005199993751345911,0.011450354227347758,0.0011122387102464309
2,0.01016438314421662,1.1063054392876115,0.30496268829006445,4.0334853746891356e-05,0.10178091195619046,1.1011173295801944,0.1291711237212004,0.2724454365079365,0.08155846088199076,0.05966218743217209,0.9548837028418067,0.05966218743217209,0.0,0.006389393840113269,0.028776766533521188,0.01198502887142707,0.03535663183087015
3,0.004477441263176923,1.1670277861974627,0.24311304879822274,1.7767624060225887e-05,0.060191121379007256,1.1657371661856921,0.12946843710014974,0.28348214285714285,0.08127537051882941,0.05784153298879579,0.9590764788579176,0.05784153298879579,0.0,0.0061049926886556395,0.006793465374559883,0.009971448878250279,0.012366156275168986
4,0.010413093198359761,1.1546514234016731,0.24572422013122144,4.132179840618953e-05,0.06243688575859128,1.1488044902121135,0.07568011314678443,0.24032738095238093,0.05315475775774135,0.05125399185625422,0.9427403751836796,0.05125399185625422,0.0,0.005978638502098663,-0.0053423380830319315,0.0037783725458751466,-0.0028664117017969614
5,0.010298158201682096,1.1001270093408357,0.2806874034843531,4.086570714953214e-05,0.08876003273799354,1.0947858880819041,0.10908189825080017,0.27058531746031744,0.07019611789109614,0.05439051980071818,0.9480978920128236,0.05439051980071818,0.0,0.006139612992277105,-0.008619777825943975,0.004368864706165517,-0.0058485443890736516
6,0.00953449521643455,1.1261582123126077,0.2953976225625373,3.783529847791488e-05,0.09271236502446917,1.1214544833472286,0.10847737418950294,0.2662450396825397,0.07012206834256468,0.05795924467137527,0.9503896456355165,0.05795924467137527,0.0,0.006371907012626419,0.007622068432490536,0.0035186423980017928,0.009968323010299337
7,0.006771895226274118,1.160005033250646,0.25178840335086256,2.6872600104262374e-05,0.06499699742725859,1.1560884091032158,0.08675724987718661,0.2442956349206349,0.057566376566739644,0.050185731925514024,0.9469990925966236,0.050185731925514024,0.0,0.005964434991259459,-0.009896331858782005,0.0022455464801472884,-0.008187132710921835
8,0.01155741919671008,1.1203874012526343,0.2831396392803573,4.5862774590119357e-05,0.08650622121111988,1.11462151602176,0.0986382700863318,0.22581845238095236,0.06651407711344459,0.057118674347560155,0.9473833120578505,0.057118674347560155,0.0,0.00632746214564116,0.006175096630912286,0.0021404113109523173,0.007831991222329342
9,0.01008983183985062,0.9936497144891647,0.2858864445712105,4.003901523750247e-05,0.12431149951997106,0.9897656530979182,0.15371708310734483,0.2756696428571429,0.09524685119635354,0.06492847448682697,0.9522240851178845,0.06492847448682697,0.0,0.0072088580313707075,0.008017162359021673,0.002256090839490359,0.009732678111593472
10,0.008466127824566513,1.059332447591291,0.29639810652860055,3.35957453355814e-05,0.10763919785439646,1.0554497475915383,0.12467700433131348,0.2743055555555556,0.07845833469882461,0.05776291759567839,0.9541661441567122,0.05776291759567839,0.0,0.006230934659553684,0.0050497177360715895,0.0017509662081683073,0.006511593250610535
11,0.00903133558315136,1.1100897067313489,0.2345056020009613,3.5838633266473654e-05,0.0630767382054881,1.105378429148527,0.12042663201165062,0.2560763888888889,0.07736372735480027,0.058771456123612426,0.9474795914396725,0.058771456123612426,0.0,0.006713128353720888,-0.00829763518660939,0.0013217426534807269,-0.007049989254720078
12,0.00619127655371185,1.1408900209968285,0.25881507008562404,2.4568557752824804e-05,0.0704792301211819,1.1375500600530088,0.10157100876591023,0.30096726190476186,0.06620200893307268,0.053046330246232676,0.9501160146369042,0.053046330246232676,0.0,0.005882761794942805,0.0002316372630992462,0.0010854871884243967,0.0013602250969016057
13,0.007672629749270783,1.1324551013463897,0.2551770417310326,3.0446943449487235e-05,0.06967763596072761,1.1285977587377256,0.10163554917149117,0.26004464285714285,0.06644258186847828,0.05400341881417575,0.9445377282183662,0.05400341881417575,0.0,0.00626975271080402,0.004868976398777726,0.0010888814362663085,0.005999548348416893
14,0.010678882025825166,1.1225879201601043,0.26106190734114776,4.237651597549669e-05,0.07414594956973639,1.1165000701921461,0.10018295525001378,0.26847718253968256,0.06543681222059702,0.05597325506948497,0.9424749478757406,0.05597325506948497,0.0,0.006508903196192616,-0.00519852060244427,0.0009675014744318399,-0.004128499482236958
15,0.013447441670780476,1.0224246104644132,0.2701994637377579,5.33628637729384e-05,0.10454076917288734,1.0157294705413116,0.12194617995130505,0.24541170634920637,0.0787679070195279,0.06334293680185236,0.9457281504227341,0.06334293680185236,0.0,0.007049428807054326,-0.012934923515549947,0.0011470425706521146,-0.011774691320621648
16,0.012781843780533413,1.1027172995416739,0.25571304275223444,5.0721602303704013e-05,0.07485308404207053,1.095638260242343,0.12589930694157456,0.2666170634920635,0.08008538328202966,0.05916534657096262,0.9466279728308351,0.05916534657096262,0.0,0.006537635617315559,0.0042601444906564985,0.001209642370728856,0.005451064793433421
17,0.007087800887674813,1.1311187152954152,0.23917758654092228,2.8126193998709575e-05,0.06195054928609445,1.1277874358540503,0.12494626189487673,0.28100198412698413,0.07853745468870793,0.05947638724428343,0.9599523923959972,0.05947638724428343,0.0,0.006158113925841207,-0.011823976610936938,0.0012495345549046084,-0.010613589736763622
18,0.011067306270381702,1.0941074467995378,0.2516509401542746,4.391788202532422e-05,0.07454142850384302,1.0884640687091767,0.10313161981913987,0.2533482142857143,0.06820794548665947,0.057022128037993516,0.9447340458006998,0.057022128037993516,0.0,0.00640398821278082,-0.004718146701493739,0.0010186312133887469,-0.003623065622791426
19,0.012023644879355236,1.093787925315655,0.24685641873537356,4.771287650537793e-05,0.07221909627960693,1.0871705958050875,0.10965165596127398,0.263640873015873,0.07212346484773506,0.059248943054959036,0.9544131518999103,0.059248943054959036,0.0,0.006161394965096989,-0.003390788108620692,0.001264094528921822,-0.002173317964399535
20,0.008521882114042902,1.153336490265457,0.2289823590930734,3.381699251604326e-05,0.05461040391657501,1.1490953038245595,0.10679043831097308,0.2745535714285714,0.0694880583342057,0.057231209602400676,0.9510858969159843,0.057231209602400676,0.0,0.006226521961237748,0.01002477563753615,0.0012276124420508745,0.011223969866317966
21,0.011705893214582985,1.1073095713164132,0.24113660936184242,4.645195720072613e-05,0.06673837994407289,1.101333203356365,0.09321268956265183,0.23152281746031744,0.06388727566406618,0.05806852923750542,0.9453528966427541,0.05806852923750542,0.0,0.006414824428142913,0.017507361011371146,0.0010600354864306457,0.018622855065809744
22,0.012546911881790766,1.0181544768345758,0.28341118895999906,4.978933286424907e-05,0.11338969632302708,1.0110782146197574,0.13595683776867773,0.2916666666666667,0.08353165613654402,0.05878865825120944,0.9549651647892131,0.05878865825120944,0.0,0.006387114143105037,-0.007151402398770589,0.0013442178599517437,-0.005893944866856493
23,0.00681643250959767,1.0906952407862214,0.26939074120826534,2.7049335355546306e-05,0.08451890183552067,1.0875115012030743,0.11588850437035979,0.2945188492063492,0.07362148909108042,0.055138399627003336,0.9547302654254193,0.055138399627003336,0.0,0.0059170797421470005,0.0039004412466616587,0.0013116856871436427,0.005141062658770737
24,0.010969134544918286,1.1772507458415786,0.23977217459167455,4.352831168618368e-05,0.0580082242731849,1.1708222041976866,0.09218889220487711,0.26686507936507936,0.06102628899044761,0.05225995654623964,0.9471753787175583,0.05225995654623964,0.0,0.006037303326809253,-0.004468973791059073,0.0011930851495228095,-0.0032876324231757587
25,0.0065658786796104025,1.1164735737156568,0.25333632353078067,2.60550741254381e-05,0.07115595670792615,1.113845272690649,0.13224994602172946,0.2978670634920635,0.08257912274616969,0.05860376811425644,0.9539791425731867,0.05860376811425644,0.0,0.006310662727543784,-0.004003272704814161,0.001287242169683088,-0.002774679466449983
26,0.007665839209282698,1.0907860916595438,0.26070314162613545,3.0419996862232926e-05,0.07989380582873444,1.0882891067388165,0.14388201431781034,0.2967509920634921,0.08883050470210943,0.059749598972501164,0.9552127134555728,0.059749598972501164,0.0,0.006475139431506703,-0.0024326145789760347,0.0011980802313455437,-0.0012485378320766763
27,0.007677487493064097,1.0713328467949932,0.2898635756169658,3.0466220210571813e-05,0.10057612878333311,1.0677194039238778,0.10104288059498412,0.2508680555555556,0.06759325091906954,0.05790291102538881,0.9483162758870234,0.05790291102538881,0.0,0.0062049785872803865,0.006195508163248202,0.0011841299380831436,0.0073722396036721245
28,0.0058537508418173125,1.125724563521562,0.28381218633618704,2.3229170007211556e-05,0.086066197576989,1.12368385275404,0.10548992334193527,0.26165674603174605,0.06970726246645897,0.05663315703263194,0.9504281590938106,0.05663315703263194,0.0,0.006283898194347888,-0.005305906888773785,0.0009991615584044643,-0.004221680717582145
29,0.009448374293304997,1.1253232729597324,0.25669811866809394,3.7493548782956335e-05,0.07147053768918549,1.120883347059484,0.09211791660106092,0.26537698412698413,0.06155910631705039,0.05270406574953976,0.9482973802474672,0.05270406574953976,0.0,0.005863265425530536,-0.011242217061574066,0.0009780019248809167,-0.010169091338913026
30,0.008967327569374002,1.1184962975050978,0.2748400448728764,3.55846332118016e-05,0.08217990378610222,1.1136566293471009,0.10979363963766037,0.24007936507936506,0.0709781325581172,0.05515572121537397,0.949120933983941,0.05515572121537397,0.0,0.0062547466468286655,-0.004054023612084888,0.0007675725679920638,-0.0030858210856469876
31,0.011756493726685042,1.101341372343089,0.24849676256433278,4.665275288367081e-05,0.07148416581609938,1.095189194936746,0.13291018315468153,0.30171130952380953,0.08298802463539315,0.059579189014319724,0.9541486738181783,0.059579189014319724,0.0,0.006443938783721747,-0.012702190134165313,0.0008485629865080649,-0.01169340320533253
32,0.009688324081280987,1.0476660135595983,0.2658313364517719,3.844573048127375e-05,0.09387194286455958,1.0428742850170563,0.12178676802397252,0.25744047619047616,0.07821569023259792,0.060443274419600464,0.9469871732654243,0.060443274419600464,0.0,0.006632693893193925,-0.0034991934005682403,0.0006404602988352149,-0.002594369059462418
33,0.011088345987837603,1.1348497798697896,0.24036151260293823,4.400137296760953e-05,0.062018207923787316,1.1284429165331995,0.11344809422281882,0.2854662698412698,0.0714237867266262,0.0533954689565537,0.9558924878814693,0.0533954689565537,0.0,0.005908010022424157,0.010710736027148268,0.000555624391805215,0.011572317731868311
34,0.006859618585861163,1.1363669964545422,0.2601669405492049,2.7220708674052235e-05,0.07173599609494977,1.1335212726692037,0.11959192136653526,0.2935267857142857,0.07542250747130837,0.055446597282083745,0.9525543535649864,0.055446597282083745,0.0,0.006174920512117647,-0.018462869640477195,0.0005853145095074725,-0.01758627596541634
