iter,mean_reward,mean_terminal,std_terminal,mean_step_reward,mean_terminal_penalty,avg_turnover,outside_frac,center_dist,mean_halfwidth,mean_width_scale,center_resid_l2,actor_loss,critic_loss,loss
1,-0.037337233621252214,1.161439114746397,0.23489801404480207,-0.00014816362548115958,0.05666401887373357,0.07465492086389632,0.3763640873015873,0.07464864720958128,0.05435793438673162,0.9821849638301614,0.0,0.005685035903815553,0.213657728460116,0.11367632825300732
2,-0.05541159763827784,1.1552033348561652,0.2657791459078734,-0.00021988729221538838,0.0726452956075275,0.08837378732294954,0.4039558531746032,0.08365893498962224,0.05606801345322651,0.9807217573466016,0.0,-0.016576835556216623,0.19578544234491896,0.08247813413355833
3,-0.058959473543867866,1.1455669216862776,0.26247970743765003,-0.00023396616485661848,0.07185855683126217,0.10601085830331744,0.43433779761904756,0.09486306260871841,0.0571020123965197,0.9768466684205236,0.0,-0.006333640108891201,0.16299954599555716,0.07632821395848227
4,-0.08548051032001693,1.1310232658618506,0.2703771882703579,-0.00033920837428578143,0.07786161378934953,0.07747354429810896,0.39347718253968256,0.07595870325201193,0.05439103712620597,0.98109598287611,0.0,-0.007324263326259075,0.1593999812782965,0.07353756754760432
5,-0.12234086116172002,1.1023194963036067,0.26548591828320306,-0.00048547960778460333,0.08002425360905668,0.09516430443317217,0.3998015873015873,0.08845304410544481,0.05770658204397808,0.9821348678844177,0.0,0.0021974202059722196,0.1405170045617852,0.07361755677973383
6,-0.16225211031475012,1.087547623066468,0.29415900357673375,-0.0006438575806140878,0.09917505646325794,0.09377219147190533,0.4032118055555556,0.08979475894809999,0.060853259344455596,0.9854527817216544,0.0,-0.006650200188225981,0.1433740933161554,0.06619828211654857
7,-0.018398472378694252,1.172920113782507,0.23360949202936845,-7.300981102656452e-05,0.05530671500377193,0.07985988362964433,0.3920510912698413,0.07799102134139341,0.05408213598898039,0.9796723071116922,0.0,-0.0028732274218513333,0.14428902432678642,0.07043253109152414
8,-0.16731353014738298,1.082079356775756,0.2853173391624077,-0.0006639425799499324,0.09531126212513583,0.09543368730112987,0.38374255952380953,0.09026523177404944,0.06136691405049845,0.9862568780309335,0.0,0.005857626870544346,0.12717608877993555,0.07060670375459337
9,-0.17145219909034937,1.0680281769751614,0.2701290767930453,-0.0006803658694061484,0.0903862802015623,0.10479839257216886,0.41803075396825395,0.09579422561537085,0.06087883702703399,0.9838131767064466,0.0,0.010341734910813555,0.10421362336312823,0.06360937922905756
10,-0.0996365127453181,1.124926097655398,0.272240538857797,-0.00039538298708459565,0.07975100181083047,0.08572201598728345,0.3858506944444444,0.08285349245877145,0.057693624300244245,0.9835564952138793,0.0,0.00032801856379612027,0.12402024483196702,0.06349877488588082
11,-0.08710953492967213,1.127005825189884,0.2534508029848,-0.00034567275765742914,0.06956545908984965,0.09660413602730222,0.4104662698412698,0.08969575993709855,0.05863790285244122,0.9837232882560596,0.0,0.004481655053555902,0.09938306131482487,0.05533361426637774
12,-0.09516128601785054,1.1188669118661156,0.2628601820943086,-0.0003776241508644863,0.07567805332079372,0.10036383788438083,0.4347718253968254,0.09153743509409942,0.057356123691222116,0.9807363354848959,0.0,-0.0026792420774626406,0.09452609935401637,0.045744052954885046
13,-0.066427012794448,1.144201675649624,0.25550094455352895,-0.00026359925712082533,0.06839418566805519,0.09005177109567886,0.40271577380952384,0.08480806859996337,0.057314616757192204,0.9825769937844262,0.0,-0.00025996770466529167,0.09189334617653995,0.04684674765291616
14,-0.07252842063248535,1.1373622782982267,0.25043611468770927,-0.00028781119298605293,0.06664173171986428,0.08828710929654385,0.40302579365079366,0.08354465357690535,0.05705721186091081,0.9838744855168327,0.0,0.007736923041381015,0.08693145581350745,0.05236247497416343
15,-0.16487013576585505,1.0778148939882954,0.2616674801954499,-0.0006542465704994249,0.08339907032292765,0.09422179063605972,0.3869047619047619,0.09080544391092688,0.0625368084232257,0.9884615101474752,0.0,0.0062512664620745515,0.07779424800902071,0.046308000776791335
16,-0.13335151217438956,1.0984996903620035,0.2657663775108712,-0.0005291726673586888,0.08093408027186005,0.0984739841776949,0.40017361111111116,0.09151791096787454,0.06049402615273833,0.9859141570050938,0.0,0.0007730419142680783,0.08203131947404274,0.04294812221413243
