iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,lr_theta,lr_phi,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.7082258169042628,0.7082258169042628,,,0.0,23.544823906742838,-2.3527198608703856,1.867621498318957,1.951993605558059,0.7693977515371941,1.999995048779937,-0.8749982320062273,16,0.0003,0.0001,1.7088583607590477,-1.9867915981629647,0.6802418309014073,-1.734646097548194
2,0.0,0.7102559462157065,0.7122860755271503,,,0.0,23.452904323032673,-2.4147283741147776,1.8487059099010816,1.612573027481113,0.792673397004303,1.9999968759895093,-0.9709915247570526,16,0.0003,0.0001,1.7089578821903977,-1.986888428310127,0.6803377885886055,-1.7347442713073116
3,0.0,0.6908939875574411,0.6521700702409106,,,0.0,24.422956277575636,-3.1599834828045084,1.853903901924729,1.2152636879173895,0.7387116105331584,1.9999963241938385,-0.8827760180689581,16,0.0003,0.0001,1.7090538474451968,-1.9869729653894097,0.6804289305879229,-1.7348433625794972
4,0.0,0.7075257378098163,0.7574209885669418,,,0.0,22.247901742782915,-1.7749397736088917,1.8571134735422188,1.9675192975786004,0.832825454933184,1.9999946778858457,-0.9210060704498702,16,0.0003,0.0001,1.7091510680196003,-1.987045721209642,0.6805228936029087,-1.734937857228496
5,0.0,0.7136840584887121,0.738317341204295,,,0.0,24.927627985825403,-2.8337616868697735,1.857995284015977,1.5121977436962153,0.7652252604233185,1.999997388948864,-0.9248225184662875,16,0.0003,0.0001,1.709248692382074,-1.9871276005273315,0.6806187224203842,-1.7350340617302586
6,0.0,0.7118307205769635,0.7025640310182211,,,0.0,22.78448284959829,-1.8890242389344656,1.847778428349839,1.9372785682098221,0.8048475869201553,1.999987328024216,-0.8301208873294307,16,0.0003,0.0001,1.7093473781217443,-1.9872077752219777,0.680716380296215,-1.7351251531906022
7,0.0,0.7110632571155785,0.7064584763472674,,,0.0,22.786256170377527,-2.4403225531291035,1.8555068781386337,1.9018492314562225,0.7784887689607047,1.9999962375790243,-0.9064039970445056,16,0.0003,0.0001,1.7094466805583626,-1.9872814719223049,0.6808145903249639,-1.735217018862279
8,0.0,0.7184713773807676,0.7703282192370925,,,0.0,22.572558402293918,-1.9221081770776602,1.827063172046476,1.666434561973578,0.8209027131884785,1.9999945211574235,-0.9000446167451144,16,0.0003,0.0001,1.7095449534342189,-1.9873581079305755,0.680912598417678,-1.7353068561113343
9,0.0,0.7290085030038953,0.8133055079889167,,,0.0,20.53523592450192,-2.690420563532027,1.8365255064000232,1.3094063371543996,0.8248422670953861,1.9999968700793358,-0.9909007505218461,16,0.0003,0.0001,1.709640569405824,-1.9874418552075312,0.6810059422388011,-1.735399705484581
10,0.004648475414205639,0.735152458579436,0.7904480587593026,0.735152458579436,-0.46484754142056395,0.004648475414205639,22.430324838856702,-2.4983954410565987,1.8399485002355163,1.132498689050884,0.8256601164778258,1.999994362276555,-0.9955378133519724,16,0.0003,0.0001,1.7097355373347074,-1.9875287409700064,0.6810943803277064,-1.735495516057438
11,0.004648475414205639,0.7366520640576458,0.72322187168636,0.735152458579436,-0.46484754142056395,0.0,23.611121440962492,-2.247318511490919,1.8631119756439927,1.8351882537678053,0.7839110423337757,1.9999945874733396,-0.9130966687890248,16,0.0003,0.0001,1.7098311140492524,-1.9876154079782618,0.6811849623598446,-1.7355916146979813
12,0.004648475414205639,0.7372257138672059,0.7180225736227506,0.735152458579436,-0.46484754142056395,0.0,22.422411806653056,-3.149844703407934,1.8468513604033494,1.4608300054492225,0.7506277081391138,1.9999967079918588,-0.905515186589348,16,0.0003,0.0001,1.7099274387962502,-1.9877036985352812,0.6812752221351903,-1.7356894264995444
13,0.004648475414205639,0.7506220353691567,0.7861332852604198,0.735152458579436,-0.46484754142056395,0.0,20.81439358466092,-1.92070248060603,1.8460669398622471,1.8385927843933696,0.8363431960416658,1.9999811027700876,-0.9706946100908486,16,0.0003,0.0001,1.710024305702306,-1.9877882909068048,0.6813663370254069,-1.7357867783768544
14,0.004648475414205639,0.7579279703553319,0.8304803384286923,0.735152458579436,-0.46484754142056395,0.0,18.346239043057267,-2.2545925963451476,1.8396531590176153,1.6339284526583011,0.8347790844617253,1.9999921255826345,-0.9666207423457345,16,0.0003,0.0001,1.7101213999443228,-1.9878709511568726,0.6814563262662224,-1.735884400984889
15,0.004648475414205639,0.7690561244505498,0.8495988821564755,0.735152458579436,-0.46484754142056395,0.0,19.825220666249542,-2.0447206827925344,1.836616511902566,1.4653858488347833,0.8591808140869798,1.9999892347562815,-0.9313534016294839,16,0.0003,0.0001,1.710217881819023,-1.9879580069833276,0.6815423482887565,-1.735983536687196
