iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,phi1_asset1,phi2_asset1,phi1_asset2,phi2_asset2
1,0.0,-1.082613872705178,-1.082613872705178,,,0.0,0.510415882142448,0.9341954970417774,29.316558396337413,2.0085004141057983,1.6554720718526033,2526.2144558425543,-2525.2144558425543,2.999337788666511e-05,2.9999927967396174e-05,2.9999931293743056e-05,2.9999934224982142e-05
2,0.0,-0.12345286593691429,0.8357081408313494,,,0.0,8.108195587205659,5.9557705377610395,2.0817051420342785,0.9826782102178382,1.666014611622575,4.874049648578783,-3.5314426965860743,5.234249909032102e-05,5.4736994898935126e-05,1.0752307193679377e-05,1.6401208733382935e-05
3,0.0,0.5287141183166465,1.8330480868237682,,,0.0,0.9146235012575928,1.4932710793536763,1.9792930849102905,0.9462470534349482,1.6777892703663502,4.288032176763103,-2.6222125336267554,7.786460414510279e-05,7.168653547288494e-05,-7.198250707427184e-06,1.831746720292589e-05
4,0.0,0.3594159053293572,-0.1484787336325108,,,0.0,1.9363216597201367,2.689333780012877,54.4610955611103,4.604223314635558,1.6771136694317939,4562.004599283607,-936.9799812411459,0.00010161081807495828,8.929252514911895e-05,-2.749934969368831e-05,8.417920469245793e-06
5,0.0,0.5106703399849074,1.1156880786071084,,,0.0,1.5557512651768692,2.8317218871368977,2.7540740309752,1.0332509185595489,1.6805073013403307,5.4772145966114,-4.4772145966114,0.00011705606762157697,9.720477817337086e-05,-4.76052769207496e-05,-4.531277876937199e-06
6,0.0,0.6276812045501236,1.2127355273762042,,,0.0,0.3544166206155165,1.0103171596677045,21.067264320083716,13.19928559054382,1.6753112700185249,16418.75777125563,-264.235893101623,0.00013094010710797612,0.00010450274357144778,-6.873886691517823e-05,-2.2055027020544247e-05
7,0.0,0.7464430027675558,1.4590137920721489,,,0.0,0.28324055615190363,0.4667328740707611,3.3960969363358444,0.925385582945873,1.672599901221955,10.125749816090353,-6.20761624625491,0.00014434633007113406,0.00011295095876190728,-8.662549371400424e-05,-3.762525110808662e-05
8,0.0,0.8524174235856499,1.5942383693123092,,,0.0,0.11912967351163803,-0.09982114741114703,3.6136604220467428,0.9856388612240345,1.6730718975580625,18.96155565205521,-17.96155565205521,0.00015590247863864868,0.00012293688988661587,-0.00010231851083187355,-5.35330099528509e-05
9,0.0,0.7016031229011269,-0.5049112825750562,,,0.0,1.379364020333556,1.8681699035976966,37.85529967192366,4.787059682915763,1.659216567992428,9425.241506395421,-1675.259089587816,0.00016975361927278282,0.00013676418351448946,-0.00011548625907442324,-6.67265066576342e-05
10,0.0035449490360118163,0.7910101927976367,1.5956738218662254,0.7910101927976367,-0.7089898072023633,0.0035449490360118163,0.4222269918314176,-0.8997656866258958,20.717141242299114,0.7599669370095566,1.6628114863826045,2676.2569437672464,-658.3080451513003,0.00018211947233874235,0.000150685616455496,-0.00012489437207422523,-7.438959692082986e-05
11,0.0035449490360118163,0.9919952948453321,0.9272371477717758,0.7910101927976367,-0.7089898072023633,0.0,0.60448464951741,1.0968545078952805,8.671544590428205,0.986443219983711,1.651424796478277,1040.8956035765268,-188.0470029726531,0.00019149656656710653,0.00016161552938887054,-0.00013248293958179064,-8.028376747061561e-05
12,0.0035449490360118163,1.0539565563963773,1.4553207563418,0.7910101927976367,-0.7089898072023633,0.0,0.36962472918955214,-0.29283991316468133,5.424361778004585,0.9458511708262077,1.6717327168271479,19.624170047911754,-17.428800137110805,0.00019952483455642385,0.00016974606140695767,-0.0001399256920922586,-8.667850703029466e-05
13,0.0035449490360118163,0.8422601432586945,-0.28391604455306146,0.7910101927976367,-0.7089898072023633,0.0,2.3826074381312954,2.6344709355455507,12.113937420099168,1.7517240124438749,1.6604882872739612,482.64546847497144,-316.01082086024917,0.00021040675770224465,0.0001812111307297996,-0.00015034932862493096,-9.79648213414383e-05
14,0.0035449490360118163,0.9684464491505118,1.1133843252856632,0.7910101927976367,-0.7089898072023633,0.0,0.5169485652896821,1.0838819725994382,4.543768410604014,0.9153194160698245,1.6657557644000913,10.910874922036747,-7.785087217232583,0.00022107643563506205,0.00019279988807837316,-0.00015908009046362154,-0.00010682645597840965
15,0.0035449490360118163,1.073256130021797,2.1637848873199603,0.7910101927976367,-0.7089898072023633,0.0,0.6310468740160567,-1.105690076663114,2.340547316834834,1.01181039204367,1.6456687232555858,5.984189348170364,-4.984189348170364,0.0002298787424675149,0.00020197017127050794,-0.00016852599043342908,-0.0001169038878948155
16,0.0035449490360118163,1.022857386833453,0.708748095492764,0.7910101927976367,-0.7089898072023633,0.0,1.4688278533864405,2.033306720525972,11.480062063982933,-0.03746928824596802,1.664985178056269,618.614390221865,-370.32676991543633,0.00023923606290221212,0.0002116508001853108,-0.00018351989628131372,-0.00013353985901094436
17,0.0035449490360118163,1.0908229654642474,2.1386695783800946,0.7910101927976367,-0.7089898072023633,0.0,1.314401856732487,-2.045756806331307,3.057718706120225,0.9332315960891497,1.6584275955778032,8.328137421211078,-6.517415467162016,0.00024753154501132773,0.00021861546435657643,-0.00020017268750630867,-0.00015324168288312787
18,0.0035449490360118163,0.8157378551984096,-1.1566127333460712,0.7910101927976367,-0.7089898072023633,0.0,0.775164020870605,0.6752910665224603,17.259747290723542,-3.949155782719598,1.6570913944900072,5941.329922309715,-5940.329922309715,0.0002544154334743838,0.00022385195816056655,-0.000215386235407883,-0.00017139682607134448
19,0.0035449490360118163,1.0766072059167169,2.103782224608017,0.7910101927976367,-0.7089898072023633,0.0,0.32098831431378383,-0.6892828500697757,2.2541125602960697,0.991057225352541,1.668464315312369,6.722531031007007,-4.523301802779084,0.00026190262394222926,0.00022816303297983862,-0.00023052782512146842,-0.00018875260887298096
20,0.006408250974505394,0.9273396123012846,0.10299788571190445,0.9273396123012846,-0.5726603876987154,0.0028633019384935775,1.5926428537819144,2.223190347410233,51.914229317367706,0.7752463345583833,1.6507264124779182,3958.4165835335616,-1620.3972524002352,0.00026812106050775724,0.0002349457991089582,-0.0002454761898904597,-0.00020409033476138558
21,0.006408250974505394,1.1219750172790572,2.8735911975495005,0.9273396123012846,-0.5726603876987154,0.0,5.938076152838385,-1.9931652856011268,1.7322670986624107,0.9692061106419773,1.6766299784239858,4.267481413546198,-3.2674814135461983,0.00025874000705594137,0.00022473768022352136,-0.0002648234129167471,-0.00022339316393249015
22,0.006408250974505394,0.9876453003219205,0.11202358677043474,0.9273396123012846,-0.5726603876987154,0.0,2.2431642634169346,2.6353119780923873,83.74035017683042,0.2779317263129135,1.6703195557515564,37502.88605303268,-2512.18199325521,0.0002505119728724432,0.00021600470213723597,-0.00028302160081452915,-0.00024184934204671293
23,0.006408250974505394,1.075754394339875,0.5971748956264816,0.9273396123012846,-0.5726603876987154,0.0,1.1273312393328287,1.641881121940468,29.17400580523289,11.895600055934569,1.6577682304052,12654.480541613231,-160.71844045927904,0.00024171230188971173,0.0002065560730886165,-0.000300101983388367,-0.0002591222015093631
24,0.006408250974505394,1.080566372214721,1.1615041040341243,0.9273396123012846,-0.5726603876987154,0.0,1.1541679311397133,1.9468276318953306,3.193051793447336,0.9480148011300715,1.6774488311703841,6.976568266900606,-5.415787984588464,0.00023107319397480566,0.00019447145909339968,-0.00031352058262149794,-0.0002724620084779843
25,0.006408250974505394,1.053248980820364,1.8906109733763923,0.9273396123012846,-0.5726603876987154,0.0,0.3335593884941799,-0.09978350875057557,2.439448474060741,1.0082757737454535,1.6755396573652275,4.21670270528767,-3.0552059410071166,0.00021952161313856596,0.00018224026505593043,-0.00032680823394396364,-0.00028596075603195306
26,0.006408250974505394,1.0902795801391567,1.079054088680688,0.9273396123012846,-0.5726603876987154,0.0,2.2284508511348755,2.7363832143743694,2.8713480596580565,0.932727845230394,1.669068808142394,5.1059195652542115,-3.8556741800285206,0.0002087315875039237,0.0001708591660572569,-0.00034054868929680906,-0.0002998734337883877
27,0.006408250974505394,1.1574309199245547,2.810182976234075,0.9273396123012846,-0.5726603876987154,0.0,3.9583046254004115,-3.164129795851244,1.9230288244960074,0.9963435270379969,1.6687216262474887,5.504941751965669,-4.504941751965669,0.00020367885251965575,0.00016539767570717057,-0.0003562369268127593,-0.0003159282004867496
28,0.006408250974505394,1.3436314174282753,0.705392241691136,0.9273396123012846,-0.5726603876987154,0.0,2.175973847683444,2.7145440610928873,3.316117549956866,0.970119140147773,1.6742496586535824,6.451630459082969,-5.039986765271371,0.00019415642261667797,0.0001538580681353267,-0.000371662828240485,-0.00033282275802082957
29,0.006408250974505394,1.321906666355362,1.8865347138788826,0.9273396123012846,-0.5726603876987154,0.0,0.6023583815674408,-0.8919934476191436,2.8623174037870696,1.0038990200381914,1.6561886167752973,5.214088565232711,-3.873809500288087,0.00018848354731568445,0.00014657199984443372,-0.000386296117346388,-0.0003488112187160347
30,0.006579591601854919,1.465731874530095,1.5412499674592315,1.465731874530095,-0.0342681254699051,0.0001713406273495255,7.302112750458299,5.0634459649818355,1.70925416797127,0.9686981464750875,1.676266794873699,4.428708294037994,-3.106739925874315,0.0001873601590012573,0.00014302089778175548,-0.0003955819645417638,-0.00035979531230321475
31,0.006579591601854919,1.230889919645829,0.5251716487068425,1.465731874530095,-0.0342681254699051,0.0,1.6260756656618631,2.085235866789582,6.427661004242821,1.0713690739188315,1.657450070982262,55.46550898699888,-54.46550898699888,0.00018602089234890404,0.00014212720821749829,-0.00040465654018333815,-0.00037098871155474226
32,0.006579591601854919,1.5352410233714406,3.1555346240265503,1.465731874530095,-0.0342681254699051,0.0,12.943892613992348,-7.389371038355871,2.306075782377358,0.9277087795335645,1.6634576784190445,6.500974828672902,-4.388507424023527,0.0001796746501157927,0.00013825980535296528,-0.00041475667377117797,-0.00038545130804227656
33,0.006579591601854919,1.6366949970980733,1.611714632892813,1.465731874530095,-0.0342681254699051,0.0,0.5172917845033989,-1.1020939674367192,6.307291673307606,0.8938799185766936,1.6649878643742677,52.890774831910356,-42.698412461046004,0.00017557405132698247,0.00013656281569500594,-0.00042474360080153444,-0.0003993350232406232
34,0.006579591601854919,1.7384208175051463,2.1787623081048513,1.465731874530095,-0.0342681254699051,0.0,0.31196690654183185,-0.533561094748777,1.9963791089473655,0.9776665053042413,1.6702483976030331,4.408892084244129,-3.369321608757665,0.00017054652908399067,0.00013444942760971828,-0.0004320173871828599,-0.00040969114759205864
35,0.006579591601854919,1.587984816014189,0.38625095846682067,1.465731874530095,-0.0342681254699051,0.0,3.27468176130075,3.413293699954793,4.652952003788753,1.0745713190319464,1.6667811072932177,17.522031294966993,-14.140570358420485,0.00015803976531837593,0.00012363452707042755,-0.0004371183114489079,-0.0004177010045028631
36,0.006579591601854919,1.5743146989588799,0.9423529181275955,1.465731874530095,-0.0342681254699051,0.0,0.6183873927106194,1.3465464789019697,7.484623306117426,0.8811951637383008,1.6751410837167173,41.31996500872867,-29.511767048062623,0.00014699635320204548,0.0001158703873642138,-0.00044189960221619823,-0.00042462530587656223
37,0.006579591601854919,1.364775886981176,0.7147948564570363,1.465731874530095,-0.0342681254699051,0.0,2.6587478777718236,2.4725494223867295,4.175818458156502,0.9756340956894275,1.670959512708924,16.933385575130185,-13.042849364919718,0.0001338843523908072,0.00010546121977028528,-0.00044852468941588967,-0.0004330727771688162
38,0.006579591601854919,1.4228659193642152,1.2862925655215292,1.465731874530095,-0.0342681254699051,0.0,2.1011024128614917,2.891901104560818,2.390596915441592,1.0693537191130131,1.6846967357554943,4.015726342633467,-2.7358139340310164,0.00011584340687460375,9.087417357462167e-05,-0.00045070314333787293,-0.000435944103504219
39,0.006579591601854919,1.3817192618936966,1.4750681391736973,1.465731874530095,-0.0342681254699051,0.0,2.2937250638433637,2.966758080838971,2.185341072564719,1.0230550871916955,1.6919525190939664,5.28810147413536,-4.090068251951572,9.472212760932399e-05,7.243259394851475e-05,-0.00044944222828321046,-0.0004351923329880793
40,0.006838781900282619,1.44816194031446,2.2056767516668647,1.44816194031446,-0.051838059685539895,0.0002591902984276995,1.916246196108823,-3.004869128603868,2.714948028580598,1.0221106509295705,1.677056082381038,4.69150593545296,-3.323610015491882,7.454125618715186e-05,5.363193893201635e-05,-0.0004454358971685528,-0.00042799112448132164
41,0.006838781900282619,1.5692352886563605,1.7359051321258485,1.44816194031446,-0.051838059685539895,0.0,0.3515360540284619,0.020260390648745404,3.2098920707686536,1.0341097415465919,1.6792565740335652,10.758187856360312,-9.758187856360312,5.8897065134515676e-05,4.040491942906476e-05,-0.000441258268251796,-0.00042004906002702076
42,0.006838781900282619,1.5561466167374403,3.0246479048373454,1.44816194031446,-0.051838059685539895,0.0,12.583601978528007,-7.861516509550998,2.0968462199592124,0.9052010190313503,1.6907356742687538,3.9488038641390304,-2.755106228638833,3.608060880149282e-05,1.9159952637466918e-05,-0.0004438069419643897,-0.00041816628669764087
43,0.006838781900282619,1.757725266281474,3.62750112833315,1.44816194031446,-0.051838059685539895,0.0,24.908770668431877,-9.376529352663054,1.7152418190589482,1.0092805581833757,1.657258886258879,3.8605479577432247,-2.8557210042159102,1.04628777064562e-05,-5.003450202339112e-06,-0.0004405721373312356,-0.00041034393503609957
44,0.006838781900282619,1.623940324842496,0.8409128937150724,1.44816194031446,-0.051838059685539895,0.0,0.8942430672626365,1.571349318015439,6.2752390765754145,0.9296093304232452,1.6559333196860244,75.8954846895029,-43.68685987887529,-1.5118904042825785e-05,-2.9675303444494304e-05,-0.00043644117365604785,-0.00040175674668854175
45,0.006838781900282619,1.5885772332348043,0.03262004238990271,1.44816194031446,-0.051838059685539895,0.0,2.2046677780339867,2.7646042196834775,78.16737035356125,-0.754140650033804,1.6540507556205895,39277.67263818205,-2524.279663326186,-3.612862425926345e-05,-5.118321949732262e-05,-0.0004316048479164584,-0.000390124912080037
46,0.006838781900282619,1.46039803940986,-0.339439020121847,1.44816194031446,-0.051838059685539895,0.0,2.413832146396077,2.630550886179158,35.77025666635041,7.587695023624361,1.6820253084913557,13620.439338676766,-609.9086929582609,-5.663761339430736e-05,-7.147063669214782e-05,-0.0004280792303785899,-0.0003806470276942167
47,0.006838781900282619,1.554433120454017,1.6551456668986066,1.44816194031446,-0.051838059685539895,0.0,3.3385133336035437,3.4456809784572937,1.8911321670444587,0.9813348661333937,1.6635182571540548,4.430406007581353,-3.1056977055081294,-6.231665942565349e-05,-7.659620986275815e-05,-0.00042765758090380793,-0.0003743880775969991
48,0.006838781900282619,1.4564666036325609,0.30662739730696587,1.44816194031446,-0.051838059685539895,0.0,3.596922743276105,3.9463075533765686,4.292763478240565,0.9406215349696241,1.6935131795783687,18.726940288682947,-16.777803953834947,-6.764283693092185e-05,-8.13011726247746e-05,-0.0004261007568395656,-0.0003657879005866715
49,0.006838781900282619,1.3398016468633593,0.30841857148168345,1.44816194031446,-0.051838059685539895,0.0,2.6138522297323736,4.03237862072197,5.267369515451209,0.8813617963109884,1.6830189403418878,34.74726216101339,-33.74726216101339,-7.531594960843082e-05,-8.750066488103701e-05,-0.00042529032841214274,-0.00036254383368197247
50,0.008709602478258251,1.1258358844048735,0.06601912708200691,1.1258358844048735,-0.3741641155951265,0.0018708205779756322,2.733905514687646,2.8784079221926664,19.404211138601706,1.05933198677721,1.6564691264355849,9135.47869361971,-336.49571363568884,-8.559978458947522e-05,-9.703203134743744e-05,-0.0004249532541305996,-0.00036054552689916475
