iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.6968246136242741,0.6968246136242741,,,0.0,1.799668871468598,-2.3797568606636563,10.192502546127443,2.724876817401498,3.9533929293414083,28.844046725817474,-20.85696786733374,32,1.0919090907984066,-3.3646363634258134,0.6479717526559304,-1.3309452066133334
2,0.0,0.7259184174905996,0.7550122213569251,,,0.0,2.3266320134088305,-2.2410989484028003,10.007128703740412,1.0773199346941267,4.006610332277296,29.10584148619295,-23.103360098872333,32,1.0929047723151932,-3.3656374659592427,0.6489694700456723,-1.3319457704721647
3,0.0,0.694797476437569,0.6325555943315078,,,0.0,2.9717387467066683,-2.4120006758211043,10.799988387536313,1.0942214757767972,3.9139920980436624,31.901459281327543,-25.515508492354083,32,1.0938968929348998,-3.366636497976928,0.6499698414463781,-1.3329362363951207
4,0.0,0.7253866010758463,0.8171539749906784,,,0.0,0.5604666219850692,-1.5436085253661405,8.514259338349424,4.3303467880084625,3.596379650559663,24.947073046520302,-16.451033872993648,32,1.09488983705281,-3.3675510647152516,0.650974251357573,-1.333830688384809
5,0.0,0.7233234101965216,0.7150706466792232,,,0.0,1.1873407807067835,-1.922484134663205,9.391197359841161,2.902172689657861,3.6121794814217876,26.921503989672573,-19.24681582349149,32,1.0958856218417645,-3.368463603194779,0.6519819565717307,-1.334735953829601
6,0.0,0.7369092496885354,0.8048384471486045,,,0.0,2.0529002955496067,-1.9607307001130867,9.34128239282441,2.269942558948159,3.8170380923501757,26.485812230234966,-20.753054919552916,32,1.0968758128972782,-3.369401532623902,0.6529695328568556,-1.335673655900406
7,0.0,0.7413578388660577,0.7680493739311911,,,0.0,1.121237813561593,-1.981708992662044,9.37442961610397,3.9467888134578923,3.6813898634618463,26.860745591444175,-17.552720865067776,32,1.0978565107064706,-3.370331625671276,0.6539637786570346,-1.3366011194107295
8,0.0,0.7417957625810558,0.7448612285860426,,,0.0,1.3407315838399116,-1.7859026188043976,9.319921423065837,2.7575251376382104,3.8069013581706113,26.932542937529302,-20.075789827439266,32,1.098827895283394,-3.3712721509670707,0.6549485004601928,-1.3374705443251211
9,0.0,0.7452572726629579,0.772949353318174,,,0.0,0.5645567160660577,-1.7745944549509853,9.3258323919461,1.082129345622126,3.8121871179136173,26.675122846092897,-21.94989617351156,32,1.0997733054353056,-3.372232981088897,0.6559185723932066,-1.3383826390354778
10,0.002283308560088973,0.7433382879822054,0.7260674258554325,0.7433382879822054,-0.4566617120177946,0.002283308560088973,1.102285117826174,-2.0111452468063984,9.575999077754785,1.6869312002271615,3.7673975792105323,27.130595323712072,-22.090030606640916,32,1.1007187829059264,-3.3732029334605813,0.6568870520880086,-1.3393151919099577
11,0.002283308560088973,0.7530218293385478,0.7936600271876982,0.7433382879822054,-0.4566617120177946,0.0,1.0661119462448454,-1.7919099295207643,9.191163580690468,2.0799424311590933,3.762343989661999,26.247045062553397,-20.500961382682625,32,1.101652401905068,-3.3741806232343947,0.6578425065220989,-1.3402704305054678
12,0.002283308560088973,0.7554597933665034,0.7793918616364806,0.7433382879822054,-0.4566617120177946,0.0,1.389142928263802,-1.9114755418173017,9.423615132926129,2.1096604307379367,3.774320045493729,25.594625566405483,-19.62250948159424,32,1.102587911006207,-3.375167138942981,0.6587963532505747,-1.341227698516828
13,0.002283308560088973,0.7711483425515052,0.7894410861815264,0.7433382879822054,-0.4566617120177946,0.0,0.8804291890578523,-1.8928439440879816,9.13686162226076,2.604135490240484,3.8797230785748544,25.862963142126915,-19.209037694032915,32,1.1035096293912177,-3.376159243118514,0.6597606783350206,-1.3421961632474781
14,0.002283308560088973,0.7709266365582564,0.8149369150581918,0.7433382879822054,-0.4566617120177946,0.0,0.8878092341583467,-2.151179670094902,9.421722979957455,2.0176679385814267,3.9441982623025815,27.406899162428488,-20.39047868510422,32,1.1044137290991,-3.3771676667803407,0.6607373845808133,-1.343179163016789
15,0.002283308560088973,0.782927097897331,0.8350752600699681,0.7433382879822054,-0.4566617120177946,0.0,0.9028306957797732,-2.1738851487202204,9.895198518164111,0.431782112780819,4.16197788208961,26.953929553242226,-22.28655785360614,32,1.1052991817302567,-3.378196099984619,0.6617119342643437,-1.3441838302936897
16,0.002283308560088973,0.7794572732625432,0.770140200800727,0.7433382879822054,-0.4566617120177946,0.0,1.0430420377158933,-1.871746240717842,9.574309914232789,0.7735024785342968,4.058947681646954,25.917556046403387,-22.14291904066979,32,1.1061773211433787,-3.379225462733395,0.6626801536108945,-1.3452015428766255
17,0.002283308560088973,0.7679048897008875,0.6525255383146338,0.7433382879822054,-0.4566617120177946,0.0,4.189228900677889,-3.23296869670975,11.709993415476141,-1.7151389082907629,4.07605251065983,34.70953052543647,-28.49333908242129,32,1.1070301436848984,-3.3802804449506825,0.6636304914290994,-1.3462462303433151
18,0.002283308560088973,0.7757883116140923,0.8236954477180907,0.7433382879822054,-0.4566617120177946,0.0,0.9341588448203829,-1.9279474744678589,9.145176943045808,1.8332456241909314,3.820353506569983,25.34927246780267,-20.19796132450645,32,1.1078661863280972,-3.381340067109152,0.664571849482471,-1.3473067861602341
19,0.002283308560088973,0.776396923806358,0.7790354752408319,0.7433382879822054,-0.4566617120177946,0.0,2.298281041255574,-2.443222301217604,10.622563353279645,-0.8127884900846536,4.111939802804811,28.82033644398928,-24.403581348319506,32,1.1086718954075896,-3.3824183165287556,0.6654865090506119,-1.3483929185037944
20,0.004545761765232622,0.785048997872854,0.8125881665203907,0.785048997872854,-0.414951002127146,0.002262453205143649,2.2407386233140474,-2.317534170713073,9.96508810735467,0.6836849106244669,4.058739583357235,29.519258122795314,-22.702177026763874,32,1.1094560102113493,-3.383509304060415,0.6663769318299042,-1.3494841802821713
